,eightd_has_available_keys,num_bikes_available,station_status,last_reported,num_docks_disabled,is_renting,is_returning,legacy_id,num_bikes_disabled,station_id,num_docks_available,is_installed,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
234,False,7,active,2020-08-08 10:59:37+00:00,0,True,True,343,0,343,8,True,0,,,2020-08-08 19:33:30,2020
235,False,0,active,2020-08-08 15:33:52+00:00,0,True,True,344,0,344,19,True,0,,,2020-08-08 19:33:30,2020
236,False,11,active,2020-08-08 19:05:58+00:00,0,True,True,345,0,345,8,True,0,,,2020-08-08 19:33:30,2020
237,False,0,active,2020-08-08 19:20:04+00:00,0,True,True,346,0,346,15,True,0,,,2020-08-08 19:33:30,2020
238,False,12,active,2020-08-08 19:17:52+00:00,0,True,True,347,0,347,3,True,0,,,2020-08-08 19:33:30,2020
239,False,3,active,2020-08-08 19:24:37+00:00,0,True,True,348,1,348,11,True,0,,,2020-08-08 19:33:30,2020
240,True,7,active,2020-08-08 08:58:55+00:00,0,True,True,349,0,349,10,True,0,,,2020-08-08 19:33:30,2020
241,False,10,active,2020-08-08 19:15:00+00:00,0,True,True,350,0,350,7,True,0,,,2020-08-08 19:33:30,2020
242,False,4,active,2020-08-08 19:09:43+00:00,0,True,True,351,0,351,11,True,0,,,2020-08-08 19:33:30,2020
243,False,1,active,2020-08-08 19:25:24+00:00,0,True,True,352,0,352,14,True,0,,,2020-08-08 19:33:30,2020
244,True,6,active,2020-08-08 13:25:52+00:00,0,True,True,353,1,353,8,True,0,,,2020-08-08 19:33:30,2020
245,False,0,active,2020-08-08 15:47:20+00:00,0,True,True,354,0,354,15,True,0,,,2020-08-08 19:33:30,2020
246,False,15,active,2020-08-08 18:34:31+00:00,0,True,True,355,0,355,2,True,0,,,2020-08-08 19:33:30,2020
247,False,15,active,2020-08-08 19:20:53+00:00,0,True,True,356,0,356,8,True,0,,,2020-08-08 19:33:30,2020
248,False,14,active,2020-08-08 19:17:51+00:00,0,True,True,357,0,357,1,True,0,,,2020-08-08 19:33:30,2020
249,False,7,active,2020-08-08 18:57:28+00:00,0,True,True,358,0,358,12,True,0,,,2020-08-08 19:33:30,2020
250,False,1,active,2020-08-08 19:12:41+00:00,0,True,True,359,0,359,14,True,0,,,2020-08-08 19:33:30,2020
251,False,0,active,2020-08-08 19:13:39+00:00,0,True,True,360,0,360,15,True,0,,,2020-08-08 19:33:30,2020
252,False,3,active,2020-08-08 19:26:00+00:00,0,True,True,361,0,361,16,True,0,,,2020-08-08 19:33:30,2020
253,False,15,active,2020-08-08 19:31:00+00:00,0,True,True,362,1,362,3,True,0,,,2020-08-08 19:33:30,2020
