,eightd_has_available_keys,legacy_id,is_returning,last_reported,num_bikes_disabled,num_docks_available,station_id,num_docks_disabled,is_installed,num_bikes_available,is_renting,num_ebikes_available,station_status,timestamp_of_data_read_request,year_station_last_reported
52,False,60,True,2020-08-11 03:36:10+00:00,0,16,60,0,True,3,True,0,active,2020-08-11 06:58:45,2020
53,False,61,True,2020-08-11 06:13:21+00:00,1,16,61,0,True,2,True,0,active,2020-08-11 06:58:45,2020
54,False,63,True,2020-08-10 22:55:41+00:00,2,9,63,0,True,4,True,0,active,2020-08-11 06:58:45,2020
55,False,64,True,2020-08-11 02:17:45+00:00,0,16,64,0,True,3,True,0,active,2020-08-11 06:58:45,2020
56,False,65,True,2020-08-10 23:13:48+00:00,0,19,65,0,True,4,True,0,active,2020-08-11 06:58:45,2020
57,False,66,True,2020-08-11 02:52:54+00:00,0,0,66,0,True,15,True,0,active,2020-08-11 06:58:45,2020
58,True,67,True,2020-08-11 06:02:02+00:00,0,24,67,0,True,3,True,0,active,2020-08-11 06:58:45,2020
59,True,68,True,2020-08-11 03:19:42+00:00,0,9,68,0,True,10,True,0,active,2020-08-11 06:58:45,2020
60,True,69,True,2020-08-11 04:45:21+00:00,1,10,69,0,True,8,True,0,active,2020-08-11 06:58:45,2020
61,False,70,True,2020-08-11 05:39:50+00:00,0,3,70,0,True,20,True,0,active,2020-08-11 06:58:45,2020
62,False,71,True,2020-08-11 03:20:40+00:00,0,2,71,0,True,21,True,0,active,2020-08-11 06:58:45,2020
63,False,72,True,2020-08-11 00:52:03+00:00,0,23,72,0,True,0,True,0,active,2020-08-11 06:58:45,2020
64,False,73,True,2020-08-11 02:20:43+00:00,0,15,73,0,True,0,True,0,active,2020-08-11 06:58:45,2020
65,True,74,True,2020-08-11 03:26:31+00:00,0,17,74,0,True,2,True,0,active,2020-08-11 06:58:45,2020
66,False,75,True,2020-08-11 05:15:10+00:00,0,13,75,0,True,2,True,0,active,2020-08-11 06:58:45,2020
67,False,76,True,2020-08-11 06:15:42+00:00,0,10,76,0,True,7,True,0,active,2020-08-11 06:58:45,2020
68,False,77,True,2020-08-11 01:56:46+00:00,1,9,77,0,True,5,True,0,active,2020-08-11 06:58:45,2020
69,False,78,True,2020-08-11 02:41:44+00:00,0,17,78,0,True,2,True,0,active,2020-08-11 06:58:45,2020
70,False,79,True,2020-08-11 03:21:34+00:00,3,2,79,0,True,14,True,0,active,2020-08-11 06:58:45,2020
71,False,80,True,2020-08-11 05:55:09+00:00,0,33,80,0,True,2,True,0,active,2020-08-11 06:58:45,2020
