,eightd_has_available_keys,legacy_id,num_bikes_available,is_installed,station_status,num_bikes_disabled,last_reported,num_docks_available,num_ebikes_available,station_id,num_docks_disabled,is_returning,is_renting,timestamp_of_data_read_request,year_station_last_reported
0,False,3,0,True,active,1,2020-08-13 03:17:02+00:00,14,0,3,0,True,True,2020-08-13 04:27:10,2020
1,False,4,19,True,active,0,2020-08-13 03:53:52+00:00,0,0,4,0,True,True,2020-08-13 04:27:10,2020
2,False,5,8,True,active,0,2020-08-13 04:19:29+00:00,7,0,5,0,True,True,2020-08-13 04:27:10,2020
3,False,6,3,True,active,1,2020-08-13 04:26:45+00:00,11,0,6,0,True,True,2020-08-13 04:27:10,2020
4,False,7,0,True,active,0,2020-08-13 04:04:59+00:00,15,0,7,0,True,True,2020-08-13 04:27:10,2020
5,False,8,16,True,active,0,2020-08-13 03:45:34+00:00,3,0,8,0,True,True,2020-08-13 04:27:10,2020
6,False,9,14,True,active,1,2020-08-13 03:58:51+00:00,0,0,9,0,True,True,2020-08-13 04:27:10,2020
7,False,10,3,True,active,0,2020-08-13 03:15:42+00:00,8,0,10,0,True,True,2020-08-13 04:27:10,2020
8,False,11,1,True,active,2,2020-08-13 04:07:41+00:00,12,0,11,0,True,True,2020-08-13 04:27:10,2020
9,True,12,13,True,active,0,2020-08-13 04:15:22+00:00,5,0,12,0,True,True,2020-08-13 04:27:10,2020
10,False,13,3,True,active,1,2020-08-13 03:26:14+00:00,15,0,13,0,True,True,2020-08-13 04:27:10,2020
11,False,14,0,True,active,0,2020-08-13 04:17:08+00:00,25,0,14,0,True,True,2020-08-13 04:27:10,2020
12,False,15,13,True,active,0,2020-08-13 03:58:02+00:00,2,0,15,0,True,True,2020-08-13 04:27:10,2020
13,True,16,11,True,active,0,2020-08-13 03:16:22+00:00,8,0,16,0,True,True,2020-08-13 04:27:10,2020
14,False,17,2,True,active,1,2020-08-13 03:59:04+00:00,12,0,17,0,True,True,2020-08-13 04:27:10,2020
15,False,19,7,True,active,1,2020-08-13 04:09:27+00:00,7,0,19,0,True,True,2020-08-13 04:27:10,2020
16,True,20,14,True,active,0,2020-08-13 04:18:40+00:00,9,0,20,0,True,True,2020-08-13 04:27:10,2020
17,True,21,9,True,active,0,2020-08-13 03:15:22+00:00,9,0,21,0,True,True,2020-08-13 04:27:10,2020
18,True,22,3,True,active,0,2020-08-13 04:25:17+00:00,44,0,22,0,True,True,2020-08-13 04:27:10,2020
19,False,23,0,True,active,0,2020-08-13 03:17:16+00:00,21,0,23,0,True,True,2020-08-13 04:27:10,2020
20,False,24,5,True,active,1,2020-08-13 04:16:32+00:00,13,0,24,0,True,True,2020-08-13 04:27:10,2020
21,False,25,14,True,active,1,2020-08-13 03:21:54+00:00,0,0,25,0,True,True,2020-08-13 04:27:10,2020
22,False,26,13,True,active,0,2020-08-13 03:15:47+00:00,2,0,26,0,True,True,2020-08-13 04:27:10,2020
23,False,27,22,True,active,1,2020-08-13 03:56:18+00:00,0,0,27,0,True,True,2020-08-13 04:27:10,2020
24,False,29,7,True,active,0,2020-08-13 03:16:26+00:00,8,0,29,0,True,True,2020-08-13 04:27:10,2020
25,False,30,3,True,active,1,2020-08-13 04:26:36+00:00,11,0,30,0,True,True,2020-08-13 04:27:10,2020
26,True,31,2,True,active,0,2020-08-13 03:16:23+00:00,17,0,31,0,True,True,2020-08-13 04:27:10,2020
27,False,32,1,True,active,0,2020-08-13 04:26:36+00:00,14,0,32,0,True,True,2020-08-13 04:27:10,2020
28,False,33,9,True,active,0,2020-08-13 04:14:53+00:00,18,0,33,0,True,True,2020-08-13 04:27:10,2020
29,False,35,9,True,active,0,2020-08-13 03:52:35+00:00,14,0,35,0,True,True,2020-08-13 04:27:10,2020
30,True,36,3,True,active,1,2020-08-13 04:06:42+00:00,29,0,36,0,True,True,2020-08-13 04:27:10,2020
31,True,37,5,True,active,0,2020-08-13 03:39:24+00:00,10,0,37,0,True,True,2020-08-13 04:27:10,2020
32,False,39,19,True,active,0,2020-08-13 03:34:16+00:00,4,0,39,0,True,True,2020-08-13 04:27:10,2020
33,False,40,12,True,active,2,2020-08-13 03:16:48+00:00,5,0,40,0,True,True,2020-08-13 04:27:10,2020
34,True,41,26,True,active,0,2020-08-13 03:16:43+00:00,1,0,41,0,True,True,2020-08-13 04:27:10,2020
35,False,42,12,True,active,1,2020-08-13 03:15:35+00:00,10,0,42,0,True,True,2020-08-13 04:27:10,2020
36,True,43,10,True,active,0,2020-08-13 04:22:39+00:00,5,0,43,0,True,True,2020-08-13 04:27:10,2020
37,False,44,1,True,active,0,2020-08-13 04:25:33+00:00,22,0,44,0,True,True,2020-08-13 04:27:10,2020
38,False,46,12,True,active,2,2020-08-13 04:19:07+00:00,5,0,46,0,True,True,2020-08-13 04:27:10,2020
39,True,47,13,True,active,0,2020-08-13 03:27:41+00:00,6,0,47,0,True,True,2020-08-13 04:27:10,2020
40,False,48,0,True,active,0,2020-08-13 04:03:53+00:00,19,0,48,0,True,True,2020-08-13 04:27:10,2020
41,False,49,7,True,active,0,2020-08-13 04:26:58+00:00,11,0,49,0,True,True,2020-08-13 04:27:10,2020
42,True,50,0,True,active,0,2020-08-13 03:25:11+00:00,15,0,50,0,True,True,2020-08-13 04:27:10,2020
43,False,51,4,True,active,0,2020-08-13 03:15:48+00:00,11,0,51,0,True,True,2020-08-13 04:27:10,2020
44,True,52,21,True,active,1,2020-08-13 04:02:50+00:00,1,0,52,0,True,True,2020-08-13 04:27:10,2020
45,False,53,9,True,active,4,2020-08-13 04:14:28+00:00,6,0,53,0,True,True,2020-08-13 04:27:10,2020
46,False,54,6,True,active,0,2020-08-13 04:02:05+00:00,9,0,54,0,True,True,2020-08-13 04:27:10,2020
47,False,55,8,True,active,0,2020-08-13 04:25:07+00:00,7,0,55,0,True,True,2020-08-13 04:27:10,2020
48,True,56,6,True,active,1,2020-08-13 03:17:02+00:00,11,0,56,0,True,True,2020-08-13 04:27:10,2020
49,True,57,13,True,active,1,2020-08-13 03:16:33+00:00,0,0,57,0,True,True,2020-08-13 04:27:10,2020
50,True,58,6,True,active,1,2020-08-13 04:01:30+00:00,12,0,58,0,True,True,2020-08-13 04:27:10,2020
51,True,59,1,True,active,0,2020-08-13 03:16:27+00:00,18,0,59,0,True,True,2020-08-13 04:27:10,2020
52,False,60,9,True,active,0,2020-08-13 04:07:00+00:00,10,0,60,0,True,True,2020-08-13 04:27:10,2020
53,False,61,7,True,active,0,2020-08-13 04:14:41+00:00,12,0,61,0,True,True,2020-08-13 04:27:10,2020
54,False,63,4,True,active,0,2020-08-13 03:22:10+00:00,11,0,63,0,True,True,2020-08-13 04:27:10,2020
55,False,64,13,True,active,0,2020-08-13 04:04:08+00:00,6,0,64,0,True,True,2020-08-13 04:27:10,2020
56,False,65,1,True,active,0,2020-08-13 03:15:46+00:00,22,0,65,0,True,True,2020-08-13 04:27:10,2020
57,False,66,14,True,active,1,2020-08-13 03:15:13+00:00,0,0,66,0,True,True,2020-08-13 04:27:10,2020
58,True,67,1,True,active,0,2020-08-13 03:50:23+00:00,26,0,67,0,True,True,2020-08-13 04:27:10,2020
59,True,68,14,True,active,2,2020-08-13 03:28:21+00:00,3,0,68,0,True,True,2020-08-13 04:27:10,2020
60,True,69,13,True,active,0,2020-08-13 03:43:00+00:00,6,0,69,0,True,True,2020-08-13 04:27:10,2020
61,False,70,9,True,active,2,2020-08-13 04:13:08+00:00,12,0,70,0,True,True,2020-08-13 04:27:10,2020
62,False,71,21,True,active,0,2020-08-13 03:34:45+00:00,2,0,71,0,True,True,2020-08-13 04:27:10,2020
63,False,72,2,True,active,0,2020-08-13 04:00:37+00:00,21,0,72,0,True,True,2020-08-13 04:27:10,2020
64,False,73,0,True,active,1,2020-08-13 03:32:01+00:00,14,0,73,0,True,True,2020-08-13 04:27:10,2020
65,True,74,5,True,active,3,2020-08-13 04:03:59+00:00,11,0,74,0,True,True,2020-08-13 04:27:10,2020
66,False,75,12,True,active,0,2020-08-13 03:39:40+00:00,3,0,75,0,True,True,2020-08-13 04:27:10,2020
67,False,76,17,True,active,0,2020-08-13 04:23:47+00:00,0,0,76,0,True,True,2020-08-13 04:27:10,2020
68,False,77,13,True,active,1,2020-08-13 03:15:35+00:00,1,0,77,0,True,True,2020-08-13 04:27:10,2020
69,False,78,16,True,active,0,2020-08-13 03:48:18+00:00,3,0,78,0,True,True,2020-08-13 04:27:10,2020
70,False,79,11,True,active,2,2020-08-13 03:17:14+00:00,6,0,79,0,True,True,2020-08-13 04:27:10,2020
71,False,80,1,True,active,0,2020-08-13 03:59:19+00:00,34,0,80,0,True,True,2020-08-13 04:27:10,2020
72,False,81,13,True,active,1,2020-08-13 03:22:08+00:00,5,0,81,0,True,True,2020-08-13 04:27:10,2020
73,False,82,0,True,active,0,2020-08-13 03:17:02+00:00,15,0,82,0,True,True,2020-08-13 04:27:10,2020
74,False,84,4,True,active,0,2020-08-13 03:15:23+00:00,11,0,84,0,True,True,2020-08-13 04:27:10,2020
75,False,85,0,True,active,0,2020-08-13 00:20:27+00:00,19,0,85,0,True,True,2020-08-13 04:27:10,2020
76,False,86,1,True,active,0,2020-08-13 03:36:01+00:00,18,0,86,0,True,True,2020-08-13 04:27:10,2020
77,False,87,15,True,active,0,2020-08-13 04:24:36+00:00,0,0,87,0,True,True,2020-08-13 04:27:10,2020
78,False,89,11,True,active,1,2020-08-13 03:50:02+00:00,7,0,89,0,True,True,2020-08-13 04:27:10,2020
79,False,90,12,True,active,0,2020-08-13 04:08:59+00:00,7,0,90,0,True,True,2020-08-13 04:27:10,2020
80,False,91,3,True,active,0,2020-08-13 04:24:22+00:00,16,0,91,0,True,True,2020-08-13 04:27:10,2020
81,False,92,8,True,active,1,2020-08-13 03:16:38+00:00,10,0,92,0,True,True,2020-08-13 04:27:10,2020
82,False,93,13,True,active,2,2020-08-13 03:15:19+00:00,0,0,93,0,True,True,2020-08-13 04:27:10,2020
83,False,94,5,True,active,0,2020-08-13 03:45:40+00:00,6,0,94,0,True,True,2020-08-13 04:27:10,2020
84,False,95,5,True,active,0,2020-08-13 03:17:53+00:00,10,0,95,0,True,True,2020-08-13 04:27:10,2020
85,False,96,14,True,active,0,2020-08-13 04:20:25+00:00,5,0,96,0,True,True,2020-08-13 04:27:10,2020
86,False,97,13,True,active,1,2020-08-13 03:39:34+00:00,5,0,97,0,True,True,2020-08-13 04:27:10,2020
87,False,98,9,True,active,1,2020-08-13 03:15:45+00:00,13,0,98,0,True,True,2020-08-13 04:27:10,2020
88,False,99,8,True,active,1,2020-08-13 03:15:37+00:00,6,0,99,0,True,True,2020-08-13 04:27:10,2020
89,True,100,22,True,active,0,2020-08-13 03:16:30+00:00,3,0,100,0,True,True,2020-08-13 04:27:10,2020
90,False,101,13,True,active,0,2020-08-13 03:17:09+00:00,2,0,101,0,True,True,2020-08-13 04:27:10,2020
91,False,102,9,True,active,0,2020-08-13 03:37:27+00:00,6,0,102,0,True,True,2020-08-13 04:27:10,2020
92,False,103,15,True,active,0,2020-08-13 03:15:49+00:00,0,0,103,0,True,True,2020-08-13 04:27:10,2020
93,False,104,7,True,active,0,2020-08-13 03:39:02+00:00,12,0,104,0,True,True,2020-08-13 04:27:10,2020
94,False,105,18,True,active,1,2020-08-13 03:16:18+00:00,0,0,105,0,True,True,2020-08-13 04:27:10,2020
95,False,106,2,True,active,1,2020-08-13 04:03:18+00:00,12,0,106,0,True,True,2020-08-13 04:27:10,2020
96,False,107,0,True,active,0,2020-08-13 03:54:00+00:00,19,0,107,0,True,True,2020-08-13 04:27:10,2020
97,False,108,0,True,active,0,2020-08-13 04:18:32+00:00,17,0,108,0,True,True,2020-08-13 04:27:10,2020
98,False,109,2,True,active,0,2020-08-13 03:22:02+00:00,33,0,109,0,True,True,2020-08-13 04:27:10,2020
99,False,110,1,True,active,0,2020-08-13 03:16:10+00:00,14,0,110,0,True,True,2020-08-13 04:27:10,2020
100,False,111,6,True,active,0,2020-08-13 03:15:19+00:00,9,0,111,0,True,True,2020-08-13 04:27:10,2020
101,False,112,15,True,active,0,2020-08-13 03:15:20+00:00,0,0,112,0,True,True,2020-08-13 04:27:10,2020
102,False,113,13,True,active,0,2020-08-13 03:26:00+00:00,2,0,113,0,True,True,2020-08-13 04:27:10,2020
103,False,114,7,True,active,1,2020-08-13 03:24:42+00:00,7,0,114,0,True,True,2020-08-13 04:27:10,2020
104,False,115,11,True,active,4,2020-08-13 03:15:58+00:00,4,0,115,0,True,True,2020-08-13 04:27:10,2020
105,False,116,20,True,active,0,2020-08-13 04:05:41+00:00,3,0,116,0,True,True,2020-08-13 04:27:10,2020
106,False,117,8,True,active,0,2020-08-13 03:34:49+00:00,11,0,117,0,True,True,2020-08-13 04:27:10,2020
107,False,118,8,True,active,1,2020-08-13 03:21:59+00:00,10,0,118,0,True,True,2020-08-13 04:27:10,2020
108,False,119,15,True,active,0,2020-08-13 03:21:13+00:00,0,0,119,0,True,True,2020-08-13 04:27:10,2020
109,False,120,1,True,active,1,2020-08-13 03:49:02+00:00,13,0,120,0,True,True,2020-08-13 04:27:10,2020
110,False,121,3,True,active,0,2020-08-13 03:21:09+00:00,14,0,121,0,True,True,2020-08-13 04:27:10,2020
111,False,122,1,True,active,0,2020-08-13 03:26:18+00:00,14,0,122,0,True,True,2020-08-13 04:27:10,2020
112,False,124,6,True,active,1,2020-08-13 03:16:16+00:00,8,0,124,0,True,True,2020-08-13 04:27:10,2020
113,False,125,13,True,active,0,2020-08-13 04:02:17+00:00,2,0,125,0,True,True,2020-08-13 04:27:10,2020
114,False,126,7,True,active,1,2020-08-13 03:35:17+00:00,7,0,126,0,True,True,2020-08-13 04:27:10,2020
115,False,128,5,True,active,1,2020-08-13 04:03:53+00:00,13,0,128,0,True,True,2020-08-13 04:27:10,2020
116,False,129,14,True,active,0,2020-08-13 03:28:06+00:00,5,0,129,0,True,True,2020-08-13 04:27:10,2020
117,False,130,12,True,active,0,2020-08-13 04:03:05+00:00,3,0,130,0,True,True,2020-08-13 04:27:10,2020
118,False,131,15,True,active,0,2020-08-13 04:12:34+00:00,3,0,131,0,True,True,2020-08-13 04:27:10,2020
119,False,133,12,True,active,1,2020-08-13 03:29:58+00:00,10,0,133,0,True,True,2020-08-13 04:27:10,2020
120,False,135,2,True,active,0,2020-08-13 03:23:50+00:00,15,0,135,0,True,True,2020-08-13 04:27:10,2020
121,False,136,4,True,active,1,2020-08-13 03:24:14+00:00,14,0,136,0,True,True,2020-08-13 04:27:10,2020
122,False,137,11,True,active,0,2020-08-13 03:23:15+00:00,4,0,137,0,True,True,2020-08-13 04:27:10,2020
123,False,138,12,True,active,1,2020-08-13 03:34:24+00:00,2,0,138,0,True,True,2020-08-13 04:27:10,2020
124,False,139,18,True,active,0,2020-08-13 04:22:31+00:00,1,0,139,0,True,True,2020-08-13 04:27:10,2020
125,False,140,14,True,active,0,2020-08-13 03:23:54+00:00,3,0,140,0,True,True,2020-08-13 04:27:10,2020
126,False,141,6,True,active,0,2020-08-13 03:26:41+00:00,9,0,141,0,True,True,2020-08-13 04:27:10,2020
127,False,142,11,True,active,1,2020-08-13 03:23:31+00:00,11,0,142,0,True,True,2020-08-13 04:27:10,2020
128,False,143,16,True,active,4,2020-08-13 03:18:16+00:00,3,0,143,0,True,True,2020-08-13 04:27:10,2020
129,False,144,10,True,active,1,2020-08-13 03:23:40+00:00,8,0,144,0,True,True,2020-08-13 04:27:10,2020
130,False,145,18,True,active,0,2020-08-13 03:40:14+00:00,1,0,145,0,True,True,2020-08-13 04:27:10,2020
131,False,146,12,True,active,1,2020-08-13 03:24:37+00:00,6,0,146,0,True,True,2020-08-13 04:27:10,2020
132,True,149,10,True,active,0,2020-08-13 03:23:42+00:00,8,0,149,0,True,True,2020-08-13 04:27:10,2020
133,False,150,15,True,active,0,2020-08-13 03:24:08+00:00,4,0,150,0,True,True,2020-08-13 04:27:10,2020
134,False,151,5,True,active,0,2020-08-13 03:53:22+00:00,14,0,151,0,True,True,2020-08-13 04:27:10,2020
135,True,152,5,True,active,0,2020-08-13 03:54:15+00:00,10,0,152,0,True,True,2020-08-13 04:27:10,2020
136,False,156,5,True,active,0,2020-08-13 03:24:46+00:00,10,0,156,0,True,True,2020-08-13 04:27:10,2020
137,False,157,2,True,active,1,2020-08-13 03:57:46+00:00,12,0,157,0,True,True,2020-08-13 04:27:10,2020
138,False,159,14,True,active,0,2020-08-13 03:24:14+00:00,1,0,159,0,True,True,2020-08-13 04:27:10,2020
