,num_docks_disabled,station_status,last_reported,is_renting,station_id,is_installed,num_bikes_disabled,eightd_has_available_keys,num_ebikes_available,num_docks_available,legacy_id,num_bikes_available,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
66,0,active,2020-08-07 22:36:50+00:00,True,75,True,0,False,0,12,75,3,True,,,2020-08-07 22:43:25,2020
67,0,active,2020-08-07 22:38:20+00:00,True,76,True,0,False,0,4,76,13,True,,,2020-08-07 22:43:25,2020
68,0,active,2020-08-07 22:39:01+00:00,True,77,True,0,False,0,11,77,4,True,,,2020-08-07 22:43:25,2020
69,0,active,2020-08-07 22:35:23+00:00,True,78,True,2,False,0,4,78,13,True,,,2020-08-07 22:43:25,2020
70,0,active,2020-08-07 22:22:11+00:00,True,79,True,1,False,0,11,79,7,True,,,2020-08-07 22:43:25,2020
71,0,active,2020-08-07 22:39:45+00:00,True,80,True,2,False,0,20,80,13,True,,,2020-08-07 22:43:25,2020
72,0,active,2020-08-07 22:36:24+00:00,True,81,True,0,False,0,7,81,12,True,,,2020-08-07 22:43:25,2020
73,0,active,2020-08-07 21:43:36+00:00,True,82,True,0,False,0,10,82,5,True,,,2020-08-07 22:43:25,2020
74,0,active,2020-08-07 22:33:40+00:00,True,84,True,0,False,0,5,84,10,True,,,2020-08-07 22:43:25,2020
75,0,active,2020-08-07 22:32:32+00:00,True,85,True,0,False,0,13,85,6,True,,,2020-08-07 22:43:25,2020
76,0,active,2020-08-07 22:33:18+00:00,True,86,True,0,False,0,19,86,0,True,,,2020-08-07 22:43:25,2020
77,0,active,2020-08-07 22:34:32+00:00,True,87,True,1,False,0,10,87,4,True,,,2020-08-07 22:43:25,2020
78,0,active,2020-08-07 22:40:05+00:00,True,89,True,0,False,0,8,89,11,True,,,2020-08-07 22:43:25,2020
79,0,active,2020-08-07 22:42:44+00:00,True,90,True,0,False,0,11,90,8,True,,,2020-08-07 22:43:25,2020
80,0,active,2020-08-07 22:35:44+00:00,True,91,True,1,False,0,17,91,1,True,,,2020-08-07 22:43:25,2020
81,0,active,2020-08-07 20:51:25+00:00,True,92,True,0,False,0,11,92,8,True,,,2020-08-07 22:43:25,2020
82,0,active,2020-08-07 22:35:57+00:00,True,93,True,1,False,0,7,93,7,True,,,2020-08-07 22:43:25,2020
83,0,active,2020-08-07 22:40:53+00:00,True,94,True,0,False,0,7,94,4,True,,,2020-08-07 22:43:25,2020
84,0,active,2020-08-07 22:41:53+00:00,True,95,True,1,False,0,10,95,4,True,,,2020-08-07 22:43:25,2020
85,0,active,2020-08-07 22:37:16+00:00,True,96,True,0,False,0,13,96,6,True,,,2020-08-07 22:43:25,2020
86,0,active,2020-08-07 22:43:01+00:00,True,97,True,0,False,0,8,97,11,True,,,2020-08-07 22:43:25,2020
87,0,active,2020-08-07 22:35:34+00:00,True,98,True,0,False,0,17,98,6,True,,,2020-08-07 22:43:25,2020
88,0,active,2020-08-07 22:24:50+00:00,True,99,True,0,False,0,5,99,10,True,,,2020-08-07 22:43:25,2020
89,0,active,2020-08-07 22:35:27+00:00,True,100,True,0,True,0,2,100,23,True,,,2020-08-07 22:43:25,2020
90,0,active,2020-08-07 22:41:12+00:00,True,101,True,0,False,0,1,101,14,True,,,2020-08-07 22:43:25,2020
91,0,active,2020-08-07 22:24:37+00:00,True,102,True,3,False,0,4,102,8,True,,,2020-08-07 22:43:25,2020
92,0,active,2020-08-07 22:26:09+00:00,True,103,True,0,False,0,12,103,3,True,,,2020-08-07 22:43:25,2020
93,0,active,2020-08-07 22:32:36+00:00,True,104,True,1,False,0,12,104,6,True,,,2020-08-07 22:43:25,2020
94,0,active,2020-08-07 22:41:10+00:00,True,105,True,0,False,0,4,105,15,True,,,2020-08-07 22:43:25,2020
95,0,active,2020-08-07 21:13:12+00:00,True,106,True,0,False,0,10,106,5,True,,,2020-08-07 22:43:25,2020
96,0,active,2020-08-07 22:40:54+00:00,True,107,True,1,False,0,14,107,4,True,,,2020-08-07 22:43:25,2020
97,0,active,2020-08-07 22:23:02+00:00,True,108,True,0,False,0,12,108,5,True,,,2020-08-07 22:43:25,2020
98,0,active,2020-08-07 21:51:42+00:00,True,109,True,0,False,0,22,109,13,True,,,2020-08-07 22:43:25,2020
99,0,active,2020-08-07 22:35:48+00:00,True,110,True,0,False,0,13,110,2,True,,,2020-08-07 22:43:25,2020
100,0,active,2020-08-07 22:01:16+00:00,True,111,True,0,False,0,15,111,0,True,,,2020-08-07 22:43:25,2020
101,0,active,2020-08-07 22:40:06+00:00,True,112,True,0,False,0,10,112,5,True,,,2020-08-07 22:43:25,2020
102,0,active,2020-08-07 22:23:09+00:00,True,113,True,0,False,0,13,113,2,True,,,2020-08-07 22:43:25,2020
103,0,active,2020-08-07 22:24:54+00:00,True,114,True,0,False,0,11,114,4,True,,,2020-08-07 22:43:25,2020
104,0,active,2020-08-07 22:35:15+00:00,True,115,True,0,False,0,4,115,15,True,,,2020-08-07 22:43:25,2020
105,0,active,2020-08-07 22:37:02+00:00,True,116,True,0,False,0,9,116,14,True,,,2020-08-07 22:43:25,2020
106,0,active,2020-08-07 21:57:50+00:00,True,117,True,0,False,0,7,117,12,True,,,2020-08-07 22:43:25,2020
107,0,active,2020-08-07 22:21:19+00:00,True,118,True,0,False,0,6,118,13,True,,,2020-08-07 22:43:25,2020
108,0,active,2020-08-07 22:38:44+00:00,True,119,True,1,False,0,3,119,11,True,,,2020-08-07 22:43:25,2020
