,station_id,is_installed,legacy_id,num_bikes_available,num_bikes_disabled,last_reported,is_returning,num_docks_disabled,num_ebikes_available,is_renting,station_status,eightd_has_available_keys,num_docks_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
41,49,True,49,10,1,2020-08-04 22:47:26+00:00,True,0,0,True,active,False,7,,,2020-08-04 22:59:25,2020
42,50,True,50,8,2,2020-08-04 22:37:06+00:00,True,0,0,True,active,True,5,,,2020-08-04 22:59:25,2020
43,51,True,51,4,1,2020-08-04 22:45:48+00:00,True,0,0,True,active,False,10,,,2020-08-04 22:59:25,2020
44,52,True,52,18,1,2020-08-04 22:54:37+00:00,True,0,0,True,active,True,4,,,2020-08-04 22:59:25,2020
45,53,True,53,15,0,2020-08-04 22:58:42+00:00,True,0,0,True,active,False,4,,,2020-08-04 22:59:25,2020
46,54,True,54,10,1,2020-08-04 22:50:11+00:00,True,0,0,True,active,False,4,,,2020-08-04 22:59:25,2020
47,55,True,55,10,1,2020-08-04 22:53:06+00:00,True,0,0,True,active,False,4,,,2020-08-04 22:59:25,2020
48,56,True,56,7,0,2020-08-04 20:58:14+00:00,True,0,0,True,active,True,11,,,2020-08-04 22:59:25,2020
49,57,True,57,2,1,2020-08-04 22:48:26+00:00,True,0,0,True,active,True,11,,,2020-08-04 22:59:25,2020
50,58,True,58,6,2,2020-08-04 22:54:58+00:00,True,0,0,True,active,True,11,,,2020-08-04 22:59:25,2020
51,59,True,59,5,1,2020-08-04 22:28:35+00:00,True,0,0,True,active,True,13,,,2020-08-04 22:59:25,2020
52,60,True,60,16,0,2020-08-04 22:56:36+00:00,True,0,0,True,active,False,3,,,2020-08-04 22:59:25,2020
53,61,True,61,3,0,2020-08-04 22:46:12+00:00,True,0,0,True,active,False,16,,,2020-08-04 22:59:25,2020
54,63,True,63,6,0,2020-08-04 19:44:51+00:00,True,0,0,True,active,False,9,,,2020-08-04 22:59:25,2020
55,64,True,64,10,0,2020-08-04 22:37:19+00:00,True,0,0,True,active,False,9,,,2020-08-04 22:59:25,2020
56,65,True,65,6,1,2020-08-04 16:26:16+00:00,True,0,0,True,active,False,16,,,2020-08-04 22:59:25,2020
57,66,True,66,4,0,2020-08-04 22:37:56+00:00,True,0,0,True,active,False,11,,,2020-08-04 22:59:25,2020
58,67,True,67,10,0,2020-08-04 22:53:10+00:00,True,0,0,True,active,True,17,,,2020-08-04 22:59:25,2020
59,68,True,68,7,1,2020-08-04 22:55:45+00:00,True,0,0,True,active,True,11,,,2020-08-04 22:59:25,2020
60,69,True,69,11,0,2020-08-04 22:49:59+00:00,True,0,0,True,active,True,8,,,2020-08-04 22:59:25,2020
61,70,True,70,17,0,2020-08-04 22:44:04+00:00,True,0,0,True,active,False,6,,,2020-08-04 22:59:25,2020
62,71,True,71,20,0,2020-08-04 22:32:24+00:00,True,0,0,True,active,False,3,,,2020-08-04 22:59:25,2020
63,72,True,72,3,0,2020-08-04 22:50:31+00:00,True,0,0,True,active,False,20,,,2020-08-04 22:59:25,2020
64,73,True,73,3,0,2020-08-04 22:28:05+00:00,True,0,0,True,active,False,12,,,2020-08-04 22:59:25,2020
65,74,True,74,8,1,2020-08-04 22:39:48+00:00,True,0,0,True,active,True,10,,,2020-08-04 22:59:25,2020
66,75,True,75,3,0,2020-08-04 22:51:05+00:00,True,0,0,True,active,False,12,,,2020-08-04 22:59:25,2020
67,76,True,76,9,0,2020-08-04 22:56:18+00:00,True,0,0,True,active,False,8,,,2020-08-04 22:59:25,2020
68,77,True,77,6,0,2020-08-04 22:59:06+00:00,True,0,0,True,active,False,9,,,2020-08-04 22:59:25,2020
69,78,True,78,16,0,2020-08-04 22:58:52+00:00,True,0,0,True,active,False,3,,,2020-08-04 22:59:25,2020
70,79,True,79,13,0,2020-08-04 22:36:03+00:00,True,0,0,True,active,False,6,,,2020-08-04 22:59:25,2020
71,80,True,80,9,0,2020-08-04 22:56:25+00:00,True,0,0,True,active,False,26,,,2020-08-04 22:59:25,2020
72,81,True,81,1,1,2020-08-04 22:56:11+00:00,True,0,0,True,active,False,17,,,2020-08-04 22:59:25,2020
73,82,True,82,11,1,2020-08-04 22:36:10+00:00,True,0,0,True,active,False,3,,,2020-08-04 22:59:25,2020
74,84,True,84,9,0,2020-08-04 22:54:55+00:00,True,0,0,True,active,False,6,,,2020-08-04 22:59:25,2020
75,85,True,85,3,2,2020-08-04 22:56:53+00:00,True,0,0,True,active,False,14,,,2020-08-04 22:59:25,2020
76,86,True,86,8,0,2020-08-04 22:32:54+00:00,True,0,0,True,active,False,11,,,2020-08-04 22:59:25,2020
77,87,True,87,7,0,2020-08-04 22:40:34+00:00,True,0,0,True,active,False,8,,,2020-08-04 22:59:25,2020
78,89,True,89,12,1,2020-08-04 22:22:28+00:00,True,0,0,True,active,False,6,,,2020-08-04 22:59:25,2020
79,90,True,90,8,2,2020-08-04 22:38:38+00:00,True,0,0,True,active,False,9,,,2020-08-04 22:59:25,2020
80,91,True,91,6,1,2020-08-04 22:55:15+00:00,True,0,0,True,active,False,12,,,2020-08-04 22:59:25,2020
81,92,True,92,15,0,2020-08-04 17:12:55+00:00,True,0,0,True,active,False,4,,,2020-08-04 22:59:25,2020
82,93,True,93,11,1,2020-08-04 21:18:51+00:00,True,0,0,True,active,False,3,,,2020-08-04 22:59:25,2020
83,94,True,94,6,2,2020-08-04 22:51:17+00:00,True,0,0,True,active,False,3,,,2020-08-04 22:59:25,2020
84,95,True,95,13,0,2020-08-04 22:33:49+00:00,True,0,0,True,active,False,2,,,2020-08-04 22:59:25,2020
85,96,True,96,15,0,2020-08-04 22:28:37+00:00,True,0,0,True,active,False,4,,,2020-08-04 22:59:25,2020
86,97,True,97,8,1,2020-08-04 22:48:59+00:00,True,0,0,True,active,False,10,,,2020-08-04 22:59:25,2020
87,98,True,98,13,0,2020-08-04 22:58:10+00:00,True,0,0,True,active,False,10,,,2020-08-04 22:59:25,2020
88,99,True,99,6,0,2020-08-04 22:22:32+00:00,True,0,0,True,active,False,9,,,2020-08-04 22:59:25,2020
89,100,True,100,20,1,2020-08-04 22:29:36+00:00,True,0,0,True,active,True,4,,,2020-08-04 22:59:25,2020
90,101,True,101,15,0,2020-08-04 21:47:00+00:00,True,0,0,True,active,False,0,,,2020-08-04 22:59:25,2020
91,102,True,102,12,1,2020-08-04 22:58:53+00:00,True,0,0,True,active,False,2,,,2020-08-04 22:59:25,2020
92,103,True,103,6,1,2020-08-04 22:39:08+00:00,True,0,0,True,active,False,8,,,2020-08-04 22:59:25,2020
93,104,True,104,6,0,2020-08-04 22:47:26+00:00,True,0,0,True,active,False,13,,,2020-08-04 22:59:25,2020
94,105,True,105,3,0,2020-08-04 22:54:45+00:00,True,0,0,True,active,False,16,,,2020-08-04 22:59:25,2020
95,106,True,106,0,0,2020-08-04 22:22:49+00:00,True,0,0,True,active,False,15,,,2020-08-04 22:59:25,2020
96,107,True,107,1,0,2020-08-04 22:59:03+00:00,True,0,0,True,active,False,18,,,2020-08-04 22:59:25,2020
97,108,True,108,7,1,2020-08-04 22:22:03+00:00,True,0,0,True,active,False,9,,,2020-08-04 22:59:25,2020
