,legacy_id,is_installed,is_returning,station_status,num_bikes_disabled,num_docks_available,num_bikes_available,station_id,eightd_has_available_keys,last_reported,is_renting,num_ebikes_available,num_docks_disabled,timestamp_of_data_read_request,year_station_last_reported
221,330,True,True,active,0,7,8,330,False,2020-08-21 02:21:51+00:00,True,0,0,2020-08-21 04:52:45,2020
222,331,True,True,active,0,0,15,331,False,2020-08-21 04:38:18+00:00,True,0,0,2020-08-21 04:52:45,2020
223,332,True,True,active,0,1,14,332,False,2020-08-21 04:46:06+00:00,True,0,0,2020-08-21 04:52:45,2020
224,333,True,True,active,0,6,19,333,False,2020-08-21 04:31:29+00:00,True,0,0,2020-08-21 04:52:45,2020
225,334,True,True,active,0,0,19,334,False,2020-08-21 01:17:41+00:00,True,0,0,2020-08-21 04:52:45,2020
226,335,True,True,active,0,6,13,335,False,2020-08-21 04:26:08+00:00,True,0,0,2020-08-21 04:52:45,2020
227,336,True,True,active,0,12,3,336,False,2020-08-20 21:34:57+00:00,True,0,0,2020-08-21 04:52:45,2020
228,337,True,True,active,0,0,15,337,False,2020-08-20 22:28:37+00:00,True,0,0,2020-08-21 04:52:45,2020
229,338,True,True,active,0,2,13,338,False,2020-08-21 04:22:50+00:00,True,0,0,2020-08-21 04:52:45,2020
230,339,True,False,active,0,0,15,339,False,2020-08-20 15:22:04+00:00,False,0,0,2020-08-21 04:52:45,2020
231,340,True,True,active,0,4,15,340,False,2020-08-21 01:00:50+00:00,True,0,0,2020-08-21 04:52:45,2020
232,341,True,True,active,0,0,15,341,True,2020-08-21 01:51:55+00:00,True,0,0,2020-08-21 04:52:45,2020
233,342,True,True,active,2,0,13,342,False,2020-08-21 03:54:31+00:00,True,0,0,2020-08-21 04:52:45,2020
234,343,True,True,active,0,12,3,343,False,2020-08-20 05:26:24+00:00,True,0,0,2020-08-21 04:52:45,2020
235,344,True,True,active,1,17,1,344,False,2020-08-21 01:05:32+00:00,True,0,0,2020-08-21 04:52:45,2020
236,345,True,True,active,0,13,6,345,False,2020-08-21 02:20:44+00:00,True,0,0,2020-08-21 04:52:45,2020
237,346,True,True,active,0,14,1,346,False,2020-08-21 01:05:34+00:00,True,0,0,2020-08-21 04:52:45,2020
238,347,True,True,active,0,3,12,347,False,2020-08-21 03:44:03+00:00,True,0,0,2020-08-21 04:52:45,2020
239,348,True,True,active,0,8,7,348,False,2020-08-21 04:33:46+00:00,True,0,0,2020-08-21 04:52:45,2020
240,349,True,True,active,0,12,5,349,False,2020-08-21 04:26:22+00:00,True,0,0,2020-08-21 04:52:45,2020
241,350,True,True,active,0,5,12,350,False,2020-08-20 20:26:19+00:00,True,0,0,2020-08-21 04:52:45,2020
242,351,True,True,active,0,0,15,351,False,2020-08-21 02:30:58+00:00,True,0,0,2020-08-21 04:52:45,2020
243,352,True,True,active,0,7,8,352,False,2020-08-21 02:13:56+00:00,True,0,0,2020-08-21 04:52:45,2020
244,353,True,True,active,0,8,7,353,True,2020-08-20 21:10:55+00:00,True,0,0,2020-08-21 04:52:45,2020
245,354,True,True,active,0,12,3,354,False,2020-08-21 04:31:40+00:00,True,0,0,2020-08-21 04:52:45,2020
246,355,True,True,active,0,2,15,355,False,2020-08-21 02:04:22+00:00,True,0,0,2020-08-21 04:52:45,2020
247,356,True,True,active,2,21,0,356,False,2020-08-21 03:26:26+00:00,True,0,0,2020-08-21 04:52:45,2020
248,357,True,True,active,0,1,14,357,False,2020-08-21 02:07:16+00:00,True,0,0,2020-08-21 04:52:45,2020
249,358,True,True,active,0,3,16,358,False,2020-08-21 04:25:25+00:00,True,0,0,2020-08-21 04:52:45,2020
250,359,True,True,active,0,9,6,359,False,2020-08-21 04:12:55+00:00,True,0,0,2020-08-21 04:52:45,2020
251,360,True,True,active,0,7,8,360,False,2020-08-21 02:34:42+00:00,True,0,0,2020-08-21 04:52:45,2020
252,361,True,True,active,1,4,14,361,False,2020-08-21 03:29:29+00:00,True,0,0,2020-08-21 04:52:45,2020
253,362,True,True,active,1,5,13,362,False,2020-08-21 02:06:32+00:00,True,0,0,2020-08-21 04:52:45,2020
254,363,True,True,active,1,4,14,363,False,2020-08-21 04:44:40+00:00,True,0,0,2020-08-21 04:52:45,2020
255,364,True,True,active,2,9,8,364,False,2020-08-21 03:19:52+00:00,True,0,0,2020-08-21 04:52:45,2020
256,365,True,True,active,0,2,17,365,False,2020-08-21 04:39:13+00:00,True,0,0,2020-08-21 04:52:45,2020
257,366,False,True,out_of_service,0,0,0,366,False,1970-01-02 00:00:00+00:00,True,0,0,2020-08-21 04:52:45,1970
258,367,True,True,active,1,4,14,367,False,2020-08-21 01:24:29+00:00,True,0,0,2020-08-21 04:52:45,2020
259,368,True,True,active,0,10,5,368,False,2020-08-20 23:20:01+00:00,True,0,0,2020-08-21 04:52:45,2020
260,369,True,True,active,0,2,13,369,False,2020-08-21 01:49:36+00:00,True,0,0,2020-08-21 04:52:45,2020
261,370,True,True,active,0,9,10,370,False,2020-08-21 03:38:42+00:00,True,0,0,2020-08-21 04:52:45,2020
262,371,True,True,active,0,17,2,371,False,2020-08-20 23:42:12+00:00,True,0,0,2020-08-21 04:52:45,2020
263,372,True,True,active,1,14,4,372,False,2020-08-21 04:33:56+00:00,True,0,0,2020-08-21 04:52:45,2020
