,last_reported,num_ebikes_available,num_bikes_disabled,legacy_id,is_installed,num_bikes_available,is_renting,eightd_has_available_keys,station_id,station_status,num_docks_available,num_docks_disabled,is_returning,timestamp_of_data_read_request,year_station_last_reported
45,2020-08-12 02:17:22+00:00,0,0,53,True,10,True,False,53,active,9,0,True,2020-08-12 02:19:25,2020
46,2020-08-12 02:07:10+00:00,0,0,54,True,6,True,False,54,active,9,0,True,2020-08-12 02:19:25,2020
47,2020-08-12 01:30:55+00:00,0,0,55,True,9,True,False,55,active,6,0,True,2020-08-12 02:19:25,2020
48,2020-08-12 02:09:45+00:00,0,1,56,True,11,True,True,56,active,6,0,True,2020-08-12 02:19:25,2020
49,2020-08-12 02:18:53+00:00,0,0,57,True,14,True,True,57,active,0,0,True,2020-08-12 02:19:25,2020
50,2020-08-12 02:11:00+00:00,0,2,58,True,12,True,True,58,active,5,0,True,2020-08-12 02:19:25,2020
51,2020-08-12 02:16:39+00:00,0,0,59,True,9,True,True,59,active,10,0,True,2020-08-12 02:19:25,2020
52,2020-08-12 02:16:48+00:00,0,0,60,True,9,True,False,60,active,10,0,True,2020-08-12 02:19:25,2020
53,2020-08-12 01:56:18+00:00,0,0,61,True,3,True,False,61,active,16,0,True,2020-08-12 02:19:25,2020
54,2020-08-11 23:56:13+00:00,0,0,63,True,4,True,False,63,active,11,0,True,2020-08-12 02:19:25,2020
55,2020-08-12 02:19:16+00:00,0,1,64,True,9,True,False,64,active,9,0,True,2020-08-12 02:19:25,2020
56,2020-08-12 02:11:17+00:00,0,1,65,True,1,True,False,65,active,21,0,True,2020-08-12 02:19:25,2020
57,2020-08-12 02:00:45+00:00,0,0,66,True,15,True,False,66,active,0,0,True,2020-08-12 02:19:25,2020
58,2020-08-12 02:03:25+00:00,0,1,67,True,0,True,True,67,active,26,0,True,2020-08-12 02:19:25,2020
59,2020-08-12 02:19:17+00:00,0,2,68,True,10,True,True,68,active,7,0,True,2020-08-12 02:19:25,2020
60,2020-08-12 02:15:23+00:00,0,0,69,True,14,True,True,69,active,5,0,True,2020-08-12 02:19:25,2020
61,2020-08-12 01:38:27+00:00,0,0,70,True,12,True,False,70,active,11,0,True,2020-08-12 02:19:25,2020
62,2020-08-12 02:11:14+00:00,0,0,71,True,20,True,False,71,active,3,0,True,2020-08-12 02:19:25,2020
