,eightd_has_available_keys,station_id,num_docks_disabled,is_returning,is_renting,num_docks_available,last_reported,station_status,legacy_id,num_bikes_disabled,is_installed,num_ebikes_available,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
41,False,49,0,True,True,18,2020-07-31 22:45:47+00:00,active,49,0,True,0,0,,,2020-07-31 23:42:35,2020
42,True,50,0,True,True,10,2020-07-31 23:18:05+00:00,active,50,0,True,0,5,,,2020-07-31 23:42:35,2020
43,False,51,0,True,True,9,2020-07-31 23:33:46+00:00,active,51,2,True,0,4,,,2020-07-31 23:42:35,2020
44,True,52,0,True,True,10,2020-07-31 23:42:10+00:00,active,52,1,True,0,12,,,2020-07-31 23:42:35,2020
45,False,53,0,True,True,16,2020-07-31 23:40:32+00:00,active,53,1,True,0,2,,,2020-07-31 23:42:35,2020
46,False,54,0,True,True,14,2020-07-31 23:37:13+00:00,active,54,0,True,0,1,,,2020-07-31 23:42:35,2020
47,False,55,0,True,True,4,2020-07-31 23:39:13+00:00,active,55,0,True,0,11,,,2020-07-31 23:42:35,2020
48,True,56,0,True,True,9,2020-07-31 23:31:37+00:00,active,56,0,True,0,9,,,2020-07-31 23:42:35,2020
49,True,57,0,True,True,14,2020-07-31 23:29:13+00:00,active,57,0,True,0,0,,,2020-07-31 23:42:35,2020
50,True,58,0,True,True,14,2020-07-31 23:37:46+00:00,active,58,1,True,0,4,,,2020-07-31 23:42:35,2020
51,False,59,0,True,True,19,2020-07-31 23:16:39+00:00,active,59,0,True,0,0,,,2020-07-31 23:42:35,2020
52,False,60,0,True,True,13,2020-07-31 23:41:52+00:00,active,60,3,True,0,3,"{'region': 'BOS', 'dock_blocked_count': 0, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 63, 'off_dock_capacity': 40, 'off_dock_count': 2, 'active': True}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-07-31 23:42:35,2020
53,False,61,0,True,True,4,2020-07-31 23:42:23+00:00,active,61,0,True,0,15,,,2020-07-31 23:42:35,2020
54,False,63,0,True,True,14,2020-07-31 23:36:54+00:00,active,63,0,True,0,1,,,2020-07-31 23:42:35,2020
55,False,64,0,True,True,0,2020-07-31 22:45:16+00:00,active,64,1,True,0,18,,,2020-07-31 23:42:35,2020
56,False,65,0,True,True,10,2020-07-31 23:34:41+00:00,active,65,0,True,0,13,,,2020-07-31 23:42:35,2020
57,False,66,0,True,True,11,2020-07-31 23:38:12+00:00,active,66,1,True,0,3,,,2020-07-31 23:42:35,2020
58,True,67,0,True,True,20,2020-07-31 23:41:38+00:00,active,67,2,True,0,5,,,2020-07-31 23:42:35,2020
59,True,68,0,True,True,14,2020-07-31 23:39:53+00:00,active,68,1,True,0,4,,,2020-07-31 23:42:35,2020
60,True,69,0,True,True,7,2020-07-31 23:42:16+00:00,active,69,0,True,0,12,,,2020-07-31 23:42:35,2020
61,False,70,0,True,True,4,2020-07-31 23:37:31+00:00,active,70,2,True,0,17,,,2020-07-31 23:42:35,2020
62,False,71,0,True,True,5,2020-07-31 23:35:26+00:00,active,71,0,True,0,18,,,2020-07-31 23:42:35,2020
63,False,72,0,True,True,23,2020-07-31 23:36:01+00:00,active,72,0,True,0,0,,,2020-07-31 23:42:35,2020
64,False,73,0,True,True,1,2020-07-31 23:42:25+00:00,active,73,0,True,0,14,,,2020-07-31 23:42:35,2020
65,True,74,0,True,True,1,2020-07-31 23:34:17+00:00,active,74,1,True,0,17,,,2020-07-31 23:42:35,2020
66,False,75,0,True,True,8,2020-07-31 23:28:07+00:00,active,75,0,True,0,7,,,2020-07-31 23:42:35,2020
67,False,76,0,True,True,7,2020-07-31 23:40:35+00:00,active,76,1,True,0,9,,,2020-07-31 23:42:35,2020
68,False,77,0,True,True,9,2020-07-31 23:41:51+00:00,active,77,0,True,0,6,,,2020-07-31 23:42:35,2020
69,False,78,0,True,True,2,2020-07-31 23:35:33+00:00,active,78,1,True,0,16,,,2020-07-31 23:42:35,2020
70,False,79,0,True,True,10,2020-07-31 23:25:35+00:00,active,79,0,True,0,9,,,2020-07-31 23:42:35,2020
