,num_docks_disabled,last_reported,is_installed,legacy_id,num_bikes_disabled,num_ebikes_available,eightd_has_available_keys,station_status,num_bikes_available,station_id,is_returning,is_renting,num_docks_available,timestamp_of_data_read_request,year_station_last_reported
0,0,2020-07-30 03:50:50+00:00,True,3,2,0,True,active,0,3,True,True,13,2020-07-30 08:52:50,2020
1,0,2020-07-30 08:25:31+00:00,True,4,1,0,False,active,14,4,True,True,4,2020-07-30 08:52:50,2020
2,0,2020-07-30 08:40:06+00:00,True,5,1,0,False,active,13,5,True,True,1,2020-07-30 08:52:50,2020
3,0,2020-07-30 08:50:14+00:00,True,6,0,0,False,active,9,6,True,True,6,2020-07-30 08:52:50,2020
4,0,2020-07-30 08:45:14+00:00,True,7,1,0,False,active,4,7,True,True,10,2020-07-30 08:52:50,2020
5,0,2020-07-30 08:20:55+00:00,True,8,2,0,False,active,17,8,True,True,0,2020-07-30 08:52:50,2020
6,0,2020-07-30 07:52:57+00:00,True,9,1,0,False,active,5,9,True,True,9,2020-07-30 08:52:50,2020
7,0,2020-07-30 08:10:18+00:00,True,10,0,0,False,active,0,10,True,True,11,2020-07-30 08:52:50,2020
8,0,2020-07-30 08:04:11+00:00,True,11,0,0,False,active,8,11,True,True,7,2020-07-30 08:52:50,2020
9,0,2020-07-30 08:50:07+00:00,True,12,1,0,True,active,4,12,True,True,13,2020-07-30 08:52:50,2020
10,0,2020-07-30 08:49:48+00:00,True,13,0,0,False,active,1,13,True,True,18,2020-07-30 08:52:50,2020
11,0,2020-07-30 02:20:48+00:00,True,14,0,0,False,active,0,14,True,True,25,2020-07-30 08:52:50,2020
12,0,2020-07-30 08:51:39+00:00,True,15,0,0,False,active,13,15,True,True,2,2020-07-30 08:52:50,2020
13,0,2020-07-30 06:55:33+00:00,True,16,1,0,True,active,5,16,True,True,13,2020-07-30 08:52:50,2020
14,0,2020-07-30 03:28:09+00:00,True,17,0,0,False,active,11,17,True,True,4,2020-07-30 08:52:50,2020
15,0,2020-07-30 05:21:37+00:00,True,19,0,0,False,active,5,19,True,True,10,2020-07-30 08:52:50,2020
