,station_id,last_reported,num_bikes_available,num_docks_available,is_installed,legacy_id,station_status,num_docks_disabled,eightd_has_available_keys,num_ebikes_available,num_bikes_disabled,is_returning,is_renting,timestamp_of_data_read_request,year_station_last_reported
159,185,2020-08-14 23:55:11+00:00,0,13,True,185,active,0,False,0,2,True,True,2020-08-15 00:02:10,2020
160,186,2020-08-14 23:45:46+00:00,10,5,True,186,active,0,True,0,0,True,True,2020-08-15 00:02:10,2020
161,187,2020-08-14 23:59:56+00:00,6,9,True,187,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
162,188,2020-08-14 23:53:28+00:00,10,5,True,188,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
163,189,2020-08-14 23:34:27+00:00,0,23,True,189,active,0,True,0,0,True,True,2020-08-15 00:02:10,2020
164,190,2020-08-14 23:57:50+00:00,7,29,True,190,active,0,True,0,1,True,True,2020-08-15 00:02:10,2020
165,191,2020-08-14 23:38:13+00:00,5,10,True,191,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
166,192,2020-08-14 23:07:37+00:00,1,17,True,192,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
167,193,2020-08-14 23:58:21+00:00,13,1,True,193,active,0,True,0,1,True,True,2020-08-15 00:02:10,2020
168,194,2020-08-14 23:47:03+00:00,5,14,True,194,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
169,195,2020-08-14 23:53:53+00:00,2,21,True,195,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
170,196,2020-08-14 20:17:07+00:00,1,9,True,196,active,0,True,0,0,True,True,2020-08-15 00:02:10,2020
171,197,2020-08-14 23:12:49+00:00,0,14,True,197,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
172,199,2020-08-14 20:27:09+00:00,7,8,True,199,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
173,200,2020-08-14 23:47:19+00:00,17,2,True,200,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
174,201,2020-08-14 19:03:19+00:00,8,7,True,201,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
175,202,2020-08-14 23:40:19+00:00,6,8,True,202,active,0,False,0,1,True,True,2020-08-15 00:02:10,2020
176,203,2020-08-14 08:10:00+00:00,0,15,True,203,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
177,204,2020-08-14 14:37:30+00:00,0,15,True,204,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
178,205,2020-08-14 23:02:26+00:00,7,8,True,205,active,0,False,0,0,True,True,2020-08-15 00:02:10,2020
179,206,2020-08-15 00:00:57+00:00,2,20,True,206,active,0,True,0,1,True,True,2020-08-15 00:02:10,2020
180,208,2020-08-14 23:34:58+00:00,8,7,True,208,active,0,True,0,0,True,True,2020-08-15 00:02:10,2020
