,station_id,num_bikes_disabled,is_returning,station_status,legacy_id,is_renting,num_bikes_available,eightd_has_available_keys,last_reported,num_docks_available,num_docks_disabled,is_installed,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
62,71,0,True,active,71,True,21,False,2020-07-30 03:00:48+00:00,2,0,True,0,2020-07-30 03:16:05,2020
63,72,1,True,active,72,True,1,False,2020-07-30 02:14:23+00:00,21,0,True,0,2020-07-30 03:16:05,2020
64,73,1,True,active,73,True,6,False,2020-07-30 02:59:11+00:00,8,0,True,0,2020-07-30 03:16:05,2020
65,74,1,True,active,74,True,11,True,2020-07-30 03:11:47+00:00,7,0,True,0,2020-07-30 03:16:05,2020
66,75,0,True,active,75,True,0,False,2020-07-30 02:31:35+00:00,15,0,True,0,2020-07-30 03:16:05,2020
67,76,1,True,active,76,True,6,False,2020-07-30 02:29:40+00:00,10,0,True,0,2020-07-30 03:16:05,2020
68,77,0,True,active,77,True,11,False,2020-07-30 01:23:21+00:00,4,0,True,0,2020-07-30 03:16:05,2020
69,78,0,True,active,78,True,18,False,2020-07-30 02:30:03+00:00,1,0,True,0,2020-07-30 03:16:05,2020
70,79,1,True,active,79,True,13,False,2020-07-30 01:35:06+00:00,5,0,True,0,2020-07-30 03:16:05,2020
71,80,1,True,active,80,True,6,False,2020-07-30 02:07:57+00:00,28,0,True,0,2020-07-30 03:16:05,2020
72,81,0,True,active,81,True,7,False,2020-07-30 02:41:57+00:00,12,0,True,0,2020-07-30 03:16:05,2020
73,82,0,True,active,82,True,1,False,2020-07-30 01:21:58+00:00,14,0,True,0,2020-07-30 03:16:05,2020
74,84,1,True,active,84,True,9,False,2020-07-30 02:51:08+00:00,5,0,True,0,2020-07-30 03:16:05,2020
75,85,1,True,active,85,True,0,False,2020-07-30 02:09:24+00:00,18,0,True,0,2020-07-30 03:16:05,2020
76,86,1,True,active,86,True,9,False,2020-07-30 02:28:55+00:00,9,0,True,0,2020-07-30 03:16:05,2020
77,87,1,True,active,87,True,3,False,2020-07-30 03:08:02+00:00,11,0,True,0,2020-07-30 03:16:05,2020
78,89,0,True,active,89,True,14,False,2020-07-30 02:17:49+00:00,5,0,True,0,2020-07-30 03:16:05,2020
79,90,2,True,active,90,True,12,False,2020-07-30 03:01:16+00:00,5,0,True,0,2020-07-30 03:16:05,2020
80,91,2,True,active,91,True,2,False,2020-07-30 02:56:33+00:00,15,0,True,0,2020-07-30 03:16:05,2020
81,92,1,True,active,92,True,9,False,2020-07-30 00:56:35+00:00,9,0,True,0,2020-07-30 03:16:05,2020
