,num_docks_disabled,last_reported,num_ebikes_available,station_status,num_docks_available,is_installed,num_bikes_disabled,eightd_has_available_keys,num_bikes_available,legacy_id,is_returning,station_id,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
43,0,2020-08-15 18:43:22+00:00,0,active,4,True,0,False,11,51,True,51,True,,,2020-08-15 19:06:05,2020
44,0,2020-08-15 19:04:32+00:00,0,active,4,True,2,True,17,52,True,52,True,,,2020-08-15 19:06:05,2020
45,0,2020-08-15 19:03:37+00:00,0,active,9,True,1,False,9,53,True,53,True,,,2020-08-15 19:06:05,2020
46,0,2020-08-15 19:05:54+00:00,0,active,11,True,1,False,3,54,True,54,True,,,2020-08-15 19:06:05,2020
47,0,2020-08-15 19:00:45+00:00,0,active,11,True,1,False,3,55,True,55,True,,,2020-08-15 19:06:05,2020
48,0,2020-08-15 18:52:51+00:00,0,active,4,True,0,False,14,56,True,56,True,,,2020-08-15 19:06:05,2020
49,0,2020-08-15 18:43:46+00:00,0,active,13,True,0,True,1,57,True,57,True,,,2020-08-15 19:06:05,2020
50,0,2020-08-15 19:04:35+00:00,0,active,7,True,2,True,10,58,True,58,True,,,2020-08-15 19:06:05,2020
51,0,2020-08-15 18:57:54+00:00,0,active,16,True,2,True,1,59,True,59,True,,,2020-08-15 19:06:05,2020
52,0,2020-08-15 18:57:37+00:00,0,active,18,True,1,False,0,60,True,60,True,,,2020-08-15 19:06:05,2020
53,0,2020-08-15 19:04:15+00:00,0,active,3,True,1,False,15,61,True,61,True,,,2020-08-15 19:06:05,2020
54,0,2020-08-15 13:08:18+00:00,0,active,7,True,0,False,8,63,True,63,True,,,2020-08-15 19:06:05,2020
55,0,2020-08-15 18:25:01+00:00,0,active,16,True,1,False,2,64,True,64,True,,,2020-08-15 19:06:05,2020
56,0,2020-08-15 19:05:22+00:00,0,active,19,True,0,False,4,65,True,65,True,,,2020-08-15 19:06:05,2020
57,0,2020-08-15 18:51:58+00:00,0,active,11,True,0,False,4,66,True,66,True,,,2020-08-15 19:06:05,2020
58,0,2020-08-15 18:49:19+00:00,0,active,27,True,0,True,0,67,True,67,True,,,2020-08-15 19:06:05,2020
59,0,2020-08-15 19:05:03+00:00,0,active,2,True,1,True,16,68,True,68,True,,,2020-08-15 19:06:05,2020
60,0,2020-08-15 19:02:06+00:00,0,active,7,True,0,True,12,69,True,69,True,,,2020-08-15 19:06:05,2020
61,0,2020-08-15 19:03:55+00:00,0,active,15,True,0,False,8,70,True,70,True,,,2020-08-15 19:06:05,2020
62,0,2020-08-15 19:00:19+00:00,0,active,17,True,0,False,6,71,True,71,True,,,2020-08-15 19:06:05,2020
63,0,2020-08-15 19:01:05+00:00,0,active,20,True,0,False,3,72,True,72,True,,,2020-08-15 19:06:05,2020
64,0,2020-08-15 19:04:15+00:00,0,active,6,True,0,False,9,73,True,73,True,,,2020-08-15 19:06:05,2020
65,0,2020-08-15 19:05:20+00:00,0,active,1,True,1,True,17,74,True,74,True,,,2020-08-15 19:06:05,2020
66,0,2020-08-15 18:51:54+00:00,0,active,8,True,1,False,6,75,True,75,True,,,2020-08-15 19:06:05,2020
67,0,2020-08-15 18:53:18+00:00,0,active,2,True,1,False,14,76,True,76,True,,,2020-08-15 19:06:05,2020
68,0,2020-08-15 17:16:47+00:00,0,active,11,True,1,False,3,77,True,77,True,,,2020-08-15 19:06:05,2020
69,0,2020-08-15 18:16:19+00:00,0,active,6,True,0,False,13,78,True,78,True,,,2020-08-15 19:06:05,2020
70,0,2020-08-15 19:03:12+00:00,0,active,16,True,0,False,3,79,True,79,True,,,2020-08-15 19:06:05,2020
71,0,2020-08-15 19:03:12+00:00,0,active,12,True,2,False,21,80,True,80,True,,,2020-08-15 19:06:05,2020
72,0,2020-08-15 19:03:58+00:00,0,active,8,True,0,False,11,81,True,81,True,,,2020-08-15 19:06:05,2020
73,0,2020-08-15 18:26:49+00:00,0,active,15,True,0,False,0,82,True,82,True,,,2020-08-15 19:06:05,2020
74,0,2020-08-15 18:38:37+00:00,0,active,1,True,1,False,13,84,True,84,True,,,2020-08-15 19:06:05,2020
75,0,2020-08-15 18:58:08+00:00,0,active,8,True,0,False,11,85,True,85,True,,,2020-08-15 19:06:05,2020
76,0,2020-08-15 19:04:49+00:00,0,active,4,True,1,False,14,86,True,86,True,,,2020-08-15 19:06:05,2020
77,0,2020-08-15 18:45:23+00:00,0,active,15,True,0,False,0,87,True,87,True,,,2020-08-15 19:06:05,2020
78,0,2020-08-15 18:56:54+00:00,0,active,4,True,0,False,15,89,True,89,True,,,2020-08-15 19:06:05,2020
79,0,2020-08-15 19:00:40+00:00,0,active,11,True,0,False,8,90,True,90,True,,,2020-08-15 19:06:05,2020
80,0,2020-08-15 18:40:01+00:00,0,active,8,True,2,False,9,91,True,91,True,,,2020-08-15 19:06:05,2020
81,0,2020-08-15 17:31:29+00:00,0,active,1,True,0,False,18,92,True,92,True,,,2020-08-15 19:06:05,2020
82,0,2020-08-15 18:33:54+00:00,0,active,5,True,0,False,10,93,True,93,True,,,2020-08-15 19:06:05,2020
83,0,2020-08-15 18:44:02+00:00,0,active,4,True,0,False,7,94,True,94,True,,,2020-08-15 19:06:05,2020
84,0,2020-08-15 19:05:21+00:00,0,active,1,True,3,False,11,95,True,95,True,,,2020-08-15 19:06:05,2020
85,0,2020-08-15 18:46:01+00:00,0,active,17,True,0,False,2,96,True,96,True,,,2020-08-15 19:06:05,2020
86,0,2020-08-15 18:44:27+00:00,0,active,18,True,1,False,0,97,True,97,True,,,2020-08-15 19:06:05,2020
87,0,2020-08-15 18:58:49+00:00,0,active,21,True,0,False,2,98,True,98,True,,,2020-08-15 19:06:05,2020
88,0,2020-08-15 18:57:27+00:00,0,active,11,True,1,False,3,99,True,99,True,,,2020-08-15 19:06:05,2020
