,eightd_has_available_keys,num_docks_available,num_docks_disabled,station_id,num_ebikes_available,legacy_id,last_reported,num_bikes_available,is_installed,is_renting,is_returning,num_bikes_disabled,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,False,2,0,3,0,3,2020-08-20 21:59:22+00:00,13,True,True,True,0,active,,,2020-08-20 22:01:35,2020
1,False,9,0,4,0,4,2020-08-20 22:01:10+00:00,10,True,True,True,0,active,,,2020-08-20 22:01:35,2020
2,False,11,0,5,0,5,2020-08-20 21:55:30+00:00,4,True,True,True,0,active,,,2020-08-20 22:01:35,2020
3,False,14,0,6,0,6,2020-08-20 21:57:57+00:00,1,True,True,True,0,active,,,2020-08-20 22:01:35,2020
4,False,10,0,7,0,7,2020-08-20 21:55:40+00:00,5,True,True,True,0,active,,,2020-08-20 22:01:35,2020
5,False,9,0,8,0,8,2020-08-20 21:59:38+00:00,10,True,True,True,0,active,,,2020-08-20 22:01:35,2020
6,False,6,0,9,0,9,2020-08-20 21:45:45+00:00,9,True,True,True,0,active,,,2020-08-20 22:01:35,2020
7,False,9,0,10,0,10,2020-08-20 21:52:53+00:00,2,True,True,True,0,active,,,2020-08-20 22:01:35,2020
8,False,14,0,11,0,11,2020-08-20 22:01:03+00:00,1,True,True,True,0,active,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_capacity': 50, 'off_dock_count': 3, 'dock_blocked_count': 0, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 98, 'active': True, 'region': 'BOS'}",2020-08-20 22:01:35,2020
9,True,1,0,12,0,12,2020-08-20 21:55:55+00:00,15,True,True,True,2,active,,,2020-08-20 22:01:35,2020
10,False,19,0,13,0,13,2020-08-20 21:35:17+00:00,0,True,True,True,0,active,,,2020-08-20 22:01:35,2020
11,False,8,0,14,0,14,2020-08-20 22:00:16+00:00,17,True,True,True,0,active,,,2020-08-20 22:01:35,2020
12,False,3,0,15,0,15,2020-08-20 21:08:01+00:00,12,True,True,True,0,active,,,2020-08-20 22:01:35,2020
13,True,11,0,16,0,16,2020-08-20 21:50:08+00:00,8,True,True,True,0,active,,,2020-08-20 22:01:35,2020
14,False,14,0,17,0,17,2020-08-20 22:01:27+00:00,0,True,True,True,1,active,,,2020-08-20 22:01:35,2020
15,False,14,0,19,0,19,2020-08-20 22:00:07+00:00,1,True,True,True,0,active,,,2020-08-20 22:01:35,2020
16,True,18,0,20,0,20,2020-08-20 22:00:35+00:00,5,True,True,True,0,active,,,2020-08-20 22:01:35,2020
17,True,9,0,21,0,21,2020-08-20 21:50:26+00:00,9,True,True,True,0,active,,,2020-08-20 22:01:35,2020
18,True,38,0,22,0,22,2020-08-20 21:57:03+00:00,9,True,True,True,0,active,,,2020-08-20 22:01:35,2020
19,False,19,0,23,0,23,2020-08-20 21:59:38+00:00,2,True,True,True,0,active,,,2020-08-20 22:01:35,2020
20,False,5,0,24,0,24,2020-08-20 22:00:52+00:00,13,True,True,True,1,active,,,2020-08-20 22:01:35,2020
21,False,10,0,25,0,25,2020-08-20 21:56:37+00:00,4,True,True,True,1,active,,,2020-08-20 22:01:35,2020
22,False,3,0,26,0,26,2020-08-20 22:01:20+00:00,12,True,True,True,0,active,,,2020-08-20 22:01:35,2020
23,False,14,0,27,0,27,2020-08-20 22:01:16+00:00,5,True,True,True,4,active,,,2020-08-20 22:01:35,2020
24,False,11,0,29,0,29,2020-08-20 21:58:47+00:00,3,True,True,True,1,active,,,2020-08-20 22:01:35,2020
25,False,14,0,30,0,30,2020-08-20 21:55:39+00:00,1,True,True,True,0,active,,,2020-08-20 22:01:35,2020
26,True,15,0,31,0,31,2020-08-20 21:42:09+00:00,4,True,True,True,0,active,,,2020-08-20 22:01:35,2020
27,False,5,0,32,0,32,2020-08-20 22:01:21+00:00,10,True,True,True,0,active,,,2020-08-20 22:01:35,2020
28,False,14,0,33,0,33,2020-08-20 21:50:57+00:00,12,True,True,True,1,active,,,2020-08-20 22:01:35,2020
29,False,10,0,35,0,35,2020-08-20 21:57:23+00:00,13,True,True,True,0,active,,,2020-08-20 22:01:35,2020
30,True,6,0,36,0,36,2020-08-20 21:59:17+00:00,27,True,True,True,0,active,,,2020-08-20 22:01:35,2020
31,True,4,0,37,0,37,2020-08-20 20:50:29+00:00,11,True,True,True,0,active,,,2020-08-20 22:01:35,2020
32,False,22,0,39,0,39,2020-08-20 21:58:12+00:00,1,True,True,True,0,active,,,2020-08-20 22:01:35,2020
33,False,8,0,40,0,40,2020-08-20 22:01:25+00:00,11,True,True,True,0,active,,,2020-08-20 22:01:35,2020
34,True,18,0,41,0,41,2020-08-20 21:58:54+00:00,8,True,True,True,1,active,,,2020-08-20 22:01:35,2020
35,False,10,0,42,0,42,2020-08-20 21:53:27+00:00,13,True,True,True,0,active,,,2020-08-20 22:01:35,2020
36,True,9,0,43,0,43,2020-08-20 21:21:55+00:00,6,True,True,True,0,active,,,2020-08-20 22:01:35,2020
37,False,17,0,44,0,44,2020-08-20 21:46:22+00:00,6,True,True,True,0,active,,,2020-08-20 22:01:35,2020
38,False,3,0,46,0,46,2020-08-20 21:58:00+00:00,16,True,True,True,0,active,,,2020-08-20 22:01:35,2020
39,True,11,0,47,0,47,2020-08-20 22:00:05+00:00,8,True,True,True,0,active,,,2020-08-20 22:01:35,2020
40,False,9,0,48,0,48,2020-08-20 21:49:15+00:00,9,True,True,True,1,active,,,2020-08-20 22:01:35,2020
41,False,8,0,49,0,49,2020-08-20 21:52:09+00:00,10,True,True,True,0,active,,,2020-08-20 22:01:35,2020
42,True,5,0,50,0,50,2020-08-20 21:54:40+00:00,9,True,True,True,1,active,,,2020-08-20 22:01:35,2020
43,False,3,0,51,0,51,2020-08-20 21:58:06+00:00,11,True,True,True,1,active,,,2020-08-20 22:01:35,2020
44,True,12,0,52,0,52,2020-08-20 22:00:17+00:00,11,True,True,True,0,active,,,2020-08-20 22:01:35,2020
