,is_installed,is_returning,eightd_has_available_keys,station_id,num_bikes_available,num_docks_available,station_status,legacy_id,num_ebikes_available,is_renting,last_reported,num_docks_disabled,num_bikes_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
48,True,True,True,56,10,8,active,56,0,True,2020-07-30 00:07:05+00:00,0,0,,,2020-07-30 00:12:10,2020
49,True,True,True,57,3,11,active,57,0,True,2020-07-30 00:00:50+00:00,0,0,,,2020-07-30 00:12:10,2020
50,True,True,True,58,16,3,active,58,0,True,2020-07-30 00:09:40+00:00,0,0,,,2020-07-30 00:12:10,2020
51,True,True,True,59,5,14,active,59,0,True,2020-07-30 00:06:50+00:00,0,0,,,2020-07-30 00:12:10,2020
52,True,True,False,60,9,10,active,60,0,True,2020-07-30 00:11:21+00:00,0,0,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'dock_blocked_count': 0, 'off_dock_count': 2, 'valet_revision': 61, 'off_dock_capacity': 40, 'region': 'BOS'}",2020-07-30 00:12:10,2020
53,True,True,False,61,5,13,active,61,0,True,2020-07-30 00:12:03+00:00,0,1,,,2020-07-30 00:12:10,2020
54,True,True,False,63,12,3,active,63,0,True,2020-07-29 23:16:15+00:00,0,0,,,2020-07-30 00:12:10,2020
55,True,True,False,64,12,5,active,64,0,True,2020-07-30 00:08:13+00:00,0,2,,,2020-07-30 00:12:10,2020
56,True,True,False,65,11,11,active,65,0,True,2020-07-29 22:08:42+00:00,0,1,,,2020-07-30 00:12:10,2020
57,True,True,False,66,8,6,active,66,0,True,2020-07-30 00:05:01+00:00,0,1,,,2020-07-30 00:12:10,2020
58,True,True,True,67,14,11,active,67,0,True,2020-07-30 00:07:55+00:00,0,2,,,2020-07-30 00:12:10,2020
59,True,True,True,68,1,17,active,68,0,True,2020-07-30 00:10:41+00:00,0,1,,,2020-07-30 00:12:10,2020
60,True,True,True,69,10,9,active,69,0,True,2020-07-29 23:49:50+00:00,0,0,,,2020-07-30 00:12:10,2020
61,True,True,False,70,3,20,active,70,0,True,2020-07-29 23:51:02+00:00,0,0,,,2020-07-30 00:12:10,2020
62,True,True,False,71,23,0,active,71,0,True,2020-07-29 23:37:00+00:00,0,0,,,2020-07-30 00:12:10,2020
63,True,True,False,72,5,18,active,72,0,True,2020-07-29 23:53:22+00:00,0,0,,,2020-07-30 00:12:10,2020
64,True,True,False,73,12,2,active,73,0,True,2020-07-30 00:11:40+00:00,0,1,,,2020-07-30 00:12:10,2020
65,True,True,True,74,13,5,active,74,0,True,2020-07-30 00:00:08+00:00,0,1,,,2020-07-30 00:12:10,2020
66,True,True,False,75,0,15,active,75,0,True,2020-07-29 22:38:51+00:00,0,0,,,2020-07-30 00:12:10,2020
67,True,True,False,76,5,11,active,76,0,True,2020-07-30 00:01:36+00:00,0,1,,,2020-07-30 00:12:10,2020
68,True,True,False,77,9,6,active,77,0,True,2020-07-29 23:42:50+00:00,0,0,,,2020-07-30 00:12:10,2020
69,True,True,False,78,18,1,active,78,0,True,2020-07-29 23:56:29+00:00,0,0,,,2020-07-30 00:12:10,2020
70,True,True,False,79,9,9,active,79,0,True,2020-07-29 23:58:22+00:00,0,1,,,2020-07-30 00:12:10,2020
71,True,True,False,80,5,29,active,80,0,True,2020-07-30 00:04:43+00:00,0,1,,,2020-07-30 00:12:10,2020
72,True,True,False,81,5,14,active,81,0,True,2020-07-30 00:07:14+00:00,0,0,,,2020-07-30 00:12:10,2020
73,True,True,False,82,0,15,active,82,0,True,2020-07-29 23:31:25+00:00,0,0,,,2020-07-30 00:12:10,2020
74,True,True,False,84,9,5,active,84,0,True,2020-07-29 23:48:30+00:00,0,1,,,2020-07-30 00:12:10,2020
75,True,True,False,85,0,18,active,85,0,True,2020-07-30 00:02:08+00:00,0,1,,,2020-07-30 00:12:10,2020
76,True,True,False,86,1,17,active,86,0,True,2020-07-30 00:11:07+00:00,0,1,,,2020-07-30 00:12:10,2020
77,True,True,False,87,0,14,active,87,0,True,2020-07-30 00:02:09+00:00,0,1,,,2020-07-30 00:12:10,2020
78,True,True,False,89,15,4,active,89,0,True,2020-07-30 00:09:02+00:00,0,0,,,2020-07-30 00:12:10,2020
79,True,True,False,90,3,14,active,90,0,True,2020-07-29 23:55:03+00:00,0,2,,,2020-07-30 00:12:10,2020
80,True,True,False,91,3,15,active,91,0,True,2020-07-30 00:05:25+00:00,0,1,,,2020-07-30 00:12:10,2020
81,True,True,False,92,9,9,active,92,0,True,2020-07-30 00:04:10+00:00,0,1,,,2020-07-30 00:12:10,2020
82,True,True,False,93,2,11,active,93,0,True,2020-07-30 00:00:10+00:00,0,2,,,2020-07-30 00:12:10,2020
83,True,True,False,94,11,0,active,94,0,True,2020-07-30 00:04:24+00:00,0,0,,,2020-07-30 00:12:10,2020
84,True,True,False,95,9,5,active,95,0,True,2020-07-30 00:01:47+00:00,0,1,,,2020-07-30 00:12:10,2020
85,True,True,False,96,8,11,active,96,0,True,2020-07-30 00:02:54+00:00,0,0,,,2020-07-30 00:12:10,2020
86,True,True,False,97,9,9,active,97,0,True,2020-07-30 00:10:27+00:00,0,1,,,2020-07-30 00:12:10,2020
87,True,True,False,98,9,13,active,98,0,True,2020-07-30 00:08:17+00:00,0,0,,,2020-07-30 00:12:10,2020
88,True,True,False,99,7,7,active,99,0,True,2020-07-30 00:10:50+00:00,0,1,,,2020-07-30 00:12:10,2020
89,True,True,True,100,13,11,active,100,0,True,2020-07-29 23:37:56+00:00,0,1,,,2020-07-30 00:12:10,2020
