,num_bikes_available,legacy_id,station_status,num_ebikes_available,station_id,is_installed,num_bikes_disabled,last_reported,is_renting,num_docks_disabled,is_returning,num_docks_available,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
50,9,58,active,0,58,True,0,2020-08-01 17:50:45+00:00,True,0,True,10,True,,,2020-08-01 17:55:25,2020
51,8,59,active,0,59,True,0,2020-08-01 17:50:46+00:00,True,0,True,11,True,,,2020-08-01 17:55:25,2020
52,1,60,active,0,60,True,2,2020-08-01 17:49:44+00:00,True,0,True,16,False,,,2020-08-01 17:55:25,2020
53,11,61,active,0,61,True,0,2020-08-01 17:47:30+00:00,True,0,True,8,False,,,2020-08-01 17:55:25,2020
54,0,63,active,0,63,True,0,2020-08-01 15:06:39+00:00,True,0,True,15,False,,,2020-08-01 17:55:25,2020
55,8,64,active,0,64,True,1,2020-08-01 17:54:21+00:00,True,0,True,10,False,,,2020-08-01 17:55:25,2020
56,22,65,active,0,65,True,0,2020-08-01 16:26:34+00:00,True,0,True,1,False,,,2020-08-01 17:55:25,2020
57,5,66,active,0,66,True,1,2020-08-01 17:54:25+00:00,True,0,True,9,False,,,2020-08-01 17:55:25,2020
58,9,67,active,0,67,True,3,2020-08-01 17:50:54+00:00,True,0,True,15,True,,,2020-08-01 17:55:25,2020
59,13,68,active,0,68,True,0,2020-08-01 17:54:07+00:00,True,0,True,6,True,,,2020-08-01 17:55:25,2020
60,11,69,active,0,69,True,0,2020-08-01 17:52:25+00:00,True,0,True,8,True,,,2020-08-01 17:55:25,2020
61,7,70,active,0,70,True,2,2020-08-01 17:55:02+00:00,True,0,True,14,False,,,2020-08-01 17:55:25,2020
62,10,71,active,0,71,True,2,2020-08-01 17:54:42+00:00,True,0,True,11,False,,,2020-08-01 17:55:25,2020
63,4,72,active,0,72,True,0,2020-08-01 17:36:13+00:00,True,0,True,19,False,,,2020-08-01 17:55:25,2020
64,13,73,active,0,73,True,1,2020-08-01 17:55:22+00:00,True,0,True,1,False,,,2020-08-01 17:55:25,2020
65,16,74,active,0,74,True,1,2020-08-01 17:54:43+00:00,True,0,True,2,True,,,2020-08-01 17:55:25,2020
66,9,75,active,0,75,True,0,2020-08-01 16:55:21+00:00,True,0,True,6,False,,,2020-08-01 17:55:25,2020
67,2,76,active,0,76,True,1,2020-08-01 17:54:43+00:00,True,0,True,14,False,,,2020-08-01 17:55:25,2020
68,0,77,active,0,77,True,1,2020-08-01 17:21:14+00:00,True,0,True,14,False,,,2020-08-01 17:55:25,2020
69,14,78,active,0,78,True,1,2020-08-01 17:54:15+00:00,True,0,True,4,False,,,2020-08-01 17:55:25,2020
70,9,79,active,0,79,True,0,2020-08-01 17:36:02+00:00,True,0,True,10,False,,,2020-08-01 17:55:25,2020
71,19,80,active,0,80,True,1,2020-08-01 17:37:09+00:00,True,0,True,15,False,,,2020-08-01 17:55:25,2020
72,12,81,active,0,81,True,0,2020-08-01 17:44:24+00:00,True,0,True,7,False,,,2020-08-01 17:55:25,2020
73,3,82,active,0,82,True,0,2020-08-01 17:25:10+00:00,True,0,True,12,False,,,2020-08-01 17:55:25,2020
74,5,84,active,0,84,True,0,2020-08-01 17:45:36+00:00,True,0,True,10,False,,,2020-08-01 17:55:25,2020
75,4,85,active,0,85,True,0,2020-08-01 17:12:02+00:00,True,0,True,15,False,,,2020-08-01 17:55:25,2020
76,10,86,active,0,86,True,0,2020-08-01 17:49:12+00:00,True,0,True,9,False,,,2020-08-01 17:55:25,2020
77,3,87,active,0,87,True,1,2020-08-01 17:53:57+00:00,True,0,True,11,False,,,2020-08-01 17:55:25,2020
78,7,89,active,0,89,True,0,2020-08-01 17:54:36+00:00,True,0,True,12,False,,,2020-08-01 17:55:25,2020
79,5,90,active,0,90,True,0,2020-08-01 17:30:27+00:00,True,0,True,14,False,,,2020-08-01 17:55:25,2020
80,6,91,active,0,91,True,1,2020-08-01 17:50:12+00:00,True,0,True,12,False,,,2020-08-01 17:55:25,2020
81,12,92,active,0,92,True,0,2020-08-01 17:38:50+00:00,True,0,True,7,False,,,2020-08-01 17:55:25,2020
82,6,93,active,0,93,True,2,2020-08-01 17:50:57+00:00,True,0,True,7,False,,,2020-08-01 17:55:25,2020
83,11,94,active,0,94,True,0,2020-08-01 17:55:20+00:00,True,0,True,0,False,,,2020-08-01 17:55:25,2020
84,5,95,active,0,95,True,0,2020-08-01 17:49:00+00:00,True,0,True,10,False,,,2020-08-01 17:55:25,2020
85,5,96,active,0,96,True,0,2020-08-01 17:54:29+00:00,True,0,True,14,False,,,2020-08-01 17:55:25,2020
86,0,97,active,0,97,True,0,2020-08-01 17:40:04+00:00,True,0,True,19,False,,,2020-08-01 17:55:25,2020
87,8,98,active,0,98,True,1,2020-08-01 17:51:10+00:00,True,0,True,13,False,,,2020-08-01 17:55:25,2020
88,7,99,active,0,99,True,1,2020-08-01 17:51:11+00:00,True,0,True,7,False,,,2020-08-01 17:55:25,2020
89,4,100,active,0,100,True,1,2020-08-01 17:46:13+00:00,True,0,True,20,True,,,2020-08-01 17:55:25,2020
90,6,101,active,0,101,True,0,2020-08-01 17:27:06+00:00,True,0,True,9,False,,,2020-08-01 17:55:25,2020
91,13,102,active,0,102,True,0,2020-08-01 17:50:46+00:00,True,0,True,2,False,,,2020-08-01 17:55:25,2020
92,4,103,active,0,103,True,1,2020-08-01 17:54:08+00:00,True,0,True,10,False,,,2020-08-01 17:55:25,2020
93,17,104,active,0,104,True,0,2020-08-01 17:28:45+00:00,True,0,True,2,False,,,2020-08-01 17:55:25,2020
94,16,105,active,0,105,True,0,2020-08-01 17:52:03+00:00,True,0,True,3,False,,,2020-08-01 17:55:25,2020
95,3,106,active,0,106,True,1,2020-08-01 17:24:27+00:00,True,0,True,11,False,,,2020-08-01 17:55:25,2020
96,11,107,active,0,107,True,0,2020-08-01 17:53:19+00:00,True,0,True,8,False,,,2020-08-01 17:55:25,2020
97,13,108,active,0,108,True,1,2020-08-01 17:54:03+00:00,True,0,True,3,False,,,2020-08-01 17:55:25,2020
98,28,109,active,0,109,True,2,2020-08-01 13:14:25+00:00,True,0,True,5,False,,,2020-08-01 17:55:25,2020
99,14,110,active,0,110,True,1,2020-08-01 17:36:14+00:00,True,0,True,0,False,,,2020-08-01 17:55:25,2020
100,0,111,active,0,111,True,0,2020-08-01 17:33:50+00:00,True,0,True,15,False,,,2020-08-01 17:55:25,2020
101,9,112,active,0,112,True,0,2020-08-01 17:13:26+00:00,True,0,True,6,False,,,2020-08-01 17:55:25,2020
102,9,113,active,0,113,True,2,2020-08-01 17:52:41+00:00,True,0,True,4,False,,,2020-08-01 17:55:25,2020
103,0,114,active,0,114,True,0,2020-08-01 16:36:46+00:00,True,0,True,15,False,,,2020-08-01 17:55:25,2020
104,16,115,active,0,115,True,0,2020-08-01 17:44:32+00:00,True,0,True,3,False,,,2020-08-01 17:55:25,2020
105,1,116,active,0,116,True,0,2020-08-01 17:46:11+00:00,True,0,True,22,False,,,2020-08-01 17:55:25,2020
106,3,117,active,0,117,True,0,2020-08-01 17:01:01+00:00,True,0,True,16,False,,,2020-08-01 17:55:25,2020
107,9,118,active,0,118,True,1,2020-08-01 17:55:03+00:00,True,0,True,9,False,,,2020-08-01 17:55:25,2020
108,14,119,active,0,119,True,1,2020-08-01 17:44:11+00:00,True,0,True,0,False,,,2020-08-01 17:55:25,2020
109,1,120,active,0,120,True,1,2020-08-01 17:49:36+00:00,True,0,True,13,False,,,2020-08-01 17:55:25,2020
110,13,121,active,0,121,True,1,2020-08-01 17:54:42+00:00,True,0,True,3,False,,,2020-08-01 17:55:25,2020
