,num_docks_available,legacy_id,num_bikes_available,is_installed,is_returning,station_status,num_docks_disabled,is_renting,eightd_has_available_keys,last_reported,station_id,num_bikes_disabled,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
0,2,3,13,True,True,active,0,True,False,2020-08-13 18:00:05+00:00,3,0,0,2020-08-13 18:24:15,2020
1,12,4,7,True,True,active,0,True,False,2020-08-13 18:10:39+00:00,4,0,0,2020-08-13 18:24:15,2020
2,14,5,1,True,True,active,0,True,False,2020-08-13 18:18:26+00:00,5,0,0,2020-08-13 18:24:15,2020
3,13,6,1,True,True,active,0,True,False,2020-08-13 18:23:38+00:00,6,1,0,2020-08-13 18:24:15,2020
4,11,7,4,True,True,active,0,True,False,2020-08-13 18:08:21+00:00,7,0,0,2020-08-13 18:24:15,2020
5,8,8,11,True,True,active,0,True,False,2020-08-13 17:30:08+00:00,8,0,0,2020-08-13 18:24:15,2020
6,0,9,14,True,True,active,0,True,False,2020-08-13 17:59:45+00:00,9,1,0,2020-08-13 18:24:15,2020
7,1,10,9,True,True,active,0,True,False,2020-08-13 18:07:36+00:00,10,1,0,2020-08-13 18:24:15,2020
8,6,11,8,True,True,active,0,True,False,2020-08-13 18:23:39+00:00,11,1,0,2020-08-13 18:24:15,2020
9,7,12,10,True,True,active,0,True,True,2020-08-13 18:03:01+00:00,12,1,0,2020-08-13 18:24:15,2020
10,11,13,8,True,True,active,0,True,False,2020-08-13 18:10:00+00:00,13,0,0,2020-08-13 18:24:15,2020
11,7,14,18,True,True,active,0,True,False,2020-08-13 18:22:26+00:00,14,0,0,2020-08-13 18:24:15,2020
12,7,15,8,True,True,active,0,True,False,2020-08-13 18:20:24+00:00,15,0,0,2020-08-13 18:24:15,2020
13,4,16,15,True,True,active,0,True,True,2020-08-13 17:30:51+00:00,16,0,0,2020-08-13 18:24:15,2020
14,11,17,3,True,True,active,0,True,False,2020-08-13 17:54:36+00:00,17,1,0,2020-08-13 18:24:15,2020
15,14,19,0,True,True,active,0,True,False,2020-08-13 18:09:52+00:00,19,1,0,2020-08-13 18:24:15,2020
16,15,20,8,True,True,active,0,True,True,2020-08-13 18:23:26+00:00,20,0,0,2020-08-13 18:24:15,2020
17,15,21,2,True,True,active,0,True,True,2020-08-13 17:45:48+00:00,21,1,0,2020-08-13 18:24:15,2020
18,38,22,9,True,True,active,0,True,True,2020-08-13 18:17:42+00:00,22,0,0,2020-08-13 18:24:15,2020
19,16,23,5,True,True,active,0,True,False,2020-08-13 18:10:07+00:00,23,0,0,2020-08-13 18:24:15,2020
20,4,24,14,True,True,active,0,True,False,2020-08-13 18:15:18+00:00,24,1,0,2020-08-13 18:24:15,2020
