,station_id,last_reported,num_docks_disabled,station_status,num_bikes_disabled,is_installed,num_ebikes_available,is_renting,is_returning,num_docks_available,legacy_id,eightd_has_available_keys,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,3,2020-08-06 13:08:16+00:00,0,active,0,True,0,True,True,9,3,False,6,,,2020-08-06 13:11:25,2020
1,4,2020-08-06 12:55:21+00:00,0,active,0,True,0,True,True,5,4,False,14,,,2020-08-06 13:11:25,2020
2,5,2020-08-06 13:06:36+00:00,0,active,0,True,0,True,True,10,5,False,5,,,2020-08-06 13:11:25,2020
3,6,2020-08-06 13:09:07+00:00,0,active,2,True,0,True,True,3,6,False,10,,,2020-08-06 13:11:25,2020
4,7,2020-08-06 13:01:46+00:00,0,active,0,True,0,True,True,12,7,False,3,,,2020-08-06 13:11:25,2020
5,8,2020-08-06 13:03:43+00:00,0,active,1,True,0,True,True,14,8,False,4,,,2020-08-06 13:11:25,2020
6,9,2020-08-06 12:34:25+00:00,0,active,0,True,0,True,True,1,9,False,14,,,2020-08-06 13:11:25,2020
7,10,2020-08-06 12:32:56+00:00,0,active,0,True,0,True,True,6,10,False,5,,,2020-08-06 13:11:25,2020
8,11,2020-08-06 13:11:15+00:00,0,active,1,True,0,True,True,8,11,False,6,"{'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS', 'valet_revision': 79, 'off_dock_capacity': 50, 'active': True, 'dock_blocked_count': 0, 'off_dock_count': 70}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-06 13:11:25,2020
9,12,2020-08-06 12:57:18+00:00,0,active,0,True,0,True,True,4,12,True,14,,,2020-08-06 13:11:25,2020
10,13,2020-08-06 13:08:10+00:00,0,active,1,True,0,True,True,13,13,False,5,,,2020-08-06 13:11:25,2020
11,14,2020-08-06 13:08:12+00:00,0,active,1,True,0,True,True,2,14,False,22,,,2020-08-06 13:11:25,2020
12,15,2020-08-06 12:47:45+00:00,0,active,0,True,0,True,True,10,15,False,5,,,2020-08-06 13:11:25,2020
13,16,2020-08-06 13:05:27+00:00,0,active,0,True,0,True,True,15,16,True,4,,,2020-08-06 13:11:25,2020
14,17,2020-08-06 13:02:21+00:00,0,active,0,True,0,True,True,14,17,False,1,,,2020-08-06 13:11:25,2020
15,19,2020-08-06 12:50:25+00:00,0,active,0,True,0,True,True,9,19,False,6,,,2020-08-06 13:11:25,2020
16,20,2020-08-06 12:50:43+00:00,0,active,0,True,0,True,True,15,20,True,8,,,2020-08-06 13:11:25,2020
17,21,2020-08-06 12:46:08+00:00,0,active,0,True,0,True,True,12,21,True,6,,,2020-08-06 13:11:25,2020
18,22,2020-08-06 12:23:00+00:00,0,active,2,True,0,True,True,32,22,True,13,,,2020-08-06 13:11:25,2020
19,23,2020-08-06 13:09:01+00:00,0,active,0,True,0,True,True,7,23,True,14,,,2020-08-06 13:11:25,2020
20,24,2020-08-06 13:02:48+00:00,0,active,0,True,0,True,True,9,24,False,10,,,2020-08-06 13:11:25,2020
