,num_bikes_available,legacy_id,num_docks_disabled,eightd_has_available_keys,is_renting,is_returning,station_id,last_reported,is_installed,num_bikes_disabled,num_ebikes_available,num_docks_available,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
48,15,56,0,True,True,True,56,2020-07-28 22:20:26+00:00,True,0,0,3,active,,,2020-07-28 22:34:35,2020
49,2,57,0,True,True,True,57,2020-07-28 22:31:05+00:00,True,0,0,12,active,,,2020-07-28 22:34:35,2020
50,7,58,0,True,True,True,58,2020-07-28 22:31:37+00:00,True,0,0,12,active,,,2020-07-28 22:34:35,2020
51,0,59,0,True,True,True,59,2020-07-28 22:06:16+00:00,True,0,0,19,active,,,2020-07-28 22:34:35,2020
52,14,60,0,False,True,True,60,2020-07-28 22:34:09+00:00,True,0,0,5,active,,,2020-07-28 22:34:35,2020
53,10,61,0,False,True,True,61,2020-07-28 22:29:06+00:00,True,1,0,8,active,,,2020-07-28 22:34:35,2020
54,15,63,0,False,True,True,63,2020-07-28 21:25:34+00:00,True,0,0,0,active,,,2020-07-28 22:34:35,2020
55,8,64,0,False,True,True,64,2020-07-28 22:26:09+00:00,True,0,0,11,active,,,2020-07-28 22:34:35,2020
56,9,65,0,False,True,True,65,2020-07-28 22:29:07+00:00,True,1,0,13,active,,,2020-07-28 22:34:35,2020
57,1,66,0,False,True,True,66,2020-07-28 22:32:40+00:00,True,0,0,14,active,,,2020-07-28 22:34:35,2020
58,16,67,0,True,True,True,67,2020-07-28 22:29:52+00:00,True,4,0,7,active,,,2020-07-28 22:34:35,2020
59,6,68,0,True,True,True,68,2020-07-28 22:33:40+00:00,True,0,0,13,active,,,2020-07-28 22:34:35,2020
60,7,69,0,True,True,True,69,2020-07-28 22:26:50+00:00,True,2,0,10,active,,,2020-07-28 22:34:35,2020
61,11,70,0,False,True,True,70,2020-07-28 22:27:26+00:00,True,0,0,12,active,,,2020-07-28 22:34:35,2020
62,15,71,0,False,True,True,71,2020-07-28 22:29:54+00:00,True,0,0,8,active,,,2020-07-28 22:34:35,2020
