,is_returning,legacy_id,is_renting,num_docks_available,is_installed,last_reported,num_bikes_disabled,eightd_has_available_keys,station_id,num_docks_disabled,station_status,num_ebikes_available,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
0,True,3,True,11,True,2020-08-16 01:10:31+00:00,1,False,3,0,active,0,3,2020-08-16 01:24:10,2020
1,True,4,True,1,True,2020-08-16 01:13:17+00:00,1,False,4,0,active,0,17,2020-08-16 01:24:10,2020
2,True,5,True,14,True,2020-08-16 01:16:29+00:00,0,False,5,0,active,0,1,2020-08-16 01:24:10,2020
3,True,6,True,9,True,2020-08-16 01:01:48+00:00,2,False,6,0,active,0,4,2020-08-16 01:24:10,2020
4,True,7,True,2,True,2020-08-16 00:36:15+00:00,0,False,7,0,active,0,13,2020-08-16 01:24:10,2020
5,True,8,True,8,True,2020-08-16 01:09:57+00:00,2,False,8,0,active,0,9,2020-08-16 01:24:10,2020
6,True,9,True,7,True,2020-08-16 01:17:06+00:00,1,False,9,0,active,0,7,2020-08-16 01:24:10,2020
7,True,10,True,7,True,2020-08-16 01:02:56+00:00,0,False,10,0,active,0,4,2020-08-16 01:24:10,2020
8,True,11,True,14,True,2020-08-16 01:13:17+00:00,0,False,11,0,active,0,1,2020-08-16 01:24:10,2020
9,True,12,True,7,True,2020-08-16 00:13:20+00:00,1,True,12,0,active,0,10,2020-08-16 01:24:10,2020
10,True,13,True,18,True,2020-08-16 01:23:56+00:00,0,False,13,0,active,0,1,2020-08-16 01:24:10,2020
11,True,14,True,22,True,2020-08-16 01:02:18+00:00,1,False,14,0,active,0,2,2020-08-16 01:24:10,2020
12,True,15,True,8,True,2020-08-15 23:53:47+00:00,0,False,15,0,active,0,7,2020-08-16 01:24:10,2020
13,True,16,True,17,True,2020-08-16 01:22:34+00:00,1,True,16,0,active,0,1,2020-08-16 01:24:10,2020
14,True,17,True,10,True,2020-08-16 01:19:59+00:00,0,False,17,0,active,0,5,2020-08-16 01:24:10,2020
15,True,19,True,9,True,2020-08-16 01:11:07+00:00,0,False,19,0,active,0,6,2020-08-16 01:24:10,2020
16,True,20,True,14,True,2020-08-16 00:58:53+00:00,0,True,20,0,active,0,9,2020-08-16 01:24:10,2020
17,True,21,True,4,True,2020-08-16 00:42:06+00:00,0,True,21,0,active,0,14,2020-08-16 01:24:10,2020
18,True,22,True,22,True,2020-08-15 23:24:18+00:00,0,True,22,0,active,0,25,2020-08-16 01:24:10,2020
19,True,23,True,20,True,2020-08-16 01:17:20+00:00,0,False,23,0,active,0,1,2020-08-16 01:24:10,2020
