,num_docks_disabled,is_installed,num_ebikes_available,num_bikes_disabled,last_reported,num_docks_available,is_renting,is_returning,num_bikes_available,eightd_has_available_keys,legacy_id,station_id,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,0,True,0,0,2020-08-20 16:17:28+00:00,4,True,True,11,False,3,3,active,,,2020-08-20 16:24:15,2020
1,0,True,0,0,2020-08-20 16:22:26+00:00,15,True,True,4,False,4,4,active,,,2020-08-20 16:24:15,2020
2,0,True,0,0,2020-08-20 16:21:10+00:00,13,True,True,2,False,5,5,active,,,2020-08-20 16:24:15,2020
3,0,True,0,1,2020-08-20 16:20:58+00:00,7,True,True,7,False,6,6,active,,,2020-08-20 16:24:15,2020
4,0,True,0,0,2020-08-20 16:18:23+00:00,7,True,True,8,False,7,7,active,,,2020-08-20 16:24:15,2020
5,0,True,0,2,2020-08-20 16:10:51+00:00,13,True,True,4,False,8,8,active,,,2020-08-20 16:24:15,2020
6,0,True,0,0,2020-08-20 16:17:30+00:00,5,True,True,10,False,9,9,active,,,2020-08-20 16:24:15,2020
7,0,True,0,0,2020-08-20 16:20:21+00:00,2,True,True,9,False,10,10,active,,,2020-08-20 16:24:15,2020
8,0,True,0,0,2020-08-20 16:18:12+00:00,0,True,True,15,False,11,11,active,,,2020-08-20 16:24:15,2020
9,0,True,0,1,2020-08-20 16:16:18+00:00,1,True,True,16,True,12,12,active,,,2020-08-20 16:24:15,2020
10,0,True,0,0,2020-08-20 16:23:26+00:00,5,True,True,14,False,13,13,active,,,2020-08-20 16:24:15,2020
11,0,True,0,0,2020-08-20 16:15:12+00:00,7,True,True,18,False,14,14,active,,,2020-08-20 16:24:15,2020
12,0,True,0,0,2020-08-20 16:20:34+00:00,5,True,True,10,False,15,15,active,,,2020-08-20 16:24:15,2020
13,0,True,0,0,2020-08-20 16:18:23+00:00,13,True,True,6,True,16,16,active,,,2020-08-20 16:24:15,2020
14,0,True,0,1,2020-08-20 16:16:40+00:00,9,True,True,5,False,17,17,active,,,2020-08-20 16:24:15,2020
15,0,True,0,0,2020-08-20 16:19:04+00:00,12,True,True,3,False,19,19,active,,,2020-08-20 16:24:15,2020
16,0,True,0,0,2020-08-20 16:01:37+00:00,16,True,True,7,True,20,20,active,,,2020-08-20 16:24:15,2020
17,0,True,0,0,2020-08-20 16:22:44+00:00,10,True,True,8,True,21,21,active,,,2020-08-20 16:24:15,2020
18,0,True,0,0,2020-08-20 16:18:57+00:00,28,True,True,19,True,22,22,active,,,2020-08-20 16:24:15,2020
19,0,True,0,0,2020-08-20 16:14:12+00:00,2,True,True,19,False,23,23,active,,,2020-08-20 16:24:15,2020
20,0,True,0,2,2020-08-20 16:24:07+00:00,3,True,True,14,False,24,24,active,,,2020-08-20 16:24:15,2020
21,0,True,0,0,2020-08-20 16:23:13+00:00,7,True,True,8,False,25,25,active,,,2020-08-20 16:24:15,2020
22,0,True,0,2,2020-08-20 16:21:50+00:00,4,True,True,9,False,26,26,active,,,2020-08-20 16:24:15,2020
23,0,True,0,0,2020-08-20 16:10:42+00:00,9,True,True,14,False,27,27,active,,,2020-08-20 16:24:15,2020
24,0,True,0,1,2020-08-20 13:39:01+00:00,10,True,True,4,False,29,29,active,,,2020-08-20 16:24:15,2020
25,0,True,0,0,2020-08-20 15:45:11+00:00,0,True,True,15,False,30,30,active,,,2020-08-20 16:24:15,2020
26,0,True,0,0,2020-08-20 15:51:24+00:00,18,True,True,1,True,31,31,active,,,2020-08-20 16:24:15,2020
27,0,True,0,1,2020-08-20 16:22:43+00:00,4,True,True,10,False,32,32,active,,,2020-08-20 16:24:15,2020
28,0,True,0,0,2020-08-20 16:09:13+00:00,6,True,True,21,False,33,33,active,,,2020-08-20 16:24:15,2020
29,0,True,0,1,2020-08-20 16:22:25+00:00,8,True,True,14,False,35,35,active,,,2020-08-20 16:24:15,2020
30,0,True,0,2,2020-08-20 16:20:55+00:00,15,True,True,16,True,36,36,active,,,2020-08-20 16:24:15,2020
31,0,True,0,0,2020-08-20 15:33:47+00:00,4,True,True,11,True,37,37,active,,,2020-08-20 16:24:15,2020
32,0,True,0,0,2020-08-20 16:23:47+00:00,19,True,True,4,False,39,39,active,,,2020-08-20 16:24:15,2020
33,0,True,0,0,2020-08-20 16:11:52+00:00,17,True,True,2,False,40,40,active,,,2020-08-20 16:24:15,2020
34,0,True,0,1,2020-08-20 16:18:01+00:00,18,True,True,8,True,41,41,active,,,2020-08-20 16:24:15,2020
35,0,True,0,1,2020-08-20 16:18:32+00:00,9,True,True,13,False,42,42,active,,,2020-08-20 16:24:15,2020
36,0,True,0,0,2020-08-20 16:12:00+00:00,5,True,True,10,True,43,43,active,,,2020-08-20 16:24:15,2020
37,0,True,0,0,2020-08-20 16:19:12+00:00,8,True,True,15,False,44,44,active,,,2020-08-20 16:24:15,2020
38,0,True,0,0,2020-08-20 16:19:34+00:00,19,True,True,0,False,46,46,active,,,2020-08-20 16:24:15,2020
39,0,True,0,0,2020-08-20 16:19:08+00:00,18,True,True,1,True,47,47,active,,,2020-08-20 16:24:15,2020
40,0,True,0,0,2020-08-20 15:27:04+00:00,4,True,True,15,False,48,48,active,,,2020-08-20 16:24:15,2020
41,0,True,0,1,2020-08-20 16:18:06+00:00,4,True,True,13,False,49,49,active,,,2020-08-20 16:24:15,2020
42,0,True,0,1,2020-08-20 16:18:51+00:00,9,True,True,5,True,50,50,active,,,2020-08-20 16:24:15,2020
