,eightd_has_available_keys,legacy_id,num_docks_disabled,num_ebikes_available,is_installed,num_docks_available,is_renting,is_returning,station_status,num_bikes_disabled,num_bikes_available,last_reported,station_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
83,False,94,0,0,True,5,True,True,active,1,5,2020-08-06 03:28:29+00:00,94,,,2020-08-06 06:33:15,2020
84,False,95,0,0,True,1,True,True,active,1,13,2020-08-06 05:44:53+00:00,95,,,2020-08-06 06:33:15,2020
85,False,96,0,0,True,5,True,True,active,0,14,2020-08-06 03:38:17+00:00,96,,,2020-08-06 06:33:15,2020
86,False,97,0,0,True,11,True,True,active,1,7,2020-08-06 04:11:23+00:00,97,,,2020-08-06 06:33:15,2020
87,False,98,0,0,True,7,True,True,active,2,14,2020-08-06 02:18:08+00:00,98,,,2020-08-06 06:33:15,2020
88,False,99,0,0,True,1,True,True,active,0,14,2020-08-06 05:53:09+00:00,99,,,2020-08-06 06:33:15,2020
89,True,100,0,0,True,5,True,True,active,1,19,2020-08-06 04:37:29+00:00,100,,,2020-08-06 06:33:15,2020
90,False,101,0,0,True,0,True,True,active,0,15,2020-08-06 01:01:36+00:00,101,,,2020-08-06 06:33:15,2020
91,False,102,0,0,True,3,True,True,active,0,12,2020-08-06 04:42:18+00:00,102,,,2020-08-06 06:33:15,2020
92,False,103,0,0,True,8,True,True,active,0,7,2020-08-06 02:25:24+00:00,103,,,2020-08-06 06:33:15,2020
93,False,104,0,0,True,13,True,True,active,0,6,2020-08-06 03:40:25+00:00,104,,,2020-08-06 06:33:15,2020
94,False,105,0,0,True,6,True,True,active,1,12,2020-08-06 05:46:49+00:00,105,,,2020-08-06 06:33:15,2020
95,False,106,0,0,True,9,True,True,active,0,6,2020-08-06 01:52:42+00:00,106,,,2020-08-06 06:33:15,2020
96,False,107,0,0,True,19,True,True,active,0,0,2020-08-06 04:52:47+00:00,107,,,2020-08-06 06:33:15,2020
97,False,108,0,0,True,15,True,True,active,0,2,2020-08-06 04:36:32+00:00,108,,,2020-08-06 06:33:15,2020
98,False,109,0,0,True,26,True,True,active,0,9,2020-08-06 01:37:39+00:00,109,,,2020-08-06 06:33:15,2020
99,False,110,0,0,True,9,True,True,active,0,6,2020-08-06 06:27:19+00:00,110,,,2020-08-06 06:33:15,2020
100,False,111,0,0,True,14,True,True,active,0,1,2020-08-06 00:34:33+00:00,111,,,2020-08-06 06:33:15,2020
101,False,112,0,0,True,8,True,True,active,0,7,2020-08-05 23:52:28+00:00,112,,,2020-08-06 06:33:15,2020
102,False,113,0,0,True,0,True,True,active,1,14,2020-08-06 04:53:05+00:00,113,,,2020-08-06 06:33:15,2020
103,False,114,0,0,True,2,True,True,active,1,12,2020-08-06 02:26:55+00:00,114,,,2020-08-06 06:33:15,2020
104,False,115,0,0,True,3,True,True,active,1,15,2020-08-06 04:24:12+00:00,115,,,2020-08-06 06:33:15,2020
105,False,116,0,0,True,5,True,True,active,0,18,2020-08-06 04:45:12+00:00,116,,,2020-08-06 06:33:15,2020
106,False,117,0,0,True,5,True,True,active,1,13,2020-08-06 03:09:46+00:00,117,,,2020-08-06 06:33:15,2020
107,False,118,0,0,True,3,True,True,active,1,15,2020-08-06 03:21:07+00:00,118,,,2020-08-06 06:33:15,2020
108,False,119,0,0,True,2,True,True,active,0,13,2020-08-06 03:14:46+00:00,119,,,2020-08-06 06:33:15,2020
109,False,120,0,0,True,5,True,True,active,1,9,2020-08-06 06:31:53+00:00,120,,,2020-08-06 06:33:15,2020
110,False,121,0,0,True,0,True,True,active,0,17,2020-08-06 03:28:45+00:00,121,,,2020-08-06 06:33:15,2020
111,False,122,0,0,True,13,True,True,active,0,2,2020-08-06 05:11:59+00:00,122,,,2020-08-06 06:33:15,2020
112,False,124,0,0,True,9,True,True,active,0,6,2020-08-06 00:27:27+00:00,124,,,2020-08-06 06:33:15,2020
113,False,125,0,0,True,2,True,True,active,1,12,2020-08-06 02:39:45+00:00,125,,,2020-08-06 06:33:15,2020
114,False,126,0,0,True,13,True,True,active,0,2,2020-08-05 23:52:34+00:00,126,,,2020-08-06 06:33:15,2020
115,False,128,0,0,True,5,True,True,active,0,14,2020-08-06 02:33:18+00:00,128,,,2020-08-06 06:33:15,2020
116,False,129,0,0,True,0,True,True,active,0,19,2020-08-06 01:57:13+00:00,129,,,2020-08-06 06:33:15,2020
117,False,130,0,0,True,1,True,True,active,0,14,2020-08-06 04:40:14+00:00,130,,,2020-08-06 06:33:15,2020
118,False,131,0,0,True,0,True,True,active,1,17,2020-08-06 01:34:45+00:00,131,,,2020-08-06 06:33:15,2020
119,False,133,0,0,True,8,True,True,active,1,14,2020-08-06 03:56:59+00:00,133,,,2020-08-06 06:33:15,2020
120,False,135,0,0,True,8,True,True,active,0,9,2020-08-06 00:12:05+00:00,135,,,2020-08-06 06:33:15,2020
121,False,136,0,0,True,18,True,True,active,0,1,2020-08-06 01:39:53+00:00,136,,,2020-08-06 06:33:15,2020
122,False,137,0,0,True,11,True,True,active,0,4,2020-08-06 05:01:25+00:00,137,,,2020-08-06 06:33:15,2020
123,False,138,0,0,True,11,True,True,active,0,4,2020-08-06 05:08:42+00:00,138,,,2020-08-06 06:33:15,2020
124,False,139,0,0,True,5,True,True,active,0,14,2020-08-06 03:53:08+00:00,139,,,2020-08-06 06:33:15,2020
125,False,140,0,0,True,4,True,True,active,0,13,2020-08-06 04:27:32+00:00,140,,,2020-08-06 06:33:15,2020
126,False,141,0,0,True,10,True,True,active,0,5,2020-08-06 04:03:27+00:00,141,,,2020-08-06 06:33:15,2020
127,False,142,0,0,True,10,True,True,active,3,10,2020-08-06 02:47:37+00:00,142,,,2020-08-06 06:33:15,2020
128,False,143,0,0,True,14,True,True,active,1,8,2020-08-06 03:43:52+00:00,143,,,2020-08-06 06:33:15,2020
129,False,144,0,0,True,11,True,True,active,0,8,2020-08-06 03:00:28+00:00,144,,,2020-08-06 06:33:15,2020
130,False,145,0,0,True,12,True,True,active,0,7,2020-08-06 04:18:25+00:00,145,,,2020-08-06 06:33:15,2020
131,False,146,0,0,True,8,True,True,active,1,10,2020-08-06 05:29:14+00:00,146,,,2020-08-06 06:33:15,2020
