,num_ebikes_available,num_docks_available,num_bikes_disabled,is_renting,station_id,is_returning,station_status,legacy_id,is_installed,num_docks_disabled,last_reported,num_bikes_available,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
48,0,12,0,True,56,True,active,56,True,0,2020-08-20 21:02:34+00:00,6,False,,,2020-08-20 21:10:35,2020
49,0,12,0,True,57,True,active,57,True,0,2020-08-20 20:59:26+00:00,2,True,,,2020-08-20 21:10:35,2020
50,0,17,1,True,58,True,active,58,True,0,2020-08-20 20:59:02+00:00,1,True,,,2020-08-20 21:10:35,2020
51,0,4,0,True,59,True,active,59,True,0,2020-08-20 21:03:40+00:00,15,True,,,2020-08-20 21:10:35,2020
52,0,6,1,True,60,True,active,60,True,0,2020-08-20 21:09:43+00:00,12,False,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_capacity': 40, 'active': True, 'valet_revision': 87, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 27, 'dock_blocked_count': 0, 'region': 'BOS'}",2020-08-20 21:10:35,2020
53,0,6,0,True,61,True,active,61,True,0,2020-08-20 21:10:27+00:00,13,False,,,2020-08-20 21:10:35,2020
54,0,10,0,True,63,True,active,63,True,0,2020-08-20 20:30:48+00:00,5,False,,,2020-08-20 21:10:35,2020
55,0,2,0,False,64,False,active,64,True,0,2020-08-20 19:58:42+00:00,17,False,,,2020-08-20 21:10:35,2020
56,0,17,0,True,65,True,active,65,True,0,2020-08-20 20:50:22+00:00,6,False,,,2020-08-20 21:10:35,2020
57,0,12,0,True,66,True,active,66,True,0,2020-08-20 20:54:43+00:00,3,False,,,2020-08-20 21:10:35,2020
58,0,11,0,True,67,True,active,67,True,0,2020-08-20 21:06:05+00:00,16,True,,,2020-08-20 21:10:35,2020
59,0,3,1,True,68,True,active,68,True,0,2020-08-20 21:08:02+00:00,15,True,,,2020-08-20 21:10:35,2020
60,0,7,0,True,69,True,active,69,True,0,2020-08-20 21:07:55+00:00,12,True,,,2020-08-20 21:10:35,2020
61,0,8,0,True,70,True,active,70,True,0,2020-08-20 21:06:18+00:00,15,False,,,2020-08-20 21:10:35,2020
62,0,4,1,True,71,True,active,71,True,0,2020-08-20 20:59:04+00:00,18,False,,,2020-08-20 21:10:35,2020
63,0,9,0,True,72,True,active,72,True,0,2020-08-20 21:04:13+00:00,14,False,,,2020-08-20 21:10:35,2020
64,0,11,0,True,73,True,active,73,True,0,2020-08-20 20:59:25+00:00,4,False,,,2020-08-20 21:10:35,2020
65,0,14,0,True,74,True,active,74,True,0,2020-08-20 21:10:16+00:00,5,True,,,2020-08-20 21:10:35,2020
66,0,14,0,True,75,True,active,75,True,0,2020-08-20 20:44:37+00:00,1,False,,,2020-08-20 21:10:35,2020
67,0,12,2,True,76,True,active,76,True,0,2020-08-20 21:04:19+00:00,3,False,,,2020-08-20 21:10:35,2020
68,0,14,0,True,77,True,active,77,True,0,2020-08-20 20:35:46+00:00,1,False,,,2020-08-20 21:10:35,2020
69,0,5,0,True,78,True,active,78,True,0,2020-08-20 20:37:14+00:00,14,False,,,2020-08-20 21:10:35,2020
