,eightd_has_available_keys,num_docks_available,num_bikes_available,num_docks_disabled,station_id,station_status,legacy_id,last_reported,num_bikes_disabled,is_installed,is_renting,num_ebikes_available,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,False,14,1,0,3,active,3,2020-08-06 23:33:58+00:00,0,True,True,0,True,,,2020-08-06 23:35:30,2020
1,False,3,16,0,4,active,4,2020-08-06 23:18:26+00:00,0,True,True,0,True,,,2020-08-06 23:35:30,2020
2,False,12,2,0,5,active,5,2020-08-06 23:27:03+00:00,1,True,True,0,True,,,2020-08-06 23:35:30,2020
3,False,14,0,0,6,active,6,2020-08-06 23:31:39+00:00,1,True,True,0,True,,,2020-08-06 23:35:30,2020
4,False,3,12,0,7,active,7,2020-08-06 23:32:05+00:00,0,True,True,0,True,,,2020-08-06 23:35:30,2020
5,False,12,7,0,8,active,8,2020-08-06 23:30:23+00:00,0,True,True,0,True,,,2020-08-06 23:35:30,2020
6,False,6,8,0,9,active,9,2020-08-06 23:32:25+00:00,1,True,True,0,True,,,2020-08-06 23:35:30,2020
7,False,5,6,0,10,active,10,2020-08-06 23:32:08+00:00,0,True,True,0,True,,,2020-08-06 23:35:30,2020
8,False,14,0,0,11,active,11,2020-08-06 23:10:04+00:00,1,True,True,0,True,,,2020-08-06 23:35:30,2020
9,True,5,13,0,12,active,12,2020-08-06 23:34:54+00:00,0,True,True,0,True,,,2020-08-06 23:35:30,2020
10,False,19,0,0,13,active,13,2020-08-06 23:32:20+00:00,0,True,True,0,True,,,2020-08-06 23:35:30,2020
11,False,23,0,0,14,active,14,2020-08-06 23:34:36+00:00,2,True,True,0,True,,,2020-08-06 23:35:30,2020
12,False,3,12,0,15,active,15,2020-08-06 23:15:17+00:00,0,True,True,0,True,,,2020-08-06 23:35:30,2020
13,True,10,9,0,16,active,16,2020-08-06 23:27:34+00:00,0,True,True,0,True,,,2020-08-06 23:35:30,2020
14,False,8,6,0,17,active,17,2020-08-06 23:33:23+00:00,1,True,True,0,True,,,2020-08-06 23:35:30,2020
15,False,8,7,0,19,active,19,2020-08-06 23:25:56+00:00,0,True,True,0,True,,,2020-08-06 23:35:30,2020
16,True,15,7,0,20,active,20,2020-08-06 23:34:28+00:00,1,True,True,0,True,,,2020-08-06 23:35:30,2020
17,True,11,7,0,21,active,21,2020-08-06 23:21:38+00:00,0,True,True,0,True,,,2020-08-06 23:35:30,2020
18,True,45,1,0,22,active,22,2020-08-06 22:54:36+00:00,1,True,True,0,True,,,2020-08-06 23:35:30,2020
19,True,8,13,0,23,active,23,2020-08-06 23:24:00+00:00,0,True,True,0,True,,,2020-08-06 23:35:30,2020
20,False,0,17,0,24,active,24,2020-08-06 23:22:48+00:00,2,True,True,0,True,,,2020-08-06 23:35:30,2020
21,False,12,2,0,25,active,25,2020-08-06 23:25:49+00:00,1,True,True,0,True,,,2020-08-06 23:35:30,2020
22,False,7,7,0,26,active,26,2020-08-06 23:34:26+00:00,1,True,True,0,True,,,2020-08-06 23:35:30,2020
23,False,8,14,0,27,active,27,2020-08-06 23:33:07+00:00,1,True,True,0,True,,,2020-08-06 23:35:30,2020
24,False,6,7,0,29,active,29,2020-08-06 22:17:46+00:00,2,True,True,0,True,,,2020-08-06 23:35:30,2020
25,False,14,1,0,30,active,30,2020-08-06 23:31:27+00:00,0,True,True,0,True,,,2020-08-06 23:35:30,2020
26,True,3,16,0,31,active,31,2020-08-06 23:27:04+00:00,0,True,True,0,True,,,2020-08-06 23:35:30,2020
27,False,15,0,0,32,active,32,2020-08-06 23:34:30+00:00,0,True,True,0,True,,,2020-08-06 23:35:30,2020
28,False,9,18,0,33,active,33,2020-08-06 23:25:55+00:00,0,True,True,0,True,,,2020-08-06 23:35:30,2020
29,False,18,5,0,35,active,35,2020-08-06 23:04:06+00:00,0,True,True,0,True,,,2020-08-06 23:35:30,2020
30,True,6,26,0,36,active,36,2020-08-06 23:18:33+00:00,1,True,True,0,True,,,2020-08-06 23:35:30,2020
31,True,11,3,0,37,active,37,2020-08-06 23:18:18+00:00,1,True,True,0,True,,,2020-08-06 23:35:30,2020
32,False,18,5,0,39,active,39,2020-08-06 23:33:37+00:00,0,True,True,0,True,,,2020-08-06 23:35:30,2020
33,False,16,3,0,40,active,40,2020-08-06 23:31:13+00:00,0,True,True,0,True,,,2020-08-06 23:35:30,2020
34,True,18,9,0,41,active,41,2020-08-06 23:34:02+00:00,0,True,True,0,True,,,2020-08-06 23:35:30,2020
35,False,12,10,0,42,active,42,2020-08-06 23:09:02+00:00,1,True,True,0,True,,,2020-08-06 23:35:30,2020
36,True,5,10,0,43,active,43,2020-08-06 23:08:28+00:00,0,True,True,0,True,,,2020-08-06 23:35:30,2020
37,False,16,7,0,44,active,44,2020-08-06 23:27:01+00:00,0,True,True,0,True,,,2020-08-06 23:35:30,2020
38,False,0,18,0,46,active,46,2020-08-06 23:23:24+00:00,1,True,True,0,True,,,2020-08-06 23:35:30,2020
39,True,6,12,0,47,active,47,2020-08-06 23:34:59+00:00,1,True,True,0,True,,,2020-08-06 23:35:30,2020
40,False,16,3,0,48,active,48,2020-08-06 23:30:40+00:00,0,True,True,0,True,,,2020-08-06 23:35:30,2020
41,False,12,5,0,49,active,49,2020-08-06 23:18:07+00:00,1,True,True,0,True,,,2020-08-06 23:35:30,2020
