,is_installed,is_returning,num_docks_available,legacy_id,num_docks_disabled,last_reported,is_renting,station_status,num_bikes_available,num_bikes_disabled,eightd_has_available_keys,station_id,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
210,True,True,10,272,0,2020-08-20 23:13:04+00:00,True,active,9,0,False,272,0,,,2020-08-20 23:43:50,2020
211,True,True,9,273,0,2020-08-20 23:41:24+00:00,True,active,31,0,False,273,0,,,2020-08-20 23:43:50,2020
212,True,True,0,279,0,2020-08-20 23:20:52+00:00,True,active,19,0,False,279,0,,,2020-08-20 23:43:50,2020
213,True,True,2,280,0,2020-08-20 22:45:17+00:00,True,active,17,0,False,280,0,,,2020-08-20 23:43:50,2020
214,True,True,4,282,0,2020-08-20 23:24:45+00:00,True,active,10,1,False,282,0,,,2020-08-20 23:43:50,2020
215,True,True,10,296,0,2020-08-20 23:06:09+00:00,True,active,12,1,False,296,0,,,2020-08-20 23:43:50,2020
216,True,True,19,318,0,2020-08-20 23:41:08+00:00,True,active,0,0,False,318,0,,,2020-08-20 23:43:50,2020
217,True,True,20,319,0,2020-08-20 23:12:45+00:00,True,active,5,0,False,319,0,,,2020-08-20 23:43:50,2020
218,True,True,8,327,0,2020-08-20 22:43:42+00:00,True,active,7,0,False,327,0,,,2020-08-20 23:43:50,2020
219,True,True,4,328,0,2020-08-20 23:38:25+00:00,True,active,11,0,False,328,0,,,2020-08-20 23:43:50,2020
220,True,True,8,329,0,2020-08-20 23:16:19+00:00,True,active,6,1,False,329,0,,,2020-08-20 23:43:50,2020
221,True,True,11,330,0,2020-08-20 23:43:16+00:00,True,active,4,0,False,330,0,,,2020-08-20 23:43:50,2020
222,True,True,13,331,0,2020-08-20 23:40:44+00:00,True,active,2,0,False,331,0,,,2020-08-20 23:43:50,2020
223,True,True,0,332,0,2020-08-20 23:41:06+00:00,True,active,15,0,False,332,0,,,2020-08-20 23:43:50,2020
224,True,True,8,333,0,2020-08-20 23:37:32+00:00,True,active,17,0,False,333,0,,,2020-08-20 23:43:50,2020
225,True,True,2,334,0,2020-08-20 22:35:06+00:00,True,active,17,0,False,334,0,,,2020-08-20 23:43:50,2020
226,True,True,14,335,0,2020-08-20 23:37:14+00:00,True,active,5,0,False,335,0,,,2020-08-20 23:43:50,2020
227,True,True,12,336,0,2020-08-20 21:34:57+00:00,True,active,3,0,False,336,0,,,2020-08-20 23:43:50,2020
228,True,True,0,337,0,2020-08-20 22:28:37+00:00,True,active,15,0,False,337,0,,,2020-08-20 23:43:50,2020
229,True,True,2,338,0,2020-08-20 23:41:37+00:00,True,active,13,0,False,338,0,,,2020-08-20 23:43:50,2020
230,True,True,0,339,0,2020-08-20 15:22:04+00:00,True,active,15,0,False,339,0,,,2020-08-20 23:43:50,2020
231,True,True,5,340,0,2020-08-20 08:51:25+00:00,True,active,14,0,False,340,0,,,2020-08-20 23:43:50,2020
232,True,True,2,341,0,2020-08-20 23:36:01+00:00,True,active,13,0,True,341,0,,,2020-08-20 23:43:50,2020
233,True,True,11,342,0,2020-08-20 23:42:30+00:00,True,active,2,2,False,342,0,,,2020-08-20 23:43:50,2020
234,True,True,12,343,0,2020-08-20 05:26:24+00:00,True,active,3,0,False,343,0,,,2020-08-20 23:43:50,2020
235,True,True,16,344,0,2020-08-20 23:37:41+00:00,True,active,2,1,False,344,0,,,2020-08-20 23:43:50,2020
236,True,True,12,345,0,2020-08-20 23:12:20+00:00,True,active,7,0,False,345,0,,,2020-08-20 23:43:50,2020
237,True,True,15,346,0,2020-08-20 23:00:18+00:00,True,active,0,0,False,346,0,,,2020-08-20 23:43:50,2020
238,True,True,4,347,0,2020-08-20 23:22:40+00:00,True,active,11,0,False,347,0,,,2020-08-20 23:43:50,2020
239,True,True,10,348,0,2020-08-20 21:25:37+00:00,True,active,5,0,False,348,0,,,2020-08-20 23:43:50,2020
240,True,True,11,349,0,2020-08-20 14:18:20+00:00,True,active,6,0,False,349,0,,,2020-08-20 23:43:50,2020
241,True,True,5,350,0,2020-08-20 20:26:19+00:00,True,active,12,0,False,350,0,,,2020-08-20 23:43:50,2020
242,True,True,1,351,0,2020-08-20 23:40:30+00:00,True,active,14,0,False,351,0,,,2020-08-20 23:43:50,2020
243,True,True,10,352,0,2020-08-20 23:25:13+00:00,True,active,5,0,False,352,0,,,2020-08-20 23:43:50,2020
244,True,True,8,353,0,2020-08-20 21:10:55+00:00,True,active,7,0,True,353,0,,,2020-08-20 23:43:50,2020
245,True,True,8,354,0,2020-08-20 23:37:42+00:00,True,active,7,0,False,354,0,,,2020-08-20 23:43:50,2020
246,True,True,3,355,0,2020-08-20 23:12:30+00:00,True,active,14,0,False,355,0,,,2020-08-20 23:43:50,2020
247,True,True,19,356,0,2020-08-20 23:42:15+00:00,True,active,3,1,False,356,0,,,2020-08-20 23:43:50,2020
248,True,True,2,357,0,2020-08-20 23:39:42+00:00,True,active,13,0,False,357,0,,,2020-08-20 23:43:50,2020
249,True,True,7,358,0,2020-08-20 23:37:56+00:00,True,active,12,0,False,358,0,,,2020-08-20 23:43:50,2020
250,True,True,14,359,0,2020-08-20 23:03:52+00:00,True,active,1,0,False,359,0,,,2020-08-20 23:43:50,2020
251,True,True,5,360,0,2020-08-20 23:30:31+00:00,True,active,10,0,False,360,0,,,2020-08-20 23:43:50,2020
252,True,True,5,361,0,2020-08-20 23:26:03+00:00,True,active,13,1,False,361,0,,,2020-08-20 23:43:50,2020
253,True,True,2,362,0,2020-08-20 23:12:43+00:00,True,active,16,1,False,362,0,,,2020-08-20 23:43:50,2020
254,True,True,1,363,0,2020-08-20 23:41:46+00:00,True,active,18,0,False,363,0,,,2020-08-20 23:43:50,2020
255,True,True,17,364,0,2020-08-20 23:28:12+00:00,True,active,0,2,False,364,0,,,2020-08-20 23:43:50,2020
256,True,True,7,365,0,2020-08-20 23:25:15+00:00,True,active,12,0,False,365,0,,,2020-08-20 23:43:50,2020
257,False,True,0,366,0,1970-01-02 00:00:00+00:00,True,out_of_service,0,0,False,366,0,,,2020-08-20 23:43:50,1970
258,True,True,5,367,0,2020-08-20 23:12:56+00:00,True,active,14,0,False,367,0,,,2020-08-20 23:43:50,2020
259,True,True,10,368,0,2020-08-20 23:20:01+00:00,True,active,5,0,False,368,0,,,2020-08-20 23:43:50,2020
