,eightd_has_available_keys,is_renting,is_returning,num_ebikes_available,station_status,num_bikes_disabled,station_id,num_docks_disabled,is_installed,last_reported,num_docks_available,legacy_id,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
56,False,True,True,0,active,1,65,0,True,2020-08-13 23:45:46+00:00,17,65,5,,,2020-08-13 23:51:30,2020
57,False,True,True,0,active,1,66,0,True,2020-08-13 23:50:57+00:00,10,66,4,,,2020-08-13 23:51:30,2020
58,True,True,True,0,active,4,67,0,True,2020-08-13 23:51:07+00:00,12,67,11,,,2020-08-13 23:51:30,2020
59,True,True,True,0,active,1,68,0,True,2020-08-13 23:50:32+00:00,5,68,13,,,2020-08-13 23:51:30,2020
60,True,True,True,0,active,1,69,0,True,2020-08-13 23:46:52+00:00,0,69,18,,,2020-08-13 23:51:30,2020
61,False,True,True,0,active,0,70,0,True,2020-08-13 23:49:07+00:00,5,70,18,,,2020-08-13 23:51:30,2020
62,False,True,True,0,active,1,71,0,True,2020-08-13 23:12:39+00:00,4,71,18,,,2020-08-13 23:51:30,2020
63,False,True,True,0,active,0,72,0,True,2020-08-13 23:32:35+00:00,9,72,14,,,2020-08-13 23:51:30,2020
64,False,True,True,0,active,2,73,0,True,2020-08-13 23:48:47+00:00,12,73,1,,,2020-08-13 23:51:30,2020
65,True,True,True,0,active,1,74,0,True,2020-08-13 23:36:28+00:00,2,74,16,,,2020-08-13 23:51:30,2020
66,False,True,True,0,active,0,75,0,True,2020-08-13 23:49:33+00:00,10,75,5,,,2020-08-13 23:51:30,2020
67,False,True,True,0,active,2,76,0,True,2020-08-13 23:47:24+00:00,12,76,3,,,2020-08-13 23:51:30,2020
68,False,True,True,0,active,1,77,0,True,2020-08-13 23:43:49+00:00,7,77,7,,,2020-08-13 23:51:30,2020
69,False,True,True,0,active,0,78,0,True,2020-08-13 23:48:16+00:00,3,78,16,,,2020-08-13 23:51:30,2020
70,False,True,True,0,active,4,79,0,True,2020-08-13 23:35:09+00:00,4,79,11,,,2020-08-13 23:51:30,2020
71,False,True,True,0,active,1,80,0,True,2020-08-13 23:45:48+00:00,34,80,0,,,2020-08-13 23:51:30,2020
72,False,True,True,0,active,2,81,0,True,2020-08-13 23:50:21+00:00,9,81,8,,,2020-08-13 23:51:30,2020
73,False,True,True,0,active,0,82,0,True,2020-08-13 23:34:17+00:00,13,82,2,,,2020-08-13 23:51:30,2020
74,False,True,True,0,active,0,84,0,True,2020-08-13 23:42:27+00:00,12,84,3,,,2020-08-13 23:51:30,2020
75,False,True,True,0,active,0,85,0,True,2020-08-13 23:17:05+00:00,19,85,0,,,2020-08-13 23:51:30,2020
76,False,True,True,0,active,0,86,0,True,2020-08-13 23:49:32+00:00,5,86,14,,,2020-08-13 23:51:30,2020
77,False,True,True,0,active,0,87,0,True,2020-08-13 23:46:09+00:00,3,87,12,,,2020-08-13 23:51:30,2020
78,False,True,True,0,active,0,89,0,True,2020-08-13 23:16:20+00:00,6,89,13,,,2020-08-13 23:51:30,2020
