,num_bikes_available,last_reported,is_renting,num_docks_available,legacy_id,num_docks_disabled,station_status,eightd_has_available_keys,station_id,num_bikes_disabled,num_ebikes_available,is_returning,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
52,16,2020-07-31 21:19:36+00:00,True,3,60,0,active,False,60,0,0,True,True,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_count': 10, 'dock_blocked_count': 0, 'off_dock_capacity': 40, 'active': True, 'region': 'BOS', 'valet_revision': 63, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}",2020-07-31 21:19:50,2020
53,19,2020-07-31 21:10:58+00:00,True,0,61,0,active,False,61,0,0,True,True,,,2020-07-31 21:19:50,2020
54,4,2020-07-31 20:33:44+00:00,True,11,63,0,active,False,63,0,0,True,True,,,2020-07-31 21:19:50,2020
55,16,2020-07-31 21:13:14+00:00,True,2,64,0,active,False,64,1,0,True,True,,,2020-07-31 21:19:50,2020
56,4,2020-07-31 21:03:27+00:00,True,19,65,0,active,False,65,0,0,True,True,,,2020-07-31 21:19:50,2020
57,3,2020-07-31 21:12:57+00:00,True,12,66,0,active,False,66,0,0,True,True,,,2020-07-31 21:19:50,2020
58,2,2020-07-31 21:17:58+00:00,True,22,67,0,active,True,67,3,0,True,True,,,2020-07-31 21:19:50,2020
59,11,2020-07-31 21:19:41+00:00,True,8,68,0,active,True,68,0,0,True,True,,,2020-07-31 21:19:50,2020
60,1,2020-07-31 21:01:29+00:00,True,18,69,0,active,True,69,0,0,True,True,,,2020-07-31 21:19:50,2020
61,21,2020-07-31 21:16:49+00:00,True,0,70,0,active,False,70,2,0,True,True,,,2020-07-31 21:19:50,2020
62,14,2020-07-31 21:18:18+00:00,True,9,71,0,active,False,71,0,0,True,True,,,2020-07-31 21:19:50,2020
63,4,2020-07-31 21:19:36+00:00,True,19,72,0,active,False,72,0,0,True,True,,,2020-07-31 21:19:50,2020
64,14,2020-07-31 21:14:43+00:00,True,0,73,0,active,False,73,1,0,True,True,,,2020-07-31 21:19:50,2020
65,12,2020-07-31 21:11:27+00:00,True,6,74,0,active,True,74,1,0,True,True,,,2020-07-31 21:19:50,2020
66,7,2020-07-31 21:19:24+00:00,True,8,75,0,active,False,75,0,0,True,True,,,2020-07-31 21:19:50,2020
67,2,2020-07-31 21:12:43+00:00,True,15,76,0,active,False,76,0,0,True,True,,,2020-07-31 21:19:50,2020
68,5,2020-07-31 21:06:28+00:00,True,10,77,0,active,False,77,0,0,True,True,,,2020-07-31 21:19:50,2020
69,12,2020-07-31 21:19:36+00:00,True,6,78,0,active,False,78,1,0,True,True,,,2020-07-31 21:19:50,2020
70,3,2020-07-31 21:17:53+00:00,True,16,79,0,active,False,79,0,0,True,True,,,2020-07-31 21:19:50,2020
71,28,2020-07-31 21:13:22+00:00,True,6,80,0,active,False,80,1,0,True,True,,,2020-07-31 21:19:50,2020
72,10,2020-07-31 21:17:29+00:00,True,8,81,0,active,False,81,1,0,True,True,,,2020-07-31 21:19:50,2020
73,4,2020-07-31 20:58:03+00:00,True,11,82,0,active,False,82,0,0,True,True,,,2020-07-31 21:19:50,2020
74,6,2020-07-31 21:12:51+00:00,True,9,84,0,active,False,84,0,0,True,True,,,2020-07-31 21:19:50,2020
