,legacy_id,last_reported,is_returning,num_ebikes_available,is_installed,num_docks_disabled,station_id,num_bikes_available,station_status,num_bikes_disabled,is_renting,eightd_has_available_keys,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
91,102,2020-08-20 18:31:03+00:00,True,0,True,0,102,1,active,0,True,False,14,,,2020-08-20 18:37:10,2020
92,103,2020-08-20 18:32:27+00:00,True,0,True,0,103,15,active,0,True,False,0,,,2020-08-20 18:37:10,2020
93,104,2020-08-20 18:20:46+00:00,True,0,True,0,104,1,active,0,True,False,18,,,2020-08-20 18:37:10,2020
94,105,2020-08-20 18:27:29+00:00,True,0,True,0,105,2,active,0,True,False,17,,,2020-08-20 18:37:10,2020
95,106,2020-08-20 17:41:37+00:00,True,0,True,0,106,6,active,0,True,False,9,,,2020-08-20 18:37:10,2020
96,107,2020-08-20 18:35:44+00:00,True,0,True,0,107,16,active,1,True,False,2,,,2020-08-20 18:37:10,2020
97,108,2020-08-20 18:20:23+00:00,True,0,True,0,108,7,active,0,True,False,10,,,2020-08-20 18:37:10,2020
98,109,2020-08-20 17:25:56+00:00,True,0,True,0,109,4,active,0,True,False,31,,,2020-08-20 18:37:10,2020
99,110,2020-08-20 18:34:16+00:00,True,0,True,0,110,5,active,0,True,False,10,,,2020-08-20 18:37:10,2020
100,111,2020-08-20 18:13:42+00:00,True,0,True,0,111,5,active,0,True,False,10,,,2020-08-20 18:37:10,2020
101,112,2020-08-20 17:54:54+00:00,True,0,True,0,112,5,active,0,True,False,10,,,2020-08-20 18:37:10,2020
102,113,2020-08-20 18:18:23+00:00,True,0,True,0,113,12,active,1,True,False,2,,,2020-08-20 18:37:10,2020
103,114,2020-08-20 18:28:34+00:00,True,0,True,0,114,4,active,0,True,False,11,,,2020-08-20 18:37:10,2020
104,115,2020-08-20 18:12:13+00:00,True,0,True,0,115,5,active,0,True,False,14,,,2020-08-20 18:37:10,2020
105,116,2020-08-20 17:52:32+00:00,True,0,True,0,116,0,active,0,True,False,23,,,2020-08-20 18:37:10,2020
106,117,2020-08-20 18:16:13+00:00,True,0,True,0,117,0,active,0,True,False,19,,,2020-08-20 18:37:10,2020
107,118,2020-08-20 18:11:04+00:00,True,0,True,0,118,7,active,0,True,False,12,,,2020-08-20 18:37:10,2020
108,119,2020-08-20 18:36:52+00:00,True,0,True,0,119,2,active,0,True,False,13,,,2020-08-20 18:37:10,2020
109,120,2020-08-20 18:35:01+00:00,True,0,True,0,120,7,active,0,True,False,8,,,2020-08-20 18:37:10,2020
110,121,2020-08-20 18:04:45+00:00,True,0,True,0,121,7,active,1,True,False,9,,,2020-08-20 18:37:10,2020
111,122,2020-08-20 18:26:26+00:00,True,0,True,0,122,14,active,0,True,False,1,,,2020-08-20 18:37:10,2020
112,124,2020-08-20 15:12:18+00:00,True,0,True,0,124,2,active,0,True,False,13,,,2020-08-20 18:37:10,2020
113,125,2020-08-20 18:33:16+00:00,True,0,True,0,125,0,active,1,True,False,14,,,2020-08-20 18:37:10,2020
114,126,2020-08-20 17:07:09+00:00,True,0,True,0,126,13,active,1,True,False,1,,,2020-08-20 18:37:10,2020
115,128,2020-08-20 18:08:12+00:00,True,0,True,0,128,9,active,0,True,False,10,,,2020-08-20 18:37:10,2020
116,129,2020-08-20 18:31:53+00:00,True,0,True,0,129,0,active,0,True,False,19,,,2020-08-20 18:37:10,2020
117,130,2020-08-20 14:10:36+00:00,True,0,True,0,130,14,active,0,True,False,1,,,2020-08-20 18:37:10,2020
118,131,2020-08-20 18:32:39+00:00,True,0,True,0,131,4,active,0,True,False,14,,,2020-08-20 18:37:10,2020
