,num_bikes_available,num_docks_disabled,legacy_id,eightd_has_available_keys,num_docks_available,is_installed,num_bikes_disabled,last_reported,num_ebikes_available,is_renting,is_returning,station_id,station_status,timestamp_of_data_read_request,year_station_last_reported
52,17,0,60,False,2,True,0,2020-08-12 21:38:00+00:00,0,True,True,60,active,2020-08-12 21:38:20,2020
53,11,0,61,False,7,True,1,2020-08-12 21:32:48+00:00,0,True,True,61,active,2020-08-12 21:38:20,2020
54,2,0,63,False,13,True,0,2020-08-12 21:20:33+00:00,0,True,True,63,active,2020-08-12 21:38:20,2020
55,7,0,64,False,12,True,0,2020-08-12 21:24:28+00:00,0,True,True,64,active,2020-08-12 21:38:20,2020
56,1,0,65,False,22,True,0,2020-08-12 18:57:19+00:00,0,True,True,65,active,2020-08-12 21:38:20,2020
57,7,0,66,False,7,True,1,2020-08-12 21:34:06+00:00,0,True,True,66,active,2020-08-12 21:38:20,2020
58,3,0,67,True,24,True,0,2020-08-12 21:32:13+00:00,0,True,True,67,active,2020-08-12 21:38:20,2020
59,10,0,68,True,8,True,1,2020-08-12 21:37:42+00:00,0,True,True,68,active,2020-08-12 21:38:20,2020
60,0,0,69,True,19,True,0,2020-08-12 21:32:17+00:00,0,True,True,69,active,2020-08-12 21:38:20,2020
61,16,0,70,False,7,True,0,2020-08-12 21:06:49+00:00,0,True,True,70,active,2020-08-12 21:38:20,2020
62,20,0,71,False,3,True,0,2020-08-12 21:36:09+00:00,0,True,True,71,active,2020-08-12 21:38:20,2020
63,11,0,72,False,12,True,0,2020-08-12 21:37:01+00:00,0,True,True,72,active,2020-08-12 21:38:20,2020
64,6,0,73,False,8,True,1,2020-08-12 21:33:22+00:00,0,True,True,73,active,2020-08-12 21:38:20,2020
65,12,0,74,True,5,True,2,2020-08-12 21:33:05+00:00,0,True,True,74,active,2020-08-12 21:38:20,2020
66,1,0,75,False,14,True,0,2020-08-12 21:35:55+00:00,0,True,True,75,active,2020-08-12 21:38:20,2020
67,10,0,76,False,7,True,0,2020-08-12 21:22:36+00:00,0,True,True,76,active,2020-08-12 21:38:20,2020
68,11,0,77,False,3,True,1,2020-08-12 21:19:28+00:00,0,True,True,77,active,2020-08-12 21:38:20,2020
69,15,0,78,False,4,True,0,2020-08-12 21:24:01+00:00,0,True,True,78,active,2020-08-12 21:38:20,2020
