,is_installed,eightd_has_available_keys,is_renting,station_status,legacy_id,is_returning,num_bikes_disabled,num_docks_available,num_docks_disabled,num_bikes_available,station_id,num_ebikes_available,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
50,True,True,True,active,58,True,0,17,0,2,58,0,2020-07-31 03:18:02+00:00,,,2020-07-31 04:09:00,2020
51,True,True,True,active,59,True,0,6,0,13,59,0,2020-07-31 02:53:09+00:00,,,2020-07-31 04:09:00,2020
52,True,False,True,active,60,True,0,15,0,4,60,0,2020-07-31 03:45:12+00:00,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'dock_blocked_count': 0, 'valet_revision': 63, 'off_dock_capacity': 40, 'off_dock_count': 12, 'active': True, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS'}",2020-07-31 04:09:00,2020
53,True,False,True,active,61,True,0,14,0,5,61,0,2020-07-31 04:08:05+00:00,,,2020-07-31 04:09:00,2020
54,True,False,True,active,63,True,0,4,0,11,63,0,2020-07-31 03:00:04+00:00,,,2020-07-31 04:09:00,2020
55,True,False,True,active,64,True,1,9,0,9,64,0,2020-07-31 03:54:35+00:00,,,2020-07-31 04:09:00,2020
56,True,False,True,active,65,True,2,16,0,5,65,0,2020-07-31 03:02:35+00:00,,,2020-07-31 04:09:00,2020
57,True,False,True,active,66,True,0,1,0,14,66,0,2020-07-31 03:51:46+00:00,,,2020-07-31 04:09:00,2020
58,True,True,True,active,67,True,1,24,0,2,67,0,2020-07-31 03:59:48+00:00,,,2020-07-31 04:09:00,2020
59,True,True,True,active,68,True,0,7,0,12,68,0,2020-07-31 03:54:03+00:00,,,2020-07-31 04:09:00,2020
60,True,True,True,active,69,True,2,5,0,12,69,0,2020-07-31 04:07:06+00:00,,,2020-07-31 04:09:00,2020
61,True,False,True,active,70,True,0,8,0,15,70,0,2020-07-31 03:29:24+00:00,,,2020-07-31 04:09:00,2020
62,True,False,True,active,71,True,0,1,0,22,71,0,2020-07-31 02:36:50+00:00,,,2020-07-31 04:09:00,2020
63,True,False,True,active,72,True,0,20,0,3,72,0,2020-07-31 03:48:46+00:00,,,2020-07-31 04:09:00,2020
64,True,False,True,active,73,True,0,5,0,10,73,0,2020-07-31 03:49:29+00:00,,,2020-07-31 04:09:00,2020
65,True,True,True,active,74,True,0,15,0,4,74,0,2020-07-31 04:05:49+00:00,,,2020-07-31 04:09:00,2020
66,True,False,True,active,75,True,0,10,0,5,75,0,2020-07-31 03:32:06+00:00,,,2020-07-31 04:09:00,2020
67,True,False,True,active,76,True,0,4,0,13,76,0,2020-07-31 03:34:31+00:00,,,2020-07-31 04:09:00,2020
68,True,False,True,active,77,True,0,7,0,8,77,0,2020-07-31 02:46:05+00:00,,,2020-07-31 04:09:00,2020
69,True,False,True,active,78,True,1,3,0,15,78,0,2020-07-31 02:50:18+00:00,,,2020-07-31 04:09:00,2020
70,True,False,True,active,79,True,0,16,0,3,79,0,2020-07-31 03:33:12+00:00,,,2020-07-31 04:09:00,2020
71,True,False,True,active,80,True,0,35,0,0,80,0,2020-07-31 00:39:21+00:00,,,2020-07-31 04:09:00,2020
