,eightd_has_available_keys,is_renting,station_status,num_docks_available,num_docks_disabled,is_installed,station_id,last_reported,num_ebikes_available,is_returning,legacy_id,num_bikes_disabled,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
0,False,True,active,14,0,True,3,2020-08-14 01:01:58+00:00,0,True,3,1,0,2020-08-14 03:25:55,2020
1,False,True,active,11,0,True,4,2020-08-14 03:15:26+00:00,0,True,4,0,8,2020-08-14 03:25:55,2020
2,False,True,active,7,0,True,5,2020-08-14 03:00:59+00:00,0,True,5,0,8,2020-08-14 03:25:55,2020
3,False,True,active,12,0,True,6,2020-08-14 03:14:43+00:00,0,True,6,1,2,2020-08-14 03:25:55,2020
4,False,True,active,13,0,True,7,2020-08-14 03:02:50+00:00,0,True,7,0,2,2020-08-14 03:25:55,2020
5,False,True,active,7,0,True,8,2020-08-14 03:18:30+00:00,0,True,8,0,12,2020-08-14 03:25:55,2020
6,False,True,active,4,0,True,9,2020-08-14 02:54:32+00:00,0,True,9,1,10,2020-08-14 03:25:55,2020
7,False,True,active,9,0,True,10,2020-08-14 03:02:16+00:00,0,True,10,1,1,2020-08-14 03:25:55,2020
8,False,True,active,15,0,True,11,2020-08-14 03:18:30+00:00,0,True,11,0,0,2020-08-14 03:25:55,2020
9,True,True,active,9,0,True,12,2020-08-14 03:12:36+00:00,0,True,12,0,9,2020-08-14 03:25:55,2020
10,False,True,active,17,0,True,13,2020-08-14 02:55:13+00:00,0,True,13,0,2,2020-08-14 03:25:55,2020
11,False,True,active,25,0,True,14,2020-08-14 02:49:14+00:00,0,True,14,0,0,2020-08-14 03:25:55,2020
12,False,True,active,1,0,True,15,2020-08-14 03:05:08+00:00,0,True,15,0,14,2020-08-14 03:25:55,2020
13,True,True,active,3,0,True,16,2020-08-14 03:04:01+00:00,0,True,16,0,16,2020-08-14 03:25:55,2020
14,False,True,active,7,0,True,17,2020-08-14 02:52:36+00:00,0,True,17,1,7,2020-08-14 03:25:55,2020
15,False,True,active,13,0,True,19,2020-08-14 01:42:15+00:00,0,True,19,0,2,2020-08-14 03:25:55,2020
16,True,True,active,21,0,True,20,2020-08-14 02:46:09+00:00,0,True,20,1,1,2020-08-14 03:25:55,2020
17,True,True,active,11,0,True,21,2020-08-14 03:23:04+00:00,0,True,21,1,6,2020-08-14 03:25:55,2020
18,True,True,active,38,0,True,22,2020-08-14 02:45:34+00:00,0,True,22,0,9,2020-08-14 03:25:55,2020
19,False,True,active,20,0,True,23,2020-08-14 03:04:28+00:00,0,True,23,0,1,2020-08-14 03:25:55,2020
20,False,True,active,16,0,True,24,2020-08-14 03:21:55+00:00,0,True,24,1,2,2020-08-14 03:25:55,2020
21,False,True,active,0,0,True,25,2020-08-14 00:17:43+00:00,0,True,25,0,15,2020-08-14 03:25:55,2020
22,False,True,active,0,0,True,26,2020-08-14 02:21:15+00:00,0,True,26,1,14,2020-08-14 03:25:55,2020
23,False,True,active,2,0,True,27,2020-08-14 03:20:45+00:00,0,True,27,1,20,2020-08-14 03:25:55,2020
24,False,True,active,10,0,True,29,2020-08-13 22:23:51+00:00,0,True,29,0,5,2020-08-14 03:25:55,2020
25,False,True,active,4,0,True,30,2020-08-14 03:13:55+00:00,0,True,30,1,10,2020-08-14 03:25:55,2020
26,True,True,active,12,0,True,31,2020-08-14 02:07:06+00:00,0,True,31,0,7,2020-08-14 03:25:55,2020
27,False,True,active,4,0,True,32,2020-08-14 02:54:28+00:00,0,True,32,0,11,2020-08-14 03:25:55,2020
