,station_status,num_bikes_available,num_ebikes_available,is_returning,last_reported,num_bikes_disabled,station_id,legacy_id,num_docks_available,num_docks_disabled,is_installed,is_renting,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
52,active,3,0,True,2020-08-19 04:35:13+00:00,2,60,60,14,0,True,True,False,2020-08-19 07:29:45,2020
53,active,1,0,True,2020-08-19 07:13:25+00:00,0,61,61,18,0,True,True,False,2020-08-19 07:29:45,2020
54,active,15,0,True,2020-08-19 00:24:41+00:00,0,63,63,0,0,True,True,False,2020-08-19 07:29:45,2020
55,active,4,0,True,2020-08-19 02:38:19+00:00,1,64,64,14,0,True,True,False,2020-08-19 07:29:45,2020
56,active,1,0,True,2020-08-19 04:10:08+00:00,0,65,65,22,0,True,True,False,2020-08-19 07:29:45,2020
57,active,13,0,True,2020-08-19 04:58:14+00:00,1,66,66,1,0,True,True,False,2020-08-19 07:29:45,2020
58,active,0,0,True,2020-08-19 04:28:36+00:00,0,67,67,27,0,True,True,True,2020-08-19 07:29:45,2020
59,active,18,0,True,2020-08-19 05:30:00+00:00,0,68,68,1,0,True,True,True,2020-08-19 07:29:45,2020
60,active,18,0,True,2020-08-19 07:15:41+00:00,0,69,69,1,0,True,True,True,2020-08-19 07:29:45,2020
61,active,2,0,True,2020-08-19 02:03:27+00:00,0,70,70,21,0,True,True,False,2020-08-19 07:29:45,2020
62,active,13,0,True,2020-08-19 04:01:29+00:00,0,71,71,10,0,True,True,False,2020-08-19 07:29:45,2020
63,active,13,0,True,2020-08-19 02:36:59+00:00,1,72,72,9,0,True,True,False,2020-08-19 07:29:45,2020
64,active,9,0,True,2020-08-19 03:22:35+00:00,3,73,73,3,0,True,True,False,2020-08-19 07:29:45,2020
65,active,5,0,True,2020-08-19 06:16:34+00:00,1,74,74,13,0,True,True,False,2020-08-19 07:29:45,2020
66,active,11,0,True,2020-08-19 05:02:38+00:00,1,75,75,3,0,True,True,False,2020-08-19 07:29:45,2020
67,active,16,0,True,2020-08-19 04:23:03+00:00,1,76,76,0,0,True,True,False,2020-08-19 07:29:45,2020
68,active,7,0,True,2020-08-19 04:27:21+00:00,0,77,77,8,0,True,True,False,2020-08-19 07:29:45,2020
69,active,14,0,True,2020-08-19 07:28:51+00:00,0,78,78,5,0,True,True,False,2020-08-19 07:29:45,2020
70,active,15,0,True,2020-08-19 06:27:28+00:00,2,79,79,2,0,True,True,False,2020-08-19 07:29:45,2020
71,active,0,0,True,2020-08-19 01:58:59+00:00,0,80,80,35,0,True,True,False,2020-08-19 07:29:45,2020
