,station_id,is_renting,num_ebikes_available,num_bikes_disabled,eightd_has_available_keys,last_reported,eightd_active_station_services,num_docks_disabled,is_returning,valet,legacy_id,is_installed,num_bikes_available,num_docks_available,station_status,timestamp_of_data_read_request,year_station_last_reported
0,296,True,0,0,False,2020-08-03 05:13:27+00:00,[{'id': 'e4cf42bb-42a8-4a72-9a2f-5f76a12e7a7a'}],0,True,"{'off_dock_capacity': 0, 'station_id': '74cb9bf6-bb53-4c70-88d2-67998b99628c', 'off_dock_count': 0, 'active': True, 'dock_blocked_count': 0, 'valet_revision': 3, 'region': 'BOS'}",296,True,15,8,active,2020-08-03 07:42:20,2020
1,3,True,0,1,True,2020-08-03 03:55:23+00:00,,0,True,,3,True,9,5,active,2020-08-03 07:42:20,2020
2,4,True,0,0,False,2020-08-03 06:29:32+00:00,,0,True,,4,True,8,11,active,2020-08-03 07:42:20,2020
3,5,True,0,0,False,2020-08-03 06:27:19+00:00,,0,True,,5,True,11,4,active,2020-08-03 07:42:20,2020
4,6,True,0,0,False,2020-08-03 03:41:22+00:00,,0,True,,6,True,2,13,active,2020-08-03 07:42:20,2020
5,7,True,0,1,False,2020-08-03 03:52:01+00:00,,0,True,,7,True,7,7,active,2020-08-03 07:42:20,2020
6,8,True,0,3,False,2020-08-03 07:22:15+00:00,,0,True,,8,True,16,0,active,2020-08-03 07:42:20,2020
7,9,True,0,0,False,2020-08-03 03:54:13+00:00,,0,True,,9,True,10,5,active,2020-08-03 07:42:20,2020
8,10,True,0,1,False,2020-08-03 02:59:02+00:00,,0,True,,10,True,1,9,active,2020-08-03 07:42:20,2020
9,11,True,0,1,False,2020-08-03 07:36:31+00:00,,0,True,,11,True,1,13,active,2020-08-03 07:42:20,2020
10,12,True,0,0,True,2020-08-03 06:58:23+00:00,,0,True,,12,True,8,10,active,2020-08-03 07:42:20,2020
11,13,True,0,0,False,2020-08-03 06:52:08+00:00,,0,True,,13,True,11,8,active,2020-08-03 07:42:20,2020
12,14,True,0,2,False,2020-08-03 05:14:00+00:00,,0,True,,14,True,6,17,active,2020-08-03 07:42:20,2020
13,15,True,0,0,False,2020-08-03 01:45:49+00:00,,0,True,,15,True,7,8,active,2020-08-03 07:42:20,2020
14,16,True,0,0,True,2020-08-03 07:03:19+00:00,,0,True,,16,True,7,12,active,2020-08-03 07:42:20,2020
15,17,True,0,1,False,2020-08-03 02:44:01+00:00,,0,True,,17,True,10,4,active,2020-08-03 07:42:20,2020
16,19,True,0,0,False,2020-08-03 01:48:39+00:00,,0,True,,19,True,4,11,active,2020-08-03 07:42:20,2020
17,20,True,0,1,True,2020-08-03 05:38:39+00:00,,0,True,,20,True,13,9,active,2020-08-03 07:42:20,2020
18,21,True,0,0,True,2020-08-03 06:20:30+00:00,,0,True,,21,True,0,18,active,2020-08-03 07:42:20,2020
19,22,True,0,0,True,2020-08-03 04:38:41+00:00,,0,True,,22,True,14,33,active,2020-08-03 07:42:20,2020
20,23,True,0,0,True,2020-08-03 03:20:57+00:00,,0,True,,23,True,0,21,active,2020-08-03 07:42:20,2020
21,24,True,0,1,False,2020-08-03 04:56:43+00:00,,0,True,,24,True,14,4,active,2020-08-03 07:42:20,2020
22,25,True,0,2,False,2020-08-03 01:45:58+00:00,,0,True,,25,True,7,6,active,2020-08-03 07:42:20,2020
23,26,True,0,0,False,2020-08-03 06:57:12+00:00,,0,True,,26,True,1,14,active,2020-08-03 07:42:20,2020
24,27,True,0,1,False,2020-08-03 06:13:42+00:00,,0,True,,27,True,19,3,active,2020-08-03 07:42:20,2020
25,29,True,0,0,False,2020-08-02 20:54:08+00:00,,0,True,,29,True,6,9,active,2020-08-03 07:42:20,2020
26,30,True,0,4,False,2020-08-03 05:15:53+00:00,,0,True,,30,True,11,0,active,2020-08-03 07:42:20,2020
27,31,True,0,0,True,2020-08-02 22:34:48+00:00,,0,True,,31,True,0,19,active,2020-08-03 07:42:20,2020
28,32,True,0,4,False,2020-08-03 05:27:40+00:00,,0,True,,32,True,9,2,active,2020-08-03 07:42:20,2020
29,33,True,0,2,False,2020-08-03 06:32:07+00:00,,0,True,,33,True,1,24,active,2020-08-03 07:42:20,2020
30,35,True,0,0,False,2020-08-03 00:03:51+00:00,,0,True,,35,True,9,14,active,2020-08-03 07:42:20,2020
31,36,True,0,0,True,2020-08-03 05:39:40+00:00,,0,True,,36,True,15,18,active,2020-08-03 07:42:20,2020
32,37,True,0,0,True,2020-08-03 03:38:41+00:00,,0,True,,37,True,11,4,active,2020-08-03 07:42:20,2020
33,39,True,0,1,False,2020-08-03 06:06:39+00:00,,0,True,,39,True,6,16,active,2020-08-03 07:42:20,2020
34,40,True,0,1,False,2020-08-03 04:01:06+00:00,,0,True,,40,True,16,2,active,2020-08-03 07:42:20,2020
35,41,True,0,5,True,2020-08-03 04:55:23+00:00,,0,True,,41,True,18,4,active,2020-08-03 07:42:20,2020
36,42,True,0,1,False,2020-08-03 04:11:32+00:00,,0,True,,42,True,7,15,active,2020-08-03 07:42:20,2020
37,43,True,0,0,True,2020-08-03 02:43:48+00:00,,0,True,,43,True,1,14,active,2020-08-03 07:42:20,2020
38,44,True,0,0,False,2020-08-03 03:31:48+00:00,,0,True,,44,True,0,23,active,2020-08-03 07:42:20,2020
39,46,True,0,1,False,2020-08-03 06:12:10+00:00,,0,True,,46,True,11,7,active,2020-08-03 07:42:20,2020
40,47,True,0,0,True,2020-08-03 03:56:06+00:00,,0,True,,47,True,14,5,active,2020-08-03 07:42:20,2020
41,48,True,0,0,False,2020-08-03 01:28:42+00:00,,0,True,,48,True,3,16,active,2020-08-03 07:42:20,2020
