,eightd_has_available_keys,is_renting,station_status,num_docks_available,num_docks_disabled,is_installed,station_id,last_reported,num_ebikes_available,is_returning,legacy_id,num_bikes_disabled,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
0,False,True,active,14,0,True,3,2020-08-14 01:01:58+00:00,0,True,3,1,0,2020-08-14 01:43:50,2020
1,False,True,active,12,0,True,4,2020-08-14 01:18:17+00:00,0,True,4,0,7,2020-08-14 01:43:50,2020
2,False,True,active,12,0,True,5,2020-08-14 01:24:15+00:00,0,True,5,0,3,2020-08-14 01:43:50,2020
3,False,True,active,14,0,True,6,2020-08-14 00:39:47+00:00,0,True,6,1,0,2020-08-14 01:43:50,2020
4,False,True,active,11,0,True,7,2020-08-14 01:16:42+00:00,0,True,7,0,4,2020-08-14 01:43:50,2020
5,False,True,active,8,0,True,8,2020-08-14 01:30:41+00:00,0,True,8,0,11,2020-08-14 01:43:50,2020
6,False,True,active,5,0,True,9,2020-08-14 01:24:20+00:00,0,True,9,1,9,2020-08-14 01:43:50,2020
7,False,True,active,10,0,True,10,2020-08-14 01:41:33+00:00,0,True,10,1,0,2020-08-14 01:43:50,2020
8,False,True,active,15,0,True,11,2020-08-14 01:32:18+00:00,0,True,11,0,0,2020-08-14 01:43:50,2020
9,True,True,active,11,0,True,12,2020-08-14 01:41:34+00:00,0,True,12,0,7,2020-08-14 01:43:50,2020
10,False,True,active,19,0,True,13,2020-08-14 01:22:01+00:00,0,True,13,0,0,2020-08-14 01:43:50,2020
11,False,True,active,25,0,True,14,2020-08-14 00:50:23+00:00,0,True,14,0,0,2020-08-14 01:43:50,2020
12,False,True,active,2,0,True,15,2020-08-14 01:42:15+00:00,0,True,15,0,13,2020-08-14 01:43:50,2020
13,True,True,active,1,0,True,16,2020-08-14 01:05:26+00:00,0,True,16,0,18,2020-08-14 01:43:50,2020
14,False,True,active,10,0,True,17,2020-08-14 01:28:00+00:00,0,True,17,1,4,2020-08-14 01:43:50,2020
15,False,True,active,13,0,True,19,2020-08-14 01:42:15+00:00,0,True,19,0,2,2020-08-14 01:43:50,2020
16,True,True,active,18,0,True,20,2020-08-14 01:37:08+00:00,0,True,20,1,4,2020-08-14 01:43:50,2020
17,True,True,active,11,0,True,21,2020-08-14 01:10:01+00:00,0,True,21,0,7,2020-08-14 01:43:50,2020
18,True,True,active,42,0,True,22,2020-08-14 01:27:14+00:00,0,True,22,0,5,2020-08-14 01:43:50,2020
