,num_docks_available,last_reported,station_id,num_docks_disabled,is_renting,num_ebikes_available,num_bikes_available,station_status,is_installed,eightd_has_available_keys,legacy_id,num_bikes_disabled,is_returning,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,5,2020-08-18 21:45:09+00:00,3,0,True,0,10,active,True,False,3,0,True,,,2020-08-18 21:47:45,2020
1,12,2020-08-18 21:43:15+00:00,4,0,True,0,7,active,True,False,4,0,True,,,2020-08-18 21:47:45,2020
2,7,2020-08-18 21:31:49+00:00,5,0,True,0,7,active,True,False,5,1,True,,,2020-08-18 21:47:45,2020
3,14,2020-08-18 21:36:01+00:00,6,0,True,0,0,active,True,False,6,1,True,,,2020-08-18 21:47:45,2020
4,11,2020-08-18 21:19:39+00:00,7,0,True,0,3,active,True,False,7,1,True,,,2020-08-18 21:47:45,2020
5,15,2020-08-18 21:12:33+00:00,8,0,True,0,0,active,True,False,8,4,True,,,2020-08-18 21:47:45,2020
6,5,2020-08-18 21:44:55+00:00,9,0,True,0,9,active,True,False,9,1,True,,,2020-08-18 21:47:45,2020
7,8,2020-08-18 21:38:37+00:00,10,0,True,0,3,active,True,False,10,0,True,,,2020-08-18 21:47:45,2020
8,2,2020-08-18 21:47:00+00:00,11,0,True,0,13,active,True,False,11,0,True,"{'off_dock_count': 10, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50, 'dock_blocked_count': 0, 'valet_revision': 92, 'active': True, 'region': 'BOS'}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-18 21:47:45,2020
9,13,2020-08-18 21:45:04+00:00,12,0,True,0,5,active,True,False,12,0,True,,,2020-08-18 21:47:45,2020
10,17,2020-08-18 21:44:22+00:00,13,0,True,0,1,active,True,False,13,1,True,,,2020-08-18 21:47:45,2020
11,24,2020-08-18 21:33:21+00:00,14,0,True,0,0,active,True,False,14,1,True,,,2020-08-18 21:47:45,2020
12,1,2020-08-18 21:43:24+00:00,15,0,True,0,13,active,True,False,15,1,True,,,2020-08-18 21:47:45,2020
13,5,2020-08-18 21:44:16+00:00,16,0,True,0,13,active,True,True,16,1,True,,,2020-08-18 21:47:45,2020
14,13,2020-08-18 21:15:39+00:00,17,0,True,0,2,active,True,False,17,0,True,,,2020-08-18 21:47:45,2020
15,10,2020-08-18 21:40:06+00:00,19,0,True,0,5,active,True,False,19,0,True,,,2020-08-18 21:47:45,2020
16,10,2020-08-18 21:44:52+00:00,20,0,True,0,13,active,True,True,20,0,True,,,2020-08-18 21:47:45,2020
17,14,2020-08-18 21:45:17+00:00,21,0,True,0,4,active,True,True,21,0,True,,,2020-08-18 21:47:45,2020
18,39,2020-08-18 21:45:50+00:00,22,0,True,0,7,active,True,True,22,1,True,,,2020-08-18 21:47:45,2020
19,15,2020-08-18 21:10:25+00:00,23,0,True,0,6,active,True,False,23,0,True,,,2020-08-18 21:47:45,2020
20,6,2020-08-18 21:42:42+00:00,24,0,True,0,12,active,True,False,24,1,True,,,2020-08-18 21:47:45,2020
21,7,2020-08-18 21:44:27+00:00,25,0,True,0,8,active,True,False,25,0,True,,,2020-08-18 21:47:45,2020
22,12,2020-08-18 21:40:24+00:00,26,0,True,0,3,active,True,False,26,0,True,,,2020-08-18 21:47:45,2020
23,4,2020-08-18 21:45:42+00:00,27,0,True,0,19,active,True,False,27,0,True,,,2020-08-18 21:47:45,2020
