,is_returning,is_installed,num_docks_available,is_renting,last_reported,num_bikes_disabled,num_bikes_available,legacy_id,station_id,num_docks_disabled,station_status,eightd_has_available_keys,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
128,True,True,13,True,2020-08-04 23:42:42+00:00,0,10,143,143,0,active,False,0,2020-08-04 23:50:30,2020
129,True,True,18,True,2020-08-04 20:39:57+00:00,0,1,144,144,0,active,False,0,2020-08-04 23:50:30,2020
130,True,True,2,True,2020-08-04 23:31:16+00:00,0,17,145,145,0,active,False,0,2020-08-04 23:50:30,2020
131,True,True,8,True,2020-08-04 22:26:39+00:00,2,9,146,146,0,active,False,0,2020-08-04 23:50:30,2020
132,True,True,10,True,2020-08-04 23:39:09+00:00,0,8,149,149,0,active,True,0,2020-08-04 23:50:30,2020
133,True,True,16,True,2020-08-04 20:42:40+00:00,0,3,150,150,0,active,False,0,2020-08-04 23:50:30,2020
134,True,True,15,True,2020-08-04 23:46:11+00:00,0,4,151,151,0,active,False,0,2020-08-04 23:50:30,2020
135,True,True,4,True,2020-08-04 23:27:30+00:00,0,11,152,152,0,active,True,0,2020-08-04 23:50:30,2020
136,True,True,11,True,2020-08-04 23:05:51+00:00,0,4,156,156,0,active,False,0,2020-08-04 23:50:30,2020
137,True,True,5,True,2020-08-04 23:48:28+00:00,2,8,157,157,0,active,False,0,2020-08-04 23:50:30,2020
138,True,True,10,True,2020-08-04 23:35:45+00:00,1,4,159,159,0,active,False,0,2020-08-04 23:50:30,2020
139,True,True,12,True,2020-08-04 23:37:51+00:00,0,2,160,160,0,active,True,0,2020-08-04 23:50:30,2020
140,True,True,16,True,2020-08-04 23:50:21+00:00,0,7,161,161,0,active,True,0,2020-08-04 23:50:30,2020
141,True,True,11,True,2020-08-04 23:32:51+00:00,1,3,162,162,0,active,False,0,2020-08-04 23:50:30,2020
142,True,True,14,True,2020-08-04 20:19:09+00:00,0,5,163,163,0,active,True,0,2020-08-04 23:50:30,2020
143,True,True,1,True,2020-08-04 23:10:51+00:00,0,14,167,167,0,active,False,0,2020-08-04 23:50:30,2020
144,True,True,3,True,2020-08-04 21:44:42+00:00,0,16,169,169,0,active,False,0,2020-08-04 23:50:30,2020
145,True,True,14,True,2020-08-04 19:21:17+00:00,0,0,170,170,0,active,True,0,2020-08-04 23:50:30,2020
146,True,True,17,True,2020-08-04 22:20:17+00:00,0,6,171,171,0,active,True,0,2020-08-04 23:50:30,2020
147,True,True,2,True,2020-08-04 23:05:09+00:00,0,12,173,173,0,active,True,0,2020-08-04 23:50:30,2020
148,True,True,8,True,2020-08-04 23:31:10+00:00,0,7,174,174,0,active,False,0,2020-08-04 23:50:30,2020
149,True,True,13,True,2020-08-04 23:37:10+00:00,0,4,175,175,0,active,True,0,2020-08-04 23:50:30,2020
150,True,True,9,True,2020-08-04 22:44:39+00:00,0,6,176,176,0,active,False,0,2020-08-04 23:50:30,2020
151,True,True,14,True,2020-08-04 23:46:28+00:00,0,5,177,177,0,active,False,0,2020-08-04 23:50:30,2020
152,True,True,7,True,2020-08-04 23:44:31+00:00,0,12,178,178,0,active,False,0,2020-08-04 23:50:30,2020
153,True,True,21,True,2020-08-04 23:49:01+00:00,0,4,179,179,0,active,False,0,2020-08-04 23:50:30,2020
154,True,True,6,True,2020-08-04 23:16:09+00:00,1,12,180,180,0,active,False,0,2020-08-04 23:50:30,2020
155,True,True,1,True,2020-08-04 23:11:10+00:00,1,17,181,181,0,active,False,0,2020-08-04 23:50:30,2020
156,True,True,13,True,2020-08-04 23:17:26+00:00,2,4,182,182,0,active,True,0,2020-08-04 23:50:30,2020
157,True,True,8,True,2020-08-04 20:11:48+00:00,0,11,183,183,0,active,False,0,2020-08-04 23:50:30,2020
158,True,True,13,True,2020-08-04 23:42:13+00:00,1,5,184,184,0,active,False,0,2020-08-04 23:50:30,2020
159,True,True,11,True,2020-08-04 23:49:32+00:00,1,3,185,185,0,active,False,0,2020-08-04 23:50:30,2020
160,True,True,8,True,2020-08-04 23:41:48+00:00,0,7,186,186,0,active,True,0,2020-08-04 23:50:30,2020
161,True,True,1,True,2020-08-04 15:40:14+00:00,0,14,187,187,0,active,False,0,2020-08-04 23:50:30,2020
162,True,True,13,True,2020-08-04 18:46:44+00:00,0,2,188,188,0,active,False,0,2020-08-04 23:50:30,2020
163,True,True,16,True,2020-08-04 23:38:47+00:00,1,6,189,189,0,active,False,0,2020-08-04 23:50:30,2020
164,True,True,21,True,2020-08-04 23:30:24+00:00,1,15,190,190,0,active,True,0,2020-08-04 23:50:30,2020
165,True,True,13,True,2020-08-04 21:18:37+00:00,0,2,191,191,0,active,False,0,2020-08-04 23:50:30,2020
166,True,True,15,True,2020-08-04 23:36:58+00:00,0,4,192,192,0,active,False,0,2020-08-04 23:50:30,2020
167,True,True,4,True,2020-08-04 20:58:20+00:00,1,10,193,193,0,active,True,0,2020-08-04 23:50:30,2020
168,True,True,13,True,2020-08-04 22:42:14+00:00,0,6,194,194,0,active,False,0,2020-08-04 23:50:30,2020
169,True,True,11,True,2020-08-04 23:48:33+00:00,0,12,195,195,0,active,False,0,2020-08-04 23:50:30,2020
170,True,True,7,True,2020-08-04 23:00:05+00:00,0,3,196,196,0,active,True,0,2020-08-04 23:50:30,2020
171,True,True,15,True,2020-08-04 22:59:19+00:00,0,0,197,197,0,active,False,0,2020-08-04 23:50:30,2020
172,True,True,1,True,2020-08-04 22:49:17+00:00,0,14,199,199,0,active,False,0,2020-08-04 23:50:30,2020
173,True,True,2,True,2020-08-04 23:10:59+00:00,1,16,200,200,0,active,False,0,2020-08-04 23:50:30,2020
174,True,True,15,True,2020-08-04 12:17:44+00:00,0,0,201,201,0,active,False,0,2020-08-04 23:50:30,2020
175,True,True,14,True,2020-08-04 18:10:32+00:00,1,0,202,202,0,active,False,0,2020-08-04 23:50:30,2020
