,num_bikes_available,num_docks_disabled,is_installed,legacy_id,is_returning,station_status,is_renting,last_reported,eightd_has_available_keys,station_id,num_ebikes_available,num_docks_available,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,0,0,True,3,True,active,True,2020-08-07 02:45:22+00:00,False,3,0,15,0,,,2020-08-07 03:10:30,2020
1,16,0,True,4,True,active,True,2020-08-07 03:09:53+00:00,False,4,0,3,0,,,2020-08-07 03:10:30,2020
2,13,0,True,5,True,active,True,2020-08-07 03:07:08+00:00,False,5,0,0,2,,,2020-08-07 03:10:30,2020
3,8,0,True,6,True,active,True,2020-08-07 03:02:39+00:00,False,6,0,6,1,,,2020-08-07 03:10:30,2020
4,5,0,True,7,True,active,True,2020-08-07 03:03:31+00:00,False,7,0,10,0,,,2020-08-07 03:10:30,2020
5,15,0,True,8,True,active,True,2020-08-07 03:07:22+00:00,False,8,0,4,0,,,2020-08-07 03:10:30,2020
6,9,0,True,9,True,active,True,2020-08-07 01:50:28+00:00,False,9,0,5,1,,,2020-08-07 03:10:30,2020
7,7,0,True,10,True,active,True,2020-08-07 02:06:07+00:00,False,10,0,4,0,,,2020-08-07 03:10:30,2020
8,0,0,True,11,True,active,True,2020-08-07 01:43:03+00:00,False,11,0,14,1,,,2020-08-07 03:10:30,2020
9,7,0,True,12,True,active,True,2020-08-07 03:08:38+00:00,True,12,0,11,0,,,2020-08-07 03:10:30,2020
10,0,0,True,13,True,active,True,2020-08-07 01:27:59+00:00,False,13,0,19,0,,,2020-08-07 03:10:30,2020
11,1,0,True,14,True,active,True,2020-08-07 02:43:42+00:00,False,14,0,22,2,,,2020-08-07 03:10:30,2020
12,11,0,True,15,True,active,True,2020-08-07 03:10:09+00:00,False,15,0,4,0,,,2020-08-07 03:10:30,2020
13,8,0,True,16,True,active,True,2020-08-07 02:44:02+00:00,True,16,0,11,0,,,2020-08-07 03:10:30,2020
14,2,0,True,17,True,active,True,2020-08-07 03:03:07+00:00,False,17,0,12,1,,,2020-08-07 03:10:30,2020
15,10,0,True,19,True,active,True,2020-08-07 02:15:26+00:00,False,19,0,5,0,,,2020-08-07 03:10:30,2020
16,3,0,True,20,True,active,True,2020-08-07 02:53:27+00:00,True,20,0,19,1,,,2020-08-07 03:10:30,2020
17,15,0,True,21,True,active,True,2020-08-07 02:52:28+00:00,True,21,0,3,0,,,2020-08-07 03:10:30,2020
18,20,0,True,22,True,active,True,2020-08-07 03:03:48+00:00,True,22,0,26,1,,,2020-08-07 03:10:30,2020
19,16,0,True,23,True,active,True,2020-08-07 02:55:30+00:00,True,23,0,5,0,,,2020-08-07 03:10:30,2020
20,2,0,True,24,True,active,True,2020-08-07 02:51:40+00:00,False,24,0,15,2,,,2020-08-07 03:10:30,2020
21,12,0,True,25,True,active,True,2020-08-07 02:44:00+00:00,False,25,0,2,1,,,2020-08-07 03:10:30,2020
22,13,0,True,26,True,active,True,2020-08-07 02:24:29+00:00,False,26,0,1,1,,,2020-08-07 03:10:30,2020
23,15,0,True,27,True,active,True,2020-08-07 02:50:55+00:00,False,27,0,8,0,,,2020-08-07 03:10:30,2020
