,is_renting,last_reported,num_docks_available,num_bikes_disabled,is_returning,is_installed,legacy_id,station_status,station_id,num_ebikes_available,eightd_has_available_keys,num_bikes_available,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
48,True,2020-08-18 19:37:40+00:00,8,1,True,True,56,active,56,0,False,9,0,,,2020-08-18 20:15:50,2020
49,True,2020-08-18 20:12:50+00:00,14,0,True,True,57,active,57,0,True,0,0,,,2020-08-18 20:15:50,2020
50,True,2020-08-18 20:14:07+00:00,11,2,True,True,58,active,58,0,True,6,0,,,2020-08-18 20:15:50,2020
51,True,2020-08-18 20:11:54+00:00,17,0,True,True,59,active,59,0,True,2,0,,,2020-08-18 20:15:50,2020
52,True,2020-08-18 20:15:46+00:00,9,0,True,True,60,active,60,0,False,10,0,,,2020-08-18 20:15:50,2020
53,True,2020-08-18 20:06:36+00:00,18,0,True,True,61,active,61,0,False,1,0,,,2020-08-18 20:15:50,2020
54,True,2020-08-18 17:10:01+00:00,2,0,True,True,63,active,63,0,False,13,0,,,2020-08-18 20:15:50,2020
55,True,2020-08-18 20:15:34+00:00,5,0,True,True,64,active,64,0,False,14,0,,,2020-08-18 20:15:50,2020
56,True,2020-08-18 19:46:25+00:00,18,0,True,True,65,active,65,0,False,5,0,,,2020-08-18 20:15:50,2020
57,True,2020-08-18 20:07:20+00:00,14,1,True,True,66,active,66,0,False,0,0,,,2020-08-18 20:15:50,2020
58,True,2020-08-18 20:15:28+00:00,3,0,True,True,67,active,67,0,True,24,0,,,2020-08-18 20:15:50,2020
59,True,2020-08-18 20:15:15+00:00,7,0,True,True,68,active,68,0,True,12,0,,,2020-08-18 20:15:50,2020
60,True,2020-08-18 19:53:27+00:00,3,0,True,True,69,active,69,0,True,16,0,,,2020-08-18 20:15:50,2020
61,True,2020-08-18 20:02:00+00:00,3,0,True,True,70,active,70,0,False,20,0,,,2020-08-18 20:15:50,2020
62,True,2020-08-18 19:29:38+00:00,17,0,True,True,71,active,71,0,False,6,0,,,2020-08-18 20:15:50,2020
63,True,2020-08-18 20:12:16+00:00,2,0,True,True,72,active,72,0,False,21,0,,,2020-08-18 20:15:50,2020
64,True,2020-08-18 19:43:01+00:00,5,2,True,True,73,active,73,0,False,8,0,,,2020-08-18 20:15:50,2020
