,num_docks_disabled,last_reported,is_returning,num_ebikes_available,eightd_has_available_keys,num_docks_available,station_id,is_renting,is_installed,station_status,num_bikes_available,num_bikes_disabled,legacy_id,timestamp_of_data_read_request,year_station_last_reported
45,0,2020-08-05 02:11:27+00:00,True,0,False,5,53,True,True,active,14,0,53,2020-08-05 02:13:35,2020
46,0,2020-08-05 01:46:14+00:00,True,0,False,2,54,True,True,active,12,1,54,2020-08-05 02:13:35,2020
47,0,2020-08-05 00:57:42+00:00,True,0,False,2,55,True,True,active,12,1,55,2020-08-05 02:13:35,2020
48,0,2020-08-05 02:03:58+00:00,True,0,True,10,56,True,True,active,8,0,56,2020-08-05 02:13:35,2020
49,0,2020-08-05 01:55:33+00:00,True,0,True,8,57,True,True,active,5,1,57,2020-08-05 02:13:35,2020
50,0,2020-08-05 00:35:54+00:00,True,0,True,14,58,True,True,active,5,0,58,2020-08-05 02:13:35,2020
51,0,2020-08-05 02:04:34+00:00,True,0,True,14,59,True,True,active,4,1,59,2020-08-05 02:13:35,2020
52,0,2020-08-05 02:13:25+00:00,True,0,False,12,60,True,True,active,6,1,60,2020-08-05 02:13:35,2020
53,0,2020-08-05 00:38:31+00:00,True,0,False,12,61,True,True,active,7,0,61,2020-08-05 02:13:35,2020
54,0,2020-08-04 23:07:50+00:00,True,0,False,10,63,True,True,active,5,0,63,2020-08-05 02:13:35,2020
55,0,2020-08-04 23:41:56+00:00,True,0,False,10,64,True,True,active,9,0,64,2020-08-05 02:13:35,2020
56,0,2020-08-05 02:07:24+00:00,True,0,False,17,65,True,True,active,5,1,65,2020-08-05 02:13:35,2020
57,0,2020-08-05 00:34:27+00:00,True,0,False,9,66,True,True,active,6,0,66,2020-08-05 02:13:35,2020
58,0,2020-08-05 01:59:45+00:00,True,0,True,23,67,True,True,active,3,1,67,2020-08-05 02:13:35,2020
59,0,2020-08-05 02:05:02+00:00,True,0,True,16,68,True,True,active,3,0,68,2020-08-05 02:13:35,2020
60,0,2020-08-05 02:05:01+00:00,True,0,True,3,69,True,True,active,16,0,69,2020-08-05 02:13:35,2020
61,0,2020-08-04 23:33:26+00:00,True,0,False,3,70,True,True,active,20,0,70,2020-08-05 02:13:35,2020
62,0,2020-08-05 00:48:57+00:00,True,0,False,3,71,True,True,active,20,0,71,2020-08-05 02:13:35,2020
63,0,2020-08-05 01:42:43+00:00,True,0,False,18,72,True,True,active,5,0,72,2020-08-05 02:13:35,2020
64,0,2020-08-05 01:39:18+00:00,True,0,False,7,73,True,True,active,8,0,73,2020-08-05 02:13:35,2020
65,0,2020-08-05 01:58:47+00:00,True,0,True,12,74,True,True,active,6,1,74,2020-08-05 02:13:35,2020
66,0,2020-08-05 02:03:30+00:00,True,0,False,9,75,True,True,active,6,0,75,2020-08-05 02:13:35,2020
67,0,2020-08-05 02:12:38+00:00,True,0,False,6,76,True,True,active,11,0,76,2020-08-05 02:13:35,2020
