,station_id,is_renting,is_returning,eightd_has_available_keys,num_ebikes_available,num_bikes_disabled,num_docks_available,last_reported,legacy_id,num_docks_disabled,station_status,is_installed,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
72,81,True,True,False,0,2,11,2020-08-21 23:16:08+00:00,81,0,active,True,6,2020-08-21 23:20:50,2020
73,82,True,True,False,0,0,15,2020-08-21 22:42:37+00:00,82,0,active,True,0,2020-08-21 23:20:50,2020
74,84,True,True,False,0,0,4,2020-08-21 23:18:11+00:00,84,0,active,True,11,2020-08-21 23:20:50,2020
75,85,True,True,False,0,0,16,2020-08-21 23:19:27+00:00,85,0,active,True,3,2020-08-21 23:20:50,2020
76,86,True,True,False,0,0,3,2020-08-21 23:16:45+00:00,86,0,active,True,16,2020-08-21 23:20:50,2020
77,87,True,True,False,0,0,14,2020-08-21 23:15:07+00:00,87,0,active,True,1,2020-08-21 23:20:50,2020
78,89,True,True,False,0,0,12,2020-08-21 23:13:17+00:00,89,0,active,True,7,2020-08-21 23:20:50,2020
79,90,True,True,False,0,0,13,2020-08-21 23:16:57+00:00,90,0,active,True,6,2020-08-21 23:20:50,2020
80,91,True,True,False,0,1,7,2020-08-21 23:20:26+00:00,91,0,active,True,11,2020-08-21 23:20:50,2020
81,92,True,True,False,0,1,11,2020-08-21 21:04:11+00:00,92,0,active,True,7,2020-08-21 23:20:50,2020
82,93,True,True,False,0,0,11,2020-08-21 23:06:56+00:00,93,0,active,True,4,2020-08-21 23:20:50,2020
83,94,True,True,False,0,1,3,2020-08-21 23:20:44+00:00,94,0,active,True,7,2020-08-21 23:20:50,2020
84,95,True,True,False,0,1,6,2020-08-21 23:20:39+00:00,95,0,active,True,8,2020-08-21 23:20:50,2020
85,96,True,True,False,0,1,14,2020-08-21 23:17:55+00:00,96,0,active,True,4,2020-08-21 23:20:50,2020
86,97,True,True,False,0,1,17,2020-08-21 23:10:51+00:00,97,0,active,True,1,2020-08-21 23:20:50,2020
87,98,True,True,False,0,2,19,2020-08-21 23:04:32+00:00,98,0,active,True,2,2020-08-21 23:20:50,2020
