,legacy_id,last_reported,is_returning,num_ebikes_available,is_installed,num_docks_disabled,station_id,num_bikes_available,station_status,num_bikes_disabled,is_renting,eightd_has_available_keys,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,3,2020-08-20 20:35:03+00:00,True,0,True,0,3,15,active,0,True,False,0,,,2020-08-20 20:50:05,2020
1,4,2020-08-20 20:39:21+00:00,True,0,True,0,4,8,active,0,True,False,11,,,2020-08-20 20:50:05,2020
2,5,2020-08-20 20:42:46+00:00,True,0,True,0,5,5,active,0,True,False,10,,,2020-08-20 20:50:05,2020
3,6,2020-08-20 20:48:04+00:00,True,0,True,0,6,14,active,1,True,False,0,,,2020-08-20 20:50:05,2020
4,7,2020-08-20 20:42:00+00:00,True,0,True,0,7,4,active,0,True,False,11,,,2020-08-20 20:50:05,2020
5,8,2020-08-20 20:37:19+00:00,True,0,True,0,8,9,active,1,True,False,9,,,2020-08-20 20:50:05,2020
6,9,2020-08-20 20:46:42+00:00,True,0,True,0,9,10,active,0,True,False,5,,,2020-08-20 20:50:05,2020
7,10,2020-08-20 20:48:45+00:00,True,0,True,0,10,7,active,0,True,False,4,,,2020-08-20 20:50:05,2020
8,11,2020-08-20 20:47:36+00:00,True,0,True,0,11,8,active,0,True,False,7,"{'region': 'BOS', 'valet_revision': 98, 'off_dock_capacity': 50, 'off_dock_count': 30, 'dock_blocked_count': 0, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-20 20:50:05,2020
9,12,2020-08-20 20:18:32+00:00,True,0,True,0,12,16,active,2,True,True,0,,,2020-08-20 20:50:05,2020
10,13,2020-08-20 20:47:39+00:00,True,0,True,0,13,1,active,0,True,False,18,,,2020-08-20 20:50:05,2020
11,14,2020-08-20 20:48:49+00:00,True,0,True,0,14,20,active,0,True,False,5,,,2020-08-20 20:50:05,2020
12,15,2020-08-20 20:30:01+00:00,True,0,True,0,15,13,active,0,True,False,2,,,2020-08-20 20:50:05,2020
