,legacy_id,station_id,num_bikes_disabled,is_installed,station_status,eightd_has_available_keys,is_returning,num_bikes_available,num_ebikes_available,is_renting,last_reported,num_docks_available,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
143,167,167,0,True,active,False,True,4,0,True,2020-08-10 22:33:50+00:00,11,0,,,2020-08-10 22:48:25,2020
144,169,169,0,True,active,False,True,17,0,True,2020-08-10 22:38:05+00:00,2,0,,,2020-08-10 22:48:25,2020
145,170,170,0,True,active,True,True,4,0,True,2020-08-10 22:33:08+00:00,10,0,,,2020-08-10 22:48:25,2020
146,171,171,0,True,active,True,True,4,0,True,2020-08-10 22:47:40+00:00,19,0,,,2020-08-10 22:48:25,2020
147,173,173,0,True,active,True,True,7,0,True,2020-08-10 21:59:11+00:00,7,0,,,2020-08-10 22:48:25,2020
148,174,174,0,True,active,False,True,0,0,True,2020-08-10 21:45:52+00:00,15,0,,,2020-08-10 22:48:25,2020
149,175,175,0,True,active,True,True,1,0,True,2020-08-10 22:47:49+00:00,16,0,,,2020-08-10 22:48:25,2020
150,176,176,0,True,active,False,True,14,0,True,2020-08-10 22:26:49+00:00,1,0,,,2020-08-10 22:48:25,2020
151,177,177,0,True,active,False,True,1,0,True,2020-08-10 22:44:59+00:00,18,0,,,2020-08-10 22:48:25,2020
152,178,178,0,True,active,False,True,10,0,True,2020-08-10 22:36:40+00:00,9,0,,,2020-08-10 22:48:25,2020
153,179,179,0,True,active,False,True,7,0,True,2020-08-10 22:46:06+00:00,18,0,,,2020-08-10 22:48:25,2020
154,180,180,0,True,active,False,True,14,0,True,2020-08-10 22:39:37+00:00,5,0,,,2020-08-10 22:48:25,2020
155,181,181,0,True,active,False,True,8,0,True,2020-08-10 22:30:49+00:00,11,0,,,2020-08-10 22:48:25,2020
156,182,182,0,True,active,True,True,5,0,True,2020-08-10 22:41:20+00:00,14,0,,,2020-08-10 22:48:25,2020
157,183,183,0,True,active,False,True,0,0,True,2020-08-10 22:36:54+00:00,19,0,,,2020-08-10 22:48:25,2020
158,184,184,1,True,active,False,True,1,0,True,2020-08-10 22:38:57+00:00,17,0,,,2020-08-10 22:48:25,2020
159,185,185,1,True,active,False,True,3,0,True,2020-08-10 22:40:12+00:00,11,0,,,2020-08-10 22:48:25,2020
160,186,186,2,True,active,True,True,10,0,True,2020-08-10 22:45:11+00:00,3,0,,,2020-08-10 22:48:25,2020
161,187,187,0,True,active,False,True,10,0,True,2020-08-10 22:42:01+00:00,5,0,,,2020-08-10 22:48:25,2020
162,188,188,0,True,active,False,True,5,0,True,2020-08-10 22:43:08+00:00,10,0,,,2020-08-10 22:48:25,2020
163,189,189,0,True,active,True,True,13,0,True,2020-08-10 22:47:03+00:00,10,0,,,2020-08-10 22:48:25,2020
164,190,190,1,True,active,True,True,16,0,True,2020-08-10 22:41:44+00:00,20,0,,,2020-08-10 22:48:25,2020
165,191,191,0,True,active,False,True,3,0,True,2020-08-10 22:41:48+00:00,12,0,,,2020-08-10 22:48:25,2020
166,192,192,0,True,active,False,True,1,0,True,2020-08-10 22:34:00+00:00,18,0,,,2020-08-10 22:48:25,2020
167,193,193,0,True,active,True,True,6,0,True,2020-08-10 22:43:14+00:00,9,0,,,2020-08-10 22:48:25,2020
168,194,194,0,True,active,False,True,2,0,True,2020-08-10 21:18:17+00:00,17,0,,,2020-08-10 22:48:25,2020
169,195,195,0,True,active,False,True,5,0,True,2020-08-10 22:35:43+00:00,18,0,,,2020-08-10 22:48:25,2020
170,196,196,0,True,active,True,True,2,0,True,2020-08-10 20:49:32+00:00,8,0,,,2020-08-10 22:48:25,2020
171,197,197,0,True,active,False,True,1,0,True,2020-08-10 21:50:27+00:00,14,0,,,2020-08-10 22:48:25,2020
172,199,199,0,True,active,False,True,1,0,True,2020-08-10 20:37:22+00:00,14,0,,,2020-08-10 22:48:25,2020
173,200,200,2,True,active,False,True,11,0,True,2020-08-10 22:16:28+00:00,6,0,,,2020-08-10 22:48:25,2020
174,201,201,0,True,active,False,True,2,0,True,2020-08-10 18:33:21+00:00,13,0,,,2020-08-10 22:48:25,2020
175,202,202,0,True,active,False,True,5,0,True,2020-08-10 14:34:46+00:00,10,0,,,2020-08-10 22:48:25,2020
176,203,203,1,True,active,False,True,2,0,True,2020-08-10 08:40:54+00:00,12,0,,,2020-08-10 22:48:25,2020
177,204,204,0,True,active,False,True,2,0,True,2020-08-10 20:22:41+00:00,13,0,,,2020-08-10 22:48:25,2020
178,205,205,0,True,active,False,True,2,0,True,2020-08-10 21:33:12+00:00,13,0,,,2020-08-10 22:48:25,2020
179,206,206,0,True,active,True,True,6,0,True,2020-08-10 22:27:32+00:00,17,0,,,2020-08-10 22:48:25,2020
180,208,208,0,True,active,True,True,3,0,True,2020-08-10 22:39:09+00:00,12,0,,,2020-08-10 22:48:25,2020
181,209,209,0,True,active,False,True,8,0,True,2020-08-10 22:38:44+00:00,7,0,,,2020-08-10 22:48:25,2020
182,210,210,0,True,active,False,True,3,0,True,2020-08-10 22:12:16+00:00,12,0,,,2020-08-10 22:48:25,2020
183,211,211,0,True,active,False,True,9,0,True,2020-08-10 22:31:13+00:00,10,0,,,2020-08-10 22:48:25,2020
