,num_bikes_available,num_docks_available,station_id,num_docks_disabled,is_installed,eightd_has_available_keys,legacy_id,last_reported,num_ebikes_available,is_returning,is_renting,num_bikes_disabled,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
48,9,8,56,0,True,False,56,2020-08-18 19:37:40+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
49,3,11,57,0,True,True,57,2020-08-18 20:03:08+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
50,5,12,58,0,True,True,58,2020-08-18 20:03:09+00:00,0,True,True,2,active,,,2020-08-18 20:05:40,2020
51,3,16,59,0,True,True,59,2020-08-18 19:46:59+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
52,12,7,60,0,True,False,60,2020-08-18 20:00:12+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
53,1,18,61,0,True,False,61,2020-08-18 20:02:08+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
54,13,2,63,0,True,False,63,2020-08-18 17:10:01+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
55,14,5,64,0,True,False,64,2020-08-18 19:36:57+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
56,5,18,65,0,True,False,65,2020-08-18 19:46:25+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
57,1,13,66,0,True,False,66,2020-08-18 20:01:26+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
58,21,6,67,0,True,True,67,2020-08-18 20:05:34+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
59,13,6,68,0,True,True,68,2020-08-18 20:02:46+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
60,16,3,69,0,True,True,69,2020-08-18 19:53:27+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
61,20,3,70,0,True,False,70,2020-08-18 20:02:00+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
62,6,17,71,0,True,False,71,2020-08-18 19:29:38+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
63,23,0,72,0,True,False,72,2020-08-18 19:56:25+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
64,8,5,73,0,True,False,73,2020-08-18 19:43:01+00:00,0,True,True,2,active,,,2020-08-18 20:05:40,2020
65,12,6,74,0,True,True,74,2020-08-18 19:54:54+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
66,7,7,75,0,True,False,75,2020-08-18 19:59:54+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
67,5,12,76,0,True,False,76,2020-08-18 19:39:00+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
68,4,11,77,0,True,False,77,2020-08-18 19:15:18+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
69,11,7,78,0,True,False,78,2020-08-18 20:04:11+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
70,7,12,79,0,True,False,79,2020-08-18 19:49:49+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
71,31,4,80,0,True,False,80,2020-08-18 20:05:22+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
72,15,4,81,0,True,False,81,2020-08-18 19:36:53+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
73,2,12,82,0,True,False,82,2020-08-18 19:30:25+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
74,10,5,84,0,True,False,84,2020-08-18 19:42:43+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
75,11,8,85,0,True,False,85,2020-08-18 19:45:07+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
76,0,19,86,0,True,False,86,2020-08-18 19:12:51+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
77,7,8,87,0,True,False,87,2020-08-18 19:42:44+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
78,8,11,89,0,True,False,89,2020-08-18 19:41:05+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
79,5,14,90,0,True,False,90,2020-08-18 20:03:46+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
80,12,6,91,0,True,False,91,2020-08-18 20:04:34+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
81,16,2,92,0,True,False,92,2020-08-18 16:50:17+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
82,12,1,93,0,True,False,93,2020-08-18 20:02:52+00:00,0,True,True,2,active,,,2020-08-18 20:05:40,2020
83,4,7,94,0,True,False,94,2020-08-18 19:52:22+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
84,9,4,95,0,True,False,95,2020-08-18 20:00:10+00:00,0,True,True,2,active,,,2020-08-18 20:05:40,2020
85,12,7,96,0,True,False,96,2020-08-18 19:46:11+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
86,0,18,97,0,True,False,97,2020-08-18 19:08:17+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
87,10,13,98,0,True,False,98,2020-08-18 19:54:44+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
88,12,2,99,0,True,False,99,2020-08-18 20:04:14+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
89,11,14,100,0,True,True,100,2020-08-18 19:59:37+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
90,6,9,101,0,True,False,101,2020-08-18 19:26:55+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
91,3,12,102,0,True,False,102,2020-08-18 17:54:44+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
92,6,9,103,0,True,False,103,2020-08-18 19:56:31+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
93,2,17,104,0,True,False,104,2020-08-18 19:52:08+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
94,6,13,105,0,True,False,105,2020-08-18 19:56:58+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
95,6,9,106,0,True,False,106,2020-08-18 19:57:40+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
96,17,0,107,0,True,False,107,2020-08-18 20:04:47+00:00,0,True,True,2,active,,,2020-08-18 20:05:40,2020
97,9,8,108,0,True,False,108,2020-08-18 20:01:40+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
98,5,29,109,0,True,False,109,2020-08-18 19:32:03+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
99,6,9,110,0,True,False,110,2020-08-18 19:53:16+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
100,2,13,111,0,True,False,111,2020-08-18 18:57:14+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
