,station_id,num_bikes_disabled,is_returning,station_status,legacy_id,is_renting,num_bikes_available,eightd_has_available_keys,last_reported,num_docks_available,num_docks_disabled,is_installed,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
48,56,0,True,active,56,True,11,True,2020-07-30 14:21:15+00:00,7,0,True,0,,,2020-07-30 15:23:10,2020
49,57,0,True,active,57,True,3,True,2020-07-30 15:13:23+00:00,11,0,True,0,,,2020-07-30 15:23:10,2020
50,58,0,True,active,58,True,9,True,2020-07-30 15:22:52+00:00,10,0,True,0,,,2020-07-30 15:23:10,2020
51,59,0,True,active,59,True,9,True,2020-07-30 15:06:45+00:00,10,0,True,0,,,2020-07-30 15:23:10,2020
52,60,0,True,active,60,True,8,False,2020-07-30 15:19:55+00:00,11,0,True,0,"{'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'dock_blocked_count': 0, 'valet_revision': 63, 'region': 'BOS', 'off_dock_count': 40, 'off_dock_capacity': 40}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-07-30 15:23:10,2020
53,61,0,True,active,61,True,8,False,2020-07-30 15:07:04+00:00,11,0,True,0,,,2020-07-30 15:23:10,2020
54,63,0,True,active,63,True,14,False,2020-07-30 12:36:54+00:00,1,0,True,0,,,2020-07-30 15:23:10,2020
55,64,2,True,active,64,True,8,False,2020-07-30 15:17:41+00:00,9,0,True,0,,,2020-07-30 15:23:10,2020
56,65,0,True,active,65,True,10,False,2020-07-30 12:59:16+00:00,13,0,True,0,,,2020-07-30 15:23:10,2020
57,66,0,True,active,66,True,0,False,2020-07-30 14:35:43+00:00,15,0,True,0,,,2020-07-30 15:23:10,2020
58,67,0,True,active,67,True,14,True,2020-07-30 15:10:20+00:00,13,0,True,0,,,2020-07-30 15:23:10,2020
59,68,2,True,active,68,True,6,True,2020-07-30 15:22:20+00:00,11,0,True,0,,,2020-07-30 15:23:10,2020
60,69,0,True,active,69,True,5,True,2020-07-30 15:03:22+00:00,14,0,True,0,,,2020-07-30 15:23:10,2020
61,70,0,True,active,70,True,2,False,2020-07-30 15:16:20+00:00,21,0,True,0,,,2020-07-30 15:23:10,2020
62,71,0,True,active,71,True,19,False,2020-07-30 15:10:41+00:00,4,0,True,0,,,2020-07-30 15:23:10,2020
63,72,0,True,active,72,True,6,False,2020-07-30 15:12:56+00:00,17,0,True,0,,,2020-07-30 15:23:10,2020
64,73,1,True,active,73,True,12,False,2020-07-30 15:21:19+00:00,2,0,True,0,,,2020-07-30 15:23:10,2020
65,74,1,True,active,74,True,12,True,2020-07-30 15:16:01+00:00,6,0,True,0,,,2020-07-30 15:23:10,2020
66,75,0,True,active,75,True,8,False,2020-07-30 15:10:53+00:00,7,0,True,0,,,2020-07-30 15:23:10,2020
67,76,0,True,active,76,True,0,False,2020-07-30 15:15:47+00:00,17,0,True,0,,,2020-07-30 15:23:10,2020
68,77,1,True,active,77,True,5,False,2020-07-30 14:29:11+00:00,9,0,True,0,,,2020-07-30 15:23:10,2020
69,78,0,True,active,78,True,17,False,2020-07-30 15:22:08+00:00,2,0,True,0,,,2020-07-30 15:23:10,2020
70,79,0,True,active,79,True,1,False,2020-07-30 15:15:48+00:00,18,0,True,0,,,2020-07-30 15:23:10,2020
71,80,1,True,active,80,True,34,False,2020-07-30 15:22:43+00:00,0,0,True,0,,,2020-07-30 15:23:10,2020
72,81,0,True,active,81,True,8,False,2020-07-30 15:06:09+00:00,11,0,True,0,,,2020-07-30 15:23:10,2020
73,82,0,False,active,82,False,5,False,2020-07-30 13:49:33+00:00,10,0,True,0,,,2020-07-30 15:23:10,2020
74,84,0,True,active,84,True,10,False,2020-07-30 15:21:51+00:00,5,0,True,0,,,2020-07-30 15:23:10,2020
75,85,0,True,active,85,True,18,False,2020-07-30 14:29:43+00:00,1,0,True,0,,,2020-07-30 15:23:10,2020
76,86,0,True,active,86,True,8,False,2020-07-30 15:06:26+00:00,11,0,True,0,,,2020-07-30 15:23:10,2020
77,87,1,True,active,87,True,6,False,2020-07-30 15:21:16+00:00,8,0,True,0,,,2020-07-30 15:23:10,2020
78,89,0,True,active,89,True,15,False,2020-07-30 15:07:40+00:00,4,0,True,0,,,2020-07-30 15:23:10,2020
79,90,0,True,active,90,True,9,False,2020-07-30 15:16:47+00:00,10,0,True,0,,,2020-07-30 15:23:10,2020
80,91,3,True,active,91,True,10,False,2020-07-30 15:08:25+00:00,6,0,True,0,,,2020-07-30 15:23:10,2020
81,92,1,True,active,92,True,11,False,2020-07-30 12:41:43+00:00,7,0,True,0,,,2020-07-30 15:23:10,2020
82,93,3,True,active,93,True,4,False,2020-07-30 12:38:38+00:00,8,0,True,0,,,2020-07-30 15:23:10,2020
83,94,0,True,active,94,True,4,False,2020-07-30 14:20:38+00:00,7,0,True,0,,,2020-07-30 15:23:10,2020
84,95,1,True,active,95,True,12,False,2020-07-30 14:49:46+00:00,2,0,True,0,,,2020-07-30 15:23:10,2020
85,96,0,True,active,96,True,3,False,2020-07-30 14:47:50+00:00,16,0,True,0,,,2020-07-30 15:23:10,2020
86,97,1,True,active,97,True,3,False,2020-07-30 15:17:21+00:00,15,0,True,0,,,2020-07-30 15:23:10,2020
87,98,0,True,active,98,True,0,False,2020-07-30 14:48:56+00:00,22,0,True,0,,,2020-07-30 15:23:10,2020
88,99,0,True,active,99,True,8,False,2020-07-30 15:14:02+00:00,7,0,True,0,,,2020-07-30 15:23:10,2020
89,100,2,True,active,100,True,12,True,2020-07-30 15:18:20+00:00,11,0,True,0,,,2020-07-30 15:23:10,2020
90,101,0,True,active,101,True,0,False,2020-07-30 13:25:45+00:00,15,0,True,0,,,2020-07-30 15:23:10,2020
91,102,0,True,active,102,True,9,False,2020-07-30 15:14:28+00:00,6,0,True,0,,,2020-07-30 15:23:10,2020
92,103,1,True,active,103,True,0,False,2020-07-30 14:35:51+00:00,14,0,True,0,,,2020-07-30 15:23:10,2020
93,104,1,True,active,104,True,12,False,2020-07-30 14:08:55+00:00,6,0,True,0,,,2020-07-30 15:23:10,2020
94,105,0,True,active,105,True,7,False,2020-07-30 15:18:36+00:00,12,0,True,0,,,2020-07-30 15:23:10,2020
95,106,0,True,active,106,True,7,False,2020-07-30 12:55:09+00:00,8,0,True,0,,,2020-07-30 15:23:10,2020
96,107,0,True,active,107,True,12,False,2020-07-30 15:13:20+00:00,7,0,True,0,,,2020-07-30 15:23:10,2020
97,108,0,True,active,108,True,13,False,2020-07-30 15:18:55+00:00,4,0,True,0,,,2020-07-30 15:23:10,2020
98,109,2,True,active,109,True,26,False,2020-07-30 14:43:54+00:00,7,0,True,0,,,2020-07-30 15:23:10,2020
99,110,0,True,active,110,True,10,False,2020-07-30 15:11:50+00:00,5,0,True,0,,,2020-07-30 15:23:10,2020
100,111,0,True,active,111,True,3,False,2020-07-30 14:21:30+00:00,12,0,True,0,,,2020-07-30 15:23:10,2020
101,112,0,True,active,112,True,8,False,2020-07-30 13:35:05+00:00,7,0,True,0,,,2020-07-30 15:23:10,2020
102,113,0,True,active,113,True,13,False,2020-07-30 15:12:39+00:00,2,0,True,0,,,2020-07-30 15:23:10,2020
103,114,0,True,active,114,True,2,False,2020-07-30 13:27:43+00:00,13,0,True,0,,,2020-07-30 15:23:10,2020
104,115,0,True,active,115,True,9,False,2020-07-30 13:40:21+00:00,10,0,True,0,,,2020-07-30 15:23:10,2020
105,116,0,True,active,116,True,6,False,2020-07-30 15:22:47+00:00,17,0,True,0,,,2020-07-30 15:23:10,2020
106,117,0,True,active,117,True,19,False,2020-07-30 13:25:46+00:00,0,0,True,0,,,2020-07-30 15:23:10,2020
107,118,0,True,active,118,True,5,False,2020-07-30 12:33:13+00:00,14,0,True,0,,,2020-07-30 15:23:10,2020
108,119,0,True,active,119,True,8,False,2020-07-30 15:21:43+00:00,7,0,True,0,,,2020-07-30 15:23:10,2020
109,120,1,True,active,120,True,4,False,2020-07-30 15:08:42+00:00,10,0,True,0,,,2020-07-30 15:23:10,2020
110,121,2,True,active,121,True,1,False,2020-07-30 14:03:16+00:00,14,0,True,0,,,2020-07-30 15:23:10,2020
111,122,0,True,active,122,True,2,False,2020-07-30 15:15:53+00:00,13,0,True,0,,,2020-07-30 15:23:10,2020
112,124,0,True,active,124,True,5,False,2020-07-30 01:11:26+00:00,10,0,True,0,,,2020-07-30 15:23:10,2020
113,125,0,True,active,125,True,1,False,2020-07-30 15:17:35+00:00,14,0,True,0,,,2020-07-30 15:23:10,2020
114,126,0,True,active,126,True,1,False,2020-07-30 13:51:56+00:00,14,0,True,0,,,2020-07-30 15:23:10,2020
115,128,1,True,active,128,True,15,False,2020-07-30 14:38:39+00:00,3,0,True,0,,,2020-07-30 15:23:10,2020
116,129,0,True,active,129,True,6,False,2020-07-30 13:51:41+00:00,13,0,True,0,,,2020-07-30 15:23:10,2020
117,130,0,True,active,130,True,10,False,2020-07-30 08:51:09+00:00,5,0,True,0,,,2020-07-30 15:23:10,2020
118,131,2,True,active,131,True,10,False,2020-07-30 14:50:39+00:00,6,0,True,0,,,2020-07-30 15:23:10,2020
119,133,0,True,active,133,True,12,False,2020-07-30 14:55:33+00:00,11,0,True,0,,,2020-07-30 15:23:10,2020
120,135,1,True,active,135,True,9,False,2020-07-30 12:52:56+00:00,7,0,True,0,,,2020-07-30 15:23:10,2020
121,136,0,True,active,136,True,16,False,2020-07-30 14:48:30+00:00,3,0,True,0,,,2020-07-30 15:23:10,2020
122,137,0,True,active,137,True,10,False,2020-07-30 14:55:58+00:00,5,0,True,0,,,2020-07-30 15:23:10,2020
123,138,0,True,active,138,True,11,False,2020-07-30 14:09:30+00:00,4,0,True,0,,,2020-07-30 15:23:10,2020
124,139,0,True,active,139,True,2,False,2020-07-30 14:58:53+00:00,17,0,True,0,,,2020-07-30 15:23:10,2020
125,140,0,True,active,140,True,8,False,2020-07-30 11:41:40+00:00,9,0,True,0,,,2020-07-30 15:23:10,2020
126,141,0,True,active,141,True,9,False,2020-07-30 15:18:20+00:00,6,0,True,0,,,2020-07-30 15:23:10,2020
127,142,1,True,active,142,True,16,False,2020-07-30 12:21:38+00:00,6,0,True,0,,,2020-07-30 15:23:10,2020
128,143,0,True,active,143,True,7,False,2020-07-30 15:14:04+00:00,16,0,True,0,,,2020-07-30 15:23:10,2020
129,144,0,True,active,144,True,5,False,2020-07-30 14:57:00+00:00,14,0,True,0,,,2020-07-30 15:23:10,2020
130,145,0,True,active,145,True,7,False,2020-07-30 14:39:35+00:00,12,0,True,0,,,2020-07-30 15:23:10,2020
131,146,1,True,active,146,True,11,False,2020-07-30 13:44:56+00:00,7,0,True,0,,,2020-07-30 15:23:10,2020
132,149,0,True,active,149,True,9,True,2020-07-30 15:05:07+00:00,9,0,True,0,,,2020-07-30 15:23:10,2020
133,150,0,True,active,150,True,11,False,2020-07-30 15:06:22+00:00,8,0,True,0,,,2020-07-30 15:23:10,2020
134,151,1,True,active,151,True,12,False,2020-07-30 15:17:34+00:00,6,0,True,0,,,2020-07-30 15:23:10,2020
135,152,0,True,active,152,True,12,True,2020-07-30 15:06:11+00:00,3,0,True,0,,,2020-07-30 15:23:10,2020
136,156,0,True,active,156,True,1,False,2020-07-30 15:17:50+00:00,14,0,True,0,,,2020-07-30 15:23:10,2020
137,157,1,True,active,157,True,5,False,2020-07-30 15:23:03+00:00,9,0,True,0,,,2020-07-30 15:23:10,2020
138,159,1,True,active,159,True,4,False,2020-07-30 15:20:24+00:00,10,0,True,0,,,2020-07-30 15:23:10,2020
139,160,0,True,active,160,True,1,True,2020-07-30 15:11:39+00:00,13,0,True,0,,,2020-07-30 15:23:10,2020
140,161,0,True,active,161,True,1,True,2020-07-30 14:59:37+00:00,22,0,True,0,,,2020-07-30 15:23:10,2020
141,162,0,True,active,162,True,1,False,2020-07-30 08:36:26+00:00,14,0,True,0,,,2020-07-30 15:23:10,2020
142,163,0,True,active,163,True,6,True,2020-07-30 14:30:45+00:00,13,0,True,0,,,2020-07-30 15:23:10,2020
143,167,1,True,active,167,True,8,False,2020-07-30 14:46:51+00:00,6,0,True,0,,,2020-07-30 15:23:10,2020
144,169,0,True,active,169,True,10,False,2020-07-30 15:01:02+00:00,9,0,True,0,,,2020-07-30 15:23:10,2020
145,170,0,True,active,170,True,1,True,2020-07-30 12:59:08+00:00,13,0,True,0,,,2020-07-30 15:23:10,2020
146,171,0,True,active,171,True,2,True,2020-07-30 14:19:24+00:00,21,0,True,0,,,2020-07-30 15:23:10,2020
147,173,2,True,active,173,True,4,True,2020-07-30 14:31:23+00:00,8,0,True,0,,,2020-07-30 15:23:10,2020
148,174,0,True,active,174,True,11,False,2020-07-30 14:37:23+00:00,4,0,True,0,,,2020-07-30 15:23:10,2020
149,175,0,True,active,175,True,0,True,2020-07-30 14:56:31+00:00,17,0,True,0,,,2020-07-30 15:23:10,2020
150,176,0,True,active,176,True,10,False,2020-07-30 14:42:11+00:00,5,0,True,0,,,2020-07-30 15:23:10,2020
151,177,1,True,active,177,True,11,False,2020-07-30 15:18:53+00:00,7,0,True,0,,,2020-07-30 15:23:10,2020
152,178,1,True,active,178,True,5,False,2020-07-30 15:17:24+00:00,13,0,True,0,,,2020-07-30 15:23:10,2020
153,179,0,True,active,179,True,19,False,2020-07-30 14:55:10+00:00,6,0,True,0,,,2020-07-30 15:23:10,2020
154,180,0,True,active,180,True,6,False,2020-07-30 15:19:06+00:00,13,0,True,0,,,2020-07-30 15:23:10,2020
155,181,1,True,active,181,True,3,False,2020-07-30 15:09:26+00:00,15,0,True,0,,,2020-07-30 15:23:10,2020
156,182,1,True,active,182,True,10,True,2020-07-30 14:52:35+00:00,8,0,True,0,,,2020-07-30 15:23:10,2020
157,183,0,True,active,183,True,11,False,2020-07-30 13:17:45+00:00,8,0,True,0,,,2020-07-30 15:23:10,2020
158,184,0,True,active,184,True,17,False,2020-07-30 15:22:43+00:00,2,0,True,0,,,2020-07-30 15:23:10,2020
159,185,1,True,active,185,True,4,False,2020-07-30 15:21:25+00:00,10,0,True,0,,,2020-07-30 15:23:10,2020
160,186,1,True,active,186,True,4,True,2020-07-30 14:14:33+00:00,10,0,True,0,,,2020-07-30 15:23:10,2020
161,187,0,True,active,187,True,10,False,2020-07-30 14:56:13+00:00,5,0,True,0,,,2020-07-30 15:23:10,2020
162,188,0,True,active,188,True,11,False,2020-07-30 13:37:01+00:00,4,0,True,0,,,2020-07-30 15:23:10,2020
163,189,0,True,active,189,True,19,True,2020-07-30 15:22:19+00:00,4,0,True,0,,,2020-07-30 15:23:10,2020
164,190,1,True,active,190,True,15,False,2020-07-30 15:22:53+00:00,21,0,True,0,,,2020-07-30 15:23:10,2020
165,191,0,True,active,191,True,1,False,2020-07-30 15:14:30+00:00,14,0,True,0,,,2020-07-30 15:23:10,2020
166,192,0,True,active,192,True,18,False,2020-07-30 15:19:10+00:00,1,0,True,0,,,2020-07-30 15:23:10,2020
167,193,0,True,active,193,True,12,True,2020-07-30 14:08:13+00:00,3,0,True,0,,,2020-07-30 15:23:10,2020
168,194,0,True,active,194,True,12,False,2020-07-30 15:11:43+00:00,7,0,True,0,,,2020-07-30 15:23:10,2020
