,station_id,is_renting,num_ebikes_available,num_bikes_disabled,eightd_has_available_keys,last_reported,num_docks_disabled,is_returning,legacy_id,is_installed,num_bikes_available,num_docks_available,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,3,True,0,0,True,2020-08-01 17:13:38+00:00,0,True,3,True,7,8,active,,,2020-08-01 17:24:50,2020
1,4,True,0,0,False,2020-08-01 17:24:11+00:00,0,True,4,True,3,16,active,,,2020-08-01 17:24:50,2020
2,5,True,0,0,False,2020-08-01 17:17:25+00:00,0,True,5,True,4,11,active,,,2020-08-01 17:24:50,2020
3,6,True,0,0,False,2020-08-01 17:01:28+00:00,0,True,6,True,0,15,active,,,2020-08-01 17:24:50,2020
4,7,True,0,1,False,2020-08-01 17:21:14+00:00,0,True,7,True,9,5,active,,,2020-08-01 17:24:50,2020
5,8,True,0,2,False,2020-08-01 17:23:31+00:00,0,True,8,True,4,13,active,,,2020-08-01 17:24:50,2020
6,9,True,0,0,False,2020-08-01 17:00:38+00:00,0,True,9,True,9,6,active,,,2020-08-01 17:24:50,2020
7,10,True,0,1,False,2020-08-01 17:23:10+00:00,0,True,10,True,7,3,active,,,2020-08-01 17:24:50,2020
8,11,True,0,2,False,2020-08-01 17:18:59+00:00,0,True,11,True,11,2,active,,,2020-08-01 17:24:50,2020
9,12,True,0,2,True,2020-08-01 17:21:26+00:00,0,True,12,True,3,13,active,,,2020-08-01 17:24:50,2020
10,13,True,0,0,False,2020-08-01 17:08:18+00:00,0,True,13,True,15,4,active,,,2020-08-01 17:24:50,2020
11,14,True,0,0,False,2020-08-01 17:23:44+00:00,0,True,14,True,17,8,active,,,2020-08-01 17:24:50,2020
12,15,True,0,1,False,2020-08-01 16:52:52+00:00,0,True,15,True,7,7,active,,,2020-08-01 17:24:50,2020
13,16,True,0,2,True,2020-08-01 17:18:57+00:00,0,True,16,True,16,1,active,,,2020-08-01 17:24:50,2020
14,17,True,0,0,False,2020-08-01 17:21:09+00:00,0,True,17,True,5,10,active,,,2020-08-01 17:24:50,2020
15,19,True,0,0,False,2020-08-01 17:08:34+00:00,0,True,19,True,4,11,active,,,2020-08-01 17:24:50,2020
16,20,True,0,0,True,2020-08-01 17:11:47+00:00,0,True,20,True,7,16,active,,,2020-08-01 17:24:50,2020
17,21,True,0,0,True,2020-08-01 17:24:25+00:00,0,True,21,True,7,11,active,,,2020-08-01 17:24:50,2020
18,22,True,0,2,True,2020-08-01 17:15:18+00:00,0,True,22,True,5,40,active,,,2020-08-01 17:24:50,2020
19,23,True,0,0,True,2020-08-01 17:21:38+00:00,0,True,23,True,9,12,active,,,2020-08-01 17:24:50,2020
20,24,True,0,0,False,2020-08-01 17:02:20+00:00,0,True,24,True,4,15,active,,,2020-08-01 17:24:50,2020
21,25,True,0,1,False,2020-08-01 17:20:43+00:00,0,True,25,True,4,10,active,,,2020-08-01 17:24:50,2020
22,26,True,0,0,False,2020-08-01 16:56:37+00:00,0,True,26,True,1,14,active,,,2020-08-01 17:24:50,2020
23,27,True,0,2,False,2020-08-01 17:05:08+00:00,0,True,27,True,7,14,active,,,2020-08-01 17:24:50,2020
24,29,True,0,0,False,2020-08-01 16:32:48+00:00,0,True,29,True,8,7,active,,,2020-08-01 17:24:50,2020
25,30,True,0,1,False,2020-08-01 17:21:37+00:00,0,True,30,True,0,14,active,,,2020-08-01 17:24:50,2020
26,31,True,0,0,True,2020-08-01 14:30:58+00:00,0,True,31,True,5,14,active,,,2020-08-01 17:24:50,2020
27,32,True,0,3,False,2020-08-01 17:23:26+00:00,0,True,32,True,4,8,active,,,2020-08-01 17:24:50,2020
28,33,True,0,1,False,2020-08-01 16:45:51+00:00,0,True,33,True,11,15,active,,,2020-08-01 17:24:50,2020
29,35,True,0,1,False,2020-08-01 17:24:30+00:00,0,True,35,True,6,16,active,,,2020-08-01 17:24:50,2020
30,36,True,0,0,True,2020-08-01 17:19:54+00:00,0,True,36,True,8,25,active,,,2020-08-01 17:24:50,2020
31,37,True,0,0,True,2020-08-01 17:20:30+00:00,0,True,37,True,8,7,active,,,2020-08-01 17:24:50,2020
32,39,True,0,0,False,2020-08-01 17:06:04+00:00,0,True,39,True,1,22,active,,,2020-08-01 17:24:50,2020
33,40,True,0,0,False,2020-08-01 17:17:10+00:00,0,True,40,True,3,16,active,,,2020-08-01 17:24:50,2020
34,41,True,0,1,True,2020-08-01 17:24:44+00:00,0,True,41,True,20,6,active,,,2020-08-01 17:24:50,2020
35,42,True,0,0,False,2020-08-01 17:21:57+00:00,0,True,42,True,17,6,active,,,2020-08-01 17:24:50,2020
36,43,True,0,4,True,2020-08-01 16:51:35+00:00,0,True,43,True,6,5,active,,,2020-08-01 17:24:50,2020
37,44,True,0,0,False,2020-08-01 17:23:58+00:00,0,True,44,True,2,21,active,,,2020-08-01 17:24:50,2020
38,46,True,0,1,False,2020-08-01 17:23:35+00:00,0,True,46,True,0,18,active,,,2020-08-01 17:24:50,2020
39,47,True,0,0,True,2020-08-01 17:23:34+00:00,0,True,47,True,7,12,active,,,2020-08-01 17:24:50,2020
40,48,True,0,0,False,2020-08-01 16:45:07+00:00,0,True,48,True,6,13,active,,,2020-08-01 17:24:50,2020
41,49,True,0,0,False,2020-08-01 15:56:41+00:00,0,True,49,True,0,18,active,,,2020-08-01 17:24:50,2020
42,50,True,0,0,True,2020-08-01 16:51:24+00:00,0,True,50,True,6,9,active,,,2020-08-01 17:24:50,2020
43,51,True,0,2,False,2020-08-01 16:58:05+00:00,0,True,51,True,7,6,active,,,2020-08-01 17:24:50,2020
44,52,True,0,1,True,2020-08-01 17:17:03+00:00,0,True,52,True,9,13,active,,,2020-08-01 17:24:50,2020
45,53,True,0,1,False,2020-08-01 17:21:17+00:00,0,True,53,True,0,18,active,,,2020-08-01 17:24:50,2020
46,54,True,0,0,False,2020-08-01 17:24:39+00:00,0,True,54,True,2,13,active,,,2020-08-01 17:24:50,2020
47,55,True,0,0,False,2020-08-01 17:09:48+00:00,0,True,55,True,1,14,active,,,2020-08-01 17:24:50,2020
48,56,True,0,0,True,2020-08-01 17:18:21+00:00,0,True,56,True,10,8,active,,,2020-08-01 17:24:50,2020
