,legacy_id,eightd_has_available_keys,num_bikes_available,num_bikes_disabled,num_ebikes_available,is_returning,num_docks_disabled,is_installed,last_reported,station_id,is_renting,num_docks_available,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,3,False,2,0,0,True,0,True,2020-08-07 05:10:57+00:00,3,True,13,active,,,2020-08-07 05:43:45,2020
1,4,False,16,0,0,True,0,True,2020-08-07 03:09:53+00:00,4,True,3,active,,,2020-08-07 05:43:45,2020
2,5,False,9,1,0,True,0,True,2020-08-07 04:51:13+00:00,5,True,5,active,,,2020-08-07 05:43:45,2020
3,6,False,10,1,0,True,0,True,2020-08-07 04:15:46+00:00,6,True,4,active,,,2020-08-07 05:43:45,2020
4,7,False,3,0,0,True,0,True,2020-08-07 05:06:34+00:00,7,True,12,active,,,2020-08-07 05:43:45,2020
5,8,False,16,0,0,True,0,True,2020-08-07 05:11:46+00:00,8,True,3,active,,,2020-08-07 05:43:45,2020
6,9,False,12,1,0,True,0,True,2020-08-07 05:29:33+00:00,9,True,2,active,,,2020-08-07 05:43:45,2020
7,10,False,0,0,0,True,0,True,2020-08-07 04:27:36+00:00,10,True,11,active,,,2020-08-07 05:43:45,2020
8,11,False,0,1,0,True,0,True,2020-08-07 01:43:03+00:00,11,True,14,active,,,2020-08-07 05:43:45,2020
9,12,True,5,0,0,True,0,True,2020-08-07 04:06:09+00:00,12,True,13,active,,,2020-08-07 05:43:45,2020
10,13,False,0,0,0,True,0,True,2020-08-07 01:27:59+00:00,13,True,19,active,,,2020-08-07 05:43:45,2020
11,14,False,1,0,0,True,0,True,2020-08-07 05:02:26+00:00,14,True,24,active,,,2020-08-07 05:43:45,2020
12,15,False,12,0,0,True,0,True,2020-08-07 03:38:56+00:00,15,True,3,active,,,2020-08-07 05:43:45,2020
13,16,True,8,0,0,True,0,True,2020-08-07 04:54:58+00:00,16,True,11,active,,,2020-08-07 05:43:45,2020
14,17,False,4,1,0,True,0,True,2020-08-07 05:35:11+00:00,17,True,10,active,,,2020-08-07 05:43:45,2020
15,19,False,9,0,0,True,0,True,2020-08-07 04:47:22+00:00,19,True,6,active,,,2020-08-07 05:43:45,2020
16,20,True,2,0,0,True,0,True,2020-08-07 05:16:43+00:00,20,True,21,active,,,2020-08-07 05:43:45,2020
17,21,True,17,0,0,True,0,True,2020-08-07 05:04:37+00:00,21,True,1,active,,,2020-08-07 05:43:45,2020
18,22,True,12,1,0,True,0,True,2020-08-07 05:12:24+00:00,22,True,34,active,,,2020-08-07 05:43:45,2020
19,23,True,13,0,0,True,0,True,2020-08-07 03:39:03+00:00,23,True,8,active,,,2020-08-07 05:43:45,2020
20,24,False,0,2,0,True,0,True,2020-08-07 05:43:27+00:00,24,True,17,active,,,2020-08-07 05:43:45,2020
21,25,False,12,1,0,True,0,True,2020-08-07 02:44:00+00:00,25,True,2,active,,,2020-08-07 05:43:45,2020
22,26,False,11,1,0,True,0,True,2020-08-07 04:10:21+00:00,26,True,3,active,,,2020-08-07 05:43:45,2020
23,27,False,16,0,0,True,0,True,2020-08-07 04:51:11+00:00,27,True,7,active,,,2020-08-07 05:43:45,2020
24,29,False,7,1,0,True,0,True,2020-08-07 00:18:47+00:00,29,True,7,active,,,2020-08-07 05:43:45,2020
25,30,False,3,0,0,True,0,True,2020-08-07 05:18:09+00:00,30,True,12,active,,,2020-08-07 05:43:45,2020
26,31,True,18,0,0,True,0,True,2020-08-07 02:42:04+00:00,31,True,1,active,,,2020-08-07 05:43:45,2020
27,32,False,7,0,0,True,0,True,2020-08-07 05:31:11+00:00,32,True,8,active,,,2020-08-07 05:43:45,2020
28,33,False,18,0,0,True,0,True,2020-08-07 04:10:03+00:00,33,True,9,active,,,2020-08-07 05:43:45,2020
29,35,False,0,0,0,True,0,True,2020-08-07 04:00:41+00:00,35,True,23,active,,,2020-08-07 05:43:45,2020
30,36,True,25,1,0,True,0,True,2020-08-07 03:11:19+00:00,36,True,7,active,,,2020-08-07 05:43:45,2020
31,37,True,6,0,0,True,0,True,2020-08-07 03:10:16+00:00,37,True,9,active,,,2020-08-07 05:43:45,2020
32,39,False,8,0,0,True,0,True,2020-08-07 03:20:33+00:00,39,True,15,active,,,2020-08-07 05:43:45,2020
33,40,False,17,0,0,True,0,True,2020-08-07 04:58:54+00:00,40,True,2,active,,,2020-08-07 05:43:45,2020
34,41,True,27,0,0,True,0,True,2020-08-07 05:32:26+00:00,41,True,0,active,,,2020-08-07 05:43:45,2020
