,legacy_id,num_bikes_available,num_docks_available,last_reported,num_ebikes_available,num_docks_disabled,is_returning,num_bikes_disabled,station_status,is_renting,station_id,is_installed,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
52,60,14,5,2020-08-22 03:55:18+00:00,0,0,True,0,active,True,60,True,False,2020-08-22 03:56:25,2020
53,61,12,7,2020-08-22 03:53:20+00:00,0,0,True,0,active,True,61,True,False,2020-08-22 03:56:25,2020
54,63,5,10,2020-08-22 03:06:07+00:00,0,0,True,0,active,True,63,True,False,2020-08-22 03:56:25,2020
55,64,6,13,2020-08-22 02:12:05+00:00,0,0,True,0,active,True,64,True,False,2020-08-22 03:56:25,2020
56,65,9,14,2020-08-22 01:30:45+00:00,0,0,True,0,active,True,65,True,False,2020-08-22 03:56:25,2020
57,66,14,1,2020-08-22 03:41:08+00:00,0,0,True,0,active,True,66,True,False,2020-08-22 03:56:25,2020
58,67,4,22,2020-08-22 03:25:57+00:00,0,0,True,1,active,True,67,True,True,2020-08-22 03:56:25,2020
59,68,14,2,2020-08-22 03:39:15+00:00,0,0,True,3,active,True,68,True,True,2020-08-22 03:56:25,2020
60,69,6,13,2020-08-22 03:48:20+00:00,0,0,True,0,active,True,69,True,True,2020-08-22 03:56:25,2020
61,70,22,1,2020-08-22 00:41:39+00:00,0,0,True,0,active,True,70,True,False,2020-08-22 03:56:25,2020
62,71,12,11,2020-08-22 03:03:52+00:00,0,0,True,0,active,True,71,True,False,2020-08-22 03:56:25,2020
63,72,8,15,2020-08-22 00:31:07+00:00,0,0,True,0,active,True,72,True,False,2020-08-22 03:56:25,2020
64,73,13,2,2020-08-22 03:47:50+00:00,0,0,True,0,active,True,73,True,False,2020-08-22 03:56:25,2020
65,74,5,11,2020-08-22 03:39:48+00:00,0,0,True,3,active,True,74,True,True,2020-08-22 03:56:25,2020
66,75,9,6,2020-08-22 03:26:10+00:00,0,0,True,0,active,True,75,True,False,2020-08-22 03:56:25,2020
67,76,16,1,2020-08-22 03:29:26+00:00,0,0,True,0,active,True,76,True,False,2020-08-22 03:56:25,2020
68,77,5,10,2020-08-22 02:26:28+00:00,0,0,True,0,active,True,77,True,False,2020-08-22 03:56:25,2020
69,78,8,11,2020-08-22 02:56:15+00:00,0,0,True,0,active,True,78,True,False,2020-08-22 03:56:25,2020
70,79,16,3,2020-08-22 03:46:34+00:00,0,0,True,0,active,True,79,True,False,2020-08-22 03:56:25,2020
71,80,0,35,2020-08-22 01:28:53+00:00,0,0,True,0,active,True,80,True,False,2020-08-22 03:56:25,2020
72,81,6,12,2020-08-22 02:52:45+00:00,0,0,True,1,active,True,81,True,False,2020-08-22 03:56:25,2020
73,82,3,12,2020-08-22 03:23:04+00:00,0,0,True,0,active,True,82,True,False,2020-08-22 03:56:25,2020
74,84,8,7,2020-08-22 02:53:12+00:00,0,0,True,0,active,True,84,True,False,2020-08-22 03:56:25,2020
75,85,3,16,2020-08-22 02:08:44+00:00,0,0,True,0,active,True,85,True,False,2020-08-22 03:56:25,2020
76,86,18,1,2020-08-22 01:30:01+00:00,0,0,True,0,active,True,86,True,False,2020-08-22 03:56:25,2020
77,87,6,8,2020-08-22 03:46:31+00:00,0,0,True,1,active,True,87,True,False,2020-08-22 03:56:25,2020
78,89,6,13,2020-08-22 03:12:29+00:00,0,0,True,0,active,True,89,True,False,2020-08-22 03:56:25,2020
79,90,8,10,2020-08-22 03:48:23+00:00,0,0,True,1,active,True,90,True,False,2020-08-22 03:56:25,2020
80,91,3,15,2020-08-22 03:54:11+00:00,0,0,True,1,active,True,91,True,False,2020-08-22 03:56:25,2020
81,92,7,11,2020-08-21 21:04:11+00:00,0,0,True,1,active,True,92,True,False,2020-08-22 03:56:25,2020
82,93,7,8,2020-08-22 03:16:02+00:00,0,0,True,0,active,True,93,True,False,2020-08-22 03:56:25,2020
83,94,10,1,2020-08-22 02:38:59+00:00,0,0,True,0,active,True,94,True,False,2020-08-22 03:56:25,2020
84,95,13,2,2020-08-22 03:49:52+00:00,0,0,True,0,active,True,95,True,False,2020-08-22 03:56:25,2020
