,num_docks_available,num_docks_disabled,num_bikes_disabled,is_renting,is_installed,last_reported,eightd_has_available_keys,legacy_id,station_id,num_ebikes_available,num_bikes_available,is_returning,station_status,timestamp_of_data_read_request,year_station_last_reported
0,7,0,1,True,True,2020-08-12 19:52:39+00:00,False,3,3,0,7,True,active,2020-08-12 20:06:30,2020
1,9,0,0,True,True,2020-08-12 19:53:45+00:00,False,4,4,0,10,True,active,2020-08-12 20:06:30,2020
2,3,0,0,True,True,2020-08-12 20:03:14+00:00,False,5,5,0,12,True,active,2020-08-12 20:06:30,2020
3,2,0,2,True,True,2020-08-12 20:01:03+00:00,False,6,6,0,11,True,active,2020-08-12 20:06:30,2020
4,5,0,1,True,True,2020-08-12 19:52:02+00:00,False,7,7,0,9,True,active,2020-08-12 20:06:30,2020
5,12,0,0,True,True,2020-08-12 20:00:11+00:00,False,8,8,0,7,True,active,2020-08-12 20:06:30,2020
6,5,0,2,True,True,2020-08-12 19:52:29+00:00,False,9,9,0,8,True,active,2020-08-12 20:06:30,2020
7,6,0,0,True,True,2020-08-12 19:33:20+00:00,False,10,10,0,5,True,active,2020-08-12 20:06:30,2020
8,5,0,1,True,True,2020-08-12 20:06:00+00:00,False,11,11,0,9,True,active,2020-08-12 20:06:30,2020
9,2,0,0,True,True,2020-08-12 19:44:11+00:00,True,12,12,0,16,True,active,2020-08-12 20:06:30,2020
10,12,0,0,True,True,2020-08-12 20:05:25+00:00,False,13,13,0,7,True,active,2020-08-12 20:06:30,2020
11,10,0,0,True,True,2020-08-12 19:58:05+00:00,False,14,14,0,15,True,active,2020-08-12 20:06:30,2020
12,4,0,0,True,True,2020-08-12 19:55:04+00:00,False,15,15,0,11,True,active,2020-08-12 20:06:30,2020
13,13,0,0,True,True,2020-08-12 20:01:54+00:00,True,16,16,0,6,True,active,2020-08-12 20:06:30,2020
14,12,0,1,True,True,2020-08-12 19:16:35+00:00,False,17,17,0,2,True,active,2020-08-12 20:06:30,2020
15,12,0,0,True,True,2020-08-12 20:02:24+00:00,False,19,19,0,3,True,active,2020-08-12 20:06:30,2020
16,12,0,0,True,True,2020-08-12 19:14:27+00:00,True,20,20,0,11,True,active,2020-08-12 20:06:30,2020
17,5,0,0,True,True,2020-08-12 19:55:17+00:00,True,21,21,0,13,True,active,2020-08-12 20:06:30,2020
18,35,0,0,True,True,2020-08-12 20:03:22+00:00,True,22,22,0,12,True,active,2020-08-12 20:06:30,2020
19,8,0,0,True,True,2020-08-12 19:38:10+00:00,False,23,23,0,13,True,active,2020-08-12 20:06:30,2020
20,10,0,1,True,True,2020-08-12 20:02:51+00:00,False,24,24,0,8,True,active,2020-08-12 20:06:30,2020
