,is_installed,num_bikes_available,legacy_id,station_id,num_ebikes_available,num_bikes_disabled,is_returning,num_docks_disabled,last_reported,eightd_has_available_keys,is_renting,station_status,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,2,3,3,0,0,True,0,2020-08-05 23:30:02+00:00,True,True,active,13,,,2020-08-05 23:31:45,2020
1,True,15,4,4,0,0,True,0,2020-08-05 23:31:21+00:00,False,True,active,4,,,2020-08-05 23:31:45,2020
2,True,7,5,5,0,0,True,0,2020-08-05 23:24:13+00:00,False,True,active,8,,,2020-08-05 23:31:45,2020
3,True,1,6,6,0,1,True,0,2020-08-05 23:28:34+00:00,False,True,active,13,,,2020-08-05 23:31:45,2020
4,True,11,7,7,0,0,True,0,2020-08-05 22:55:10+00:00,False,True,active,4,,,2020-08-05 23:31:45,2020
5,True,0,8,8,0,0,True,0,2020-08-05 23:29:14+00:00,False,True,active,19,,,2020-08-05 23:31:45,2020
6,True,12,9,9,0,0,True,0,2020-08-05 23:18:04+00:00,False,True,active,3,,,2020-08-05 23:31:45,2020
7,True,1,10,10,0,0,True,0,2020-08-05 23:31:29+00:00,False,True,active,10,,,2020-08-05 23:31:45,2020
8,True,0,11,11,0,0,True,0,2020-08-05 23:14:41+00:00,False,True,active,15,"{'off_dock_count': 3, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50, 'region': 'BOS', 'active': True, 'valet_revision': 79, 'dock_blocked_count': 0}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-05 23:31:45,2020
9,True,4,12,12,0,0,True,0,2020-08-05 23:27:41+00:00,True,True,active,14,,,2020-08-05 23:31:45,2020
10,True,7,13,13,0,0,True,0,2020-08-05 23:28:06+00:00,False,True,active,12,,,2020-08-05 23:31:45,2020
11,True,0,14,14,0,0,True,0,2020-08-05 22:42:10+00:00,False,True,active,25,,,2020-08-05 23:31:45,2020
12,True,10,15,15,0,0,True,0,2020-08-05 23:23:33+00:00,False,True,active,5,,,2020-08-05 23:31:45,2020
13,True,3,16,16,0,0,True,0,2020-08-05 23:26:30+00:00,True,True,active,16,,,2020-08-05 23:31:45,2020
14,True,1,17,17,0,0,True,0,2020-08-05 23:20:16+00:00,False,True,active,14,,,2020-08-05 23:31:45,2020
15,True,1,19,19,0,0,True,0,2020-08-05 23:19:00+00:00,False,True,active,14,,,2020-08-05 23:31:45,2020
16,True,19,20,20,0,1,True,0,2020-08-05 23:27:57+00:00,True,True,active,3,,,2020-08-05 23:31:45,2020
17,True,7,21,21,0,1,True,0,2020-08-05 23:20:16+00:00,True,True,active,10,,,2020-08-05 23:31:45,2020
18,True,12,22,22,0,2,True,0,2020-08-05 23:19:18+00:00,True,True,active,33,,,2020-08-05 23:31:45,2020
19,True,10,23,23,0,0,True,0,2020-08-05 23:22:40+00:00,True,True,active,11,,,2020-08-05 23:31:45,2020
20,True,12,24,24,0,0,True,0,2020-08-05 23:23:39+00:00,False,True,active,7,,,2020-08-05 23:31:45,2020
21,True,2,25,25,0,0,True,0,2020-08-05 23:26:24+00:00,False,True,active,13,,,2020-08-05 23:31:45,2020
22,True,1,26,26,0,1,True,0,2020-08-05 23:03:54+00:00,False,True,active,13,,,2020-08-05 23:31:45,2020
23,True,13,27,27,0,1,True,0,2020-08-05 23:28:39+00:00,False,True,active,9,,,2020-08-05 23:31:45,2020
24,True,7,29,29,0,1,True,0,2020-08-05 22:17:12+00:00,False,True,active,7,,,2020-08-05 23:31:45,2020
25,True,0,30,30,0,2,True,0,2020-08-05 23:24:26+00:00,False,True,active,13,,,2020-08-05 23:31:45,2020
26,True,2,31,31,0,0,True,0,2020-08-05 21:50:54+00:00,True,True,active,17,,,2020-08-05 23:31:45,2020
27,True,9,32,32,0,1,True,0,2020-08-05 23:30:45+00:00,False,True,active,5,,,2020-08-05 23:31:45,2020
28,True,17,33,33,0,0,True,0,2020-08-05 23:30:05+00:00,False,True,active,10,,,2020-08-05 23:31:45,2020
29,True,3,35,35,0,0,True,0,2020-08-05 23:10:48+00:00,False,True,active,20,,,2020-08-05 23:31:45,2020
30,True,22,36,36,0,0,True,0,2020-08-05 23:22:04+00:00,True,True,active,11,,,2020-08-05 23:31:45,2020
31,True,12,37,37,0,0,True,0,2020-08-05 23:21:29+00:00,True,True,active,3,,,2020-08-05 23:31:45,2020
32,True,1,39,39,0,0,True,0,2020-08-05 23:27:14+00:00,False,True,active,22,,,2020-08-05 23:31:45,2020
33,True,5,40,40,0,1,True,0,2020-08-05 23:27:50+00:00,False,True,active,13,,,2020-08-05 23:31:45,2020
34,True,8,41,41,0,0,True,0,2020-08-05 23:26:43+00:00,True,True,active,19,,,2020-08-05 23:31:45,2020
35,True,14,42,42,0,2,True,0,2020-08-05 23:31:42+00:00,False,True,active,7,,,2020-08-05 23:31:45,2020
36,True,0,43,43,0,0,True,0,2020-08-05 23:03:31+00:00,True,True,active,15,,,2020-08-05 23:31:45,2020
37,True,14,44,44,0,0,True,0,2020-08-05 23:24:43+00:00,False,True,active,9,,,2020-08-05 23:31:45,2020
38,True,4,46,46,0,1,True,0,2020-08-05 23:31:06+00:00,False,True,active,14,,,2020-08-05 23:31:45,2020
39,True,12,47,47,0,0,True,0,2020-08-05 23:31:38+00:00,True,True,active,7,,,2020-08-05 23:31:45,2020
40,True,0,48,48,0,0,True,0,2020-08-05 23:14:01+00:00,False,True,active,19,,,2020-08-05 23:31:45,2020
41,True,10,49,49,0,0,True,0,2020-08-05 23:17:57+00:00,False,True,active,8,,,2020-08-05 23:31:45,2020
42,True,11,50,50,0,1,True,0,2020-08-05 23:30:37+00:00,True,True,active,3,,,2020-08-05 23:31:45,2020
43,True,3,51,51,0,0,True,0,2020-08-05 22:37:18+00:00,False,True,active,12,,,2020-08-05 23:31:45,2020
44,True,23,52,52,0,0,True,0,2020-08-05 23:28:14+00:00,True,True,active,0,,,2020-08-05 23:31:45,2020
45,True,9,53,53,0,2,True,0,2020-08-05 23:26:32+00:00,False,True,active,8,,,2020-08-05 23:31:45,2020
46,True,7,54,54,0,0,True,0,2020-08-05 23:30:48+00:00,False,True,active,8,,,2020-08-05 23:31:45,2020
47,True,9,55,55,0,1,True,0,2020-08-05 23:18:57+00:00,False,True,active,5,,,2020-08-05 23:31:45,2020
48,True,5,56,56,0,0,True,0,2020-08-05 23:29:53+00:00,True,True,active,13,,,2020-08-05 23:31:45,2020
49,True,1,57,57,0,1,True,0,2020-08-05 23:25:44+00:00,True,True,active,12,,,2020-08-05 23:31:45,2020
50,True,16,58,58,0,0,True,0,2020-08-05 23:27:45+00:00,True,True,active,3,,,2020-08-05 23:31:45,2020
51,True,4,59,59,0,0,True,0,2020-08-05 23:03:11+00:00,True,True,active,15,,,2020-08-05 23:31:45,2020
52,True,14,60,60,0,2,True,0,2020-08-05 23:28:16+00:00,False,True,active,3,,,2020-08-05 23:31:45,2020
53,True,8,61,61,0,1,True,0,2020-08-05 23:31:41+00:00,False,True,active,10,,,2020-08-05 23:31:45,2020
54,True,8,63,63,0,0,True,0,2020-08-05 22:36:53+00:00,False,True,active,7,,,2020-08-05 23:31:45,2020
55,True,10,64,64,0,0,True,0,2020-08-05 23:28:58+00:00,False,True,active,9,,,2020-08-05 23:31:45,2020
56,True,5,65,65,0,1,True,0,2020-08-05 22:32:27+00:00,False,True,active,17,,,2020-08-05 23:31:45,2020
57,True,4,66,66,0,0,True,0,2020-08-05 23:26:40+00:00,False,True,active,11,,,2020-08-05 23:31:45,2020
58,True,11,67,67,0,1,True,0,2020-08-05 23:28:02+00:00,True,True,active,15,,,2020-08-05 23:31:45,2020
59,True,16,68,68,0,0,True,0,2020-08-05 23:31:34+00:00,True,True,active,3,,,2020-08-05 23:31:45,2020
60,True,8,69,69,0,2,True,0,2020-08-05 23:19:45+00:00,True,True,active,9,,,2020-08-05 23:31:45,2020
61,True,17,70,70,0,0,True,0,2020-08-05 23:13:41+00:00,False,True,active,6,,,2020-08-05 23:31:45,2020
62,True,19,71,71,0,0,True,0,2020-08-05 23:13:19+00:00,False,True,active,4,,,2020-08-05 23:31:45,2020
63,True,9,72,72,0,0,True,0,2020-08-05 23:28:20+00:00,False,True,active,14,,,2020-08-05 23:31:45,2020
64,True,5,73,73,0,0,True,0,2020-08-05 23:25:41+00:00,False,True,active,10,,,2020-08-05 23:31:45,2020
65,True,16,74,74,0,0,True,0,2020-08-05 23:27:54+00:00,True,True,active,3,,,2020-08-05 23:31:45,2020
66,True,14,75,75,0,0,True,0,2020-08-05 23:24:25+00:00,False,True,active,1,,,2020-08-05 23:31:45,2020
