,legacy_id,last_reported,is_returning,num_ebikes_available,is_installed,num_docks_disabled,station_id,num_bikes_available,station_status,num_bikes_disabled,is_renting,eightd_has_available_keys,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,3,2020-08-20 18:05:54+00:00,True,0,True,0,3,13,active,0,True,False,2,,,2020-08-20 18:06:20,2020
1,4,2020-08-20 18:05:01+00:00,True,0,True,0,4,2,active,0,True,False,17,,,2020-08-20 18:06:20,2020
2,5,2020-08-20 18:05:15+00:00,True,0,True,0,5,3,active,0,True,False,12,,,2020-08-20 18:06:20,2020
3,6,2020-08-20 17:50:02+00:00,True,0,True,0,6,8,active,1,True,False,6,,,2020-08-20 18:06:20,2020
4,7,2020-08-20 17:59:48+00:00,True,0,True,0,7,9,active,0,True,False,6,,,2020-08-20 18:06:20,2020
5,8,2020-08-20 17:42:59+00:00,True,0,True,0,8,7,active,1,True,False,11,,,2020-08-20 18:06:20,2020
6,9,2020-08-20 17:59:28+00:00,True,0,True,0,9,5,active,0,True,False,10,,,2020-08-20 18:06:20,2020
7,10,2020-08-20 18:03:42+00:00,True,0,True,0,10,7,active,0,True,False,4,,,2020-08-20 18:06:20,2020
8,11,2020-08-20 17:40:51+00:00,True,0,True,0,11,15,active,0,True,False,0,,,2020-08-20 18:06:20,2020
9,12,2020-08-20 17:56:50+00:00,True,0,True,0,12,15,active,1,True,True,2,,,2020-08-20 18:06:20,2020
10,13,2020-08-20 18:00:20+00:00,True,0,True,0,13,12,active,0,True,False,7,,,2020-08-20 18:06:20,2020
11,14,2020-08-20 18:04:10+00:00,True,0,True,0,14,23,active,0,True,False,2,,,2020-08-20 18:06:20,2020
12,15,2020-08-20 17:41:19+00:00,True,0,True,0,15,11,active,0,True,False,4,,,2020-08-20 18:06:20,2020
13,16,2020-08-20 18:03:23+00:00,True,0,True,0,16,7,active,0,True,True,12,,,2020-08-20 18:06:20,2020
14,17,2020-08-20 17:35:40+00:00,True,0,True,0,17,4,active,1,True,False,10,,,2020-08-20 18:06:20,2020
