,num_bikes_available,is_installed,legacy_id,station_status,eightd_has_available_keys,num_docks_available,num_ebikes_available,is_renting,is_returning,last_reported,station_id,num_docks_disabled,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,8,True,3,active,True,7,0,True,True,2020-08-05 18:59:41+00:00,3,0,0,,,2020-08-05 19:05:35,2020
1,2,True,4,active,False,17,0,True,True,2020-08-05 18:48:11+00:00,4,0,0,,,2020-08-05 19:05:35,2020
2,8,True,5,active,False,7,0,True,True,2020-08-05 19:02:07+00:00,5,0,0,,,2020-08-05 19:05:35,2020
3,5,True,6,active,False,10,0,True,True,2020-08-05 18:21:01+00:00,6,0,0,,,2020-08-05 19:05:35,2020
4,9,True,7,active,False,6,0,True,True,2020-08-05 19:01:59+00:00,7,0,0,,,2020-08-05 19:05:35,2020
5,1,True,8,active,False,18,0,True,True,2020-08-05 18:54:53+00:00,8,0,0,,,2020-08-05 19:05:35,2020
6,11,True,9,active,False,4,0,True,True,2020-08-05 18:59:01+00:00,9,0,0,,,2020-08-05 19:05:35,2020
7,3,True,10,active,False,8,0,True,True,2020-08-05 18:30:37+00:00,10,0,0,,,2020-08-05 19:05:35,2020
8,13,True,11,active,False,2,0,True,True,2020-08-05 18:51:19+00:00,11,0,0,"{'off_dock_count': 44, 'dock_blocked_count': 0, 'active': True, 'off_dock_capacity': 50, 'region': 'BOS', 'valet_revision': 79, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-05 19:05:35,2020
9,8,True,12,active,True,10,0,True,True,2020-08-05 19:01:35+00:00,12,0,0,,,2020-08-05 19:05:35,2020
10,16,True,13,active,False,3,0,True,True,2020-08-05 18:55:02+00:00,13,0,0,,,2020-08-05 19:05:35,2020
11,22,True,14,active,False,3,0,True,True,2020-08-05 19:04:42+00:00,14,0,0,,,2020-08-05 19:05:35,2020
12,7,True,15,active,False,8,0,True,True,2020-08-05 18:55:19+00:00,15,0,0,,,2020-08-05 19:05:35,2020
13,3,True,16,active,True,16,0,True,True,2020-08-05 18:37:47+00:00,16,0,0,,,2020-08-05 19:05:35,2020
14,1,True,17,active,False,14,0,True,True,2020-08-05 19:01:15+00:00,17,0,0,,,2020-08-05 19:05:35,2020
15,0,True,19,active,False,15,0,True,True,2020-08-05 17:33:03+00:00,19,0,0,,,2020-08-05 19:05:35,2020
16,16,True,20,active,True,7,0,True,True,2020-08-05 19:00:21+00:00,20,0,0,,,2020-08-05 19:05:35,2020
17,9,True,21,active,True,8,0,True,True,2020-08-05 18:59:30+00:00,21,0,1,,,2020-08-05 19:05:35,2020
18,6,True,22,active,True,39,0,True,True,2020-08-05 19:02:04+00:00,22,0,2,,,2020-08-05 19:05:35,2020
19,14,True,23,active,True,7,0,True,True,2020-08-05 18:52:26+00:00,23,0,0,,,2020-08-05 19:05:35,2020
20,7,True,24,active,False,12,0,True,True,2020-08-05 19:01:46+00:00,24,0,0,,,2020-08-05 19:05:35,2020
21,3,True,25,active,False,12,0,True,True,2020-08-05 18:25:51+00:00,25,0,0,,,2020-08-05 19:05:35,2020
22,4,True,26,active,False,10,0,True,True,2020-08-05 18:50:46+00:00,26,0,1,,,2020-08-05 19:05:35,2020
23,3,True,27,active,False,20,0,True,True,2020-08-05 18:59:29+00:00,27,0,0,,,2020-08-05 19:05:35,2020
24,13,True,29,active,False,1,0,True,True,2020-08-05 18:59:41+00:00,29,0,1,,,2020-08-05 19:05:35,2020
25,7,True,30,active,False,8,0,True,True,2020-08-05 18:54:01+00:00,30,0,0,,,2020-08-05 19:05:35,2020
26,5,True,31,active,True,14,0,True,True,2020-08-05 18:32:24+00:00,31,0,0,,,2020-08-05 19:05:35,2020
27,13,True,32,active,False,2,0,True,True,2020-08-05 18:55:58+00:00,32,0,0,,,2020-08-05 19:05:35,2020
