,is_returning,last_reported,station_id,eightd_has_available_keys,num_bikes_available,num_ebikes_available,num_docks_available,is_renting,legacy_id,station_status,num_docks_disabled,num_bikes_disabled,is_installed,timestamp_of_data_read_request,year_station_last_reported
0,True,2020-08-15 22:54:06+00:00,3,False,4,0,10,True,3,active,0,1,True,2020-08-15 23:01:10,2020
1,True,2020-08-15 22:56:36+00:00,4,False,3,0,15,True,4,active,0,1,True,2020-08-15 23:01:10,2020
2,True,2020-08-15 22:48:37+00:00,5,False,7,0,7,True,5,active,0,1,True,2020-08-15 23:01:10,2020
3,True,2020-08-15 22:49:38+00:00,6,False,3,0,10,True,6,active,0,2,True,2020-08-15 23:01:10,2020
4,True,2020-08-15 22:39:28+00:00,7,False,13,0,2,True,7,active,0,0,True,2020-08-15 23:01:10,2020
5,True,2020-08-15 22:44:49+00:00,8,False,8,0,10,True,8,active,0,1,True,2020-08-15 23:01:10,2020
6,True,2020-08-15 22:40:07+00:00,9,False,8,0,5,True,9,active,0,2,True,2020-08-15 23:01:10,2020
7,True,2020-08-15 22:49:52+00:00,10,False,8,0,3,True,10,active,0,0,True,2020-08-15 23:01:10,2020
8,True,2020-08-15 22:50:10+00:00,11,False,5,0,10,True,11,active,0,0,True,2020-08-15 23:01:10,2020
9,True,2020-08-15 22:54:48+00:00,12,True,13,0,4,True,12,active,0,1,True,2020-08-15 23:01:10,2020
10,True,2020-08-15 22:52:45+00:00,13,False,8,0,11,True,13,active,0,0,True,2020-08-15 23:01:10,2020
11,True,2020-08-15 22:58:18+00:00,14,False,8,0,16,True,14,active,0,1,True,2020-08-15 23:01:10,2020
12,True,2020-08-15 22:40:12+00:00,15,False,7,0,8,True,15,active,0,0,True,2020-08-15 23:01:10,2020
13,True,2020-08-15 22:58:41+00:00,16,True,6,0,13,True,16,active,0,0,True,2020-08-15 23:01:10,2020
14,True,2020-08-15 23:00:54+00:00,17,False,4,0,10,True,17,active,0,1,True,2020-08-15 23:01:10,2020
15,True,2020-08-15 22:37:47+00:00,19,False,4,0,11,True,19,active,0,0,True,2020-08-15 23:01:10,2020
16,True,2020-08-15 22:41:32+00:00,20,True,3,0,20,True,20,active,0,0,True,2020-08-15 23:01:10,2020
17,True,2020-08-15 22:49:52+00:00,21,True,12,0,6,True,21,active,0,0,True,2020-08-15 23:01:10,2020
18,True,2020-08-15 22:42:06+00:00,22,True,25,0,22,True,22,active,0,0,True,2020-08-15 23:01:10,2020
19,True,2020-08-15 22:40:57+00:00,23,False,0,0,21,True,23,active,0,0,True,2020-08-15 23:01:10,2020
20,True,2020-08-15 22:52:54+00:00,24,False,1,0,17,True,24,active,0,1,True,2020-08-15 23:01:10,2020
21,True,2020-08-15 21:34:14+00:00,25,False,4,0,11,True,25,active,0,0,True,2020-08-15 23:01:10,2020
22,True,2020-08-15 22:57:51+00:00,26,False,3,0,12,True,26,active,0,0,True,2020-08-15 23:01:10,2020
