,station_status,station_id,eightd_has_available_keys,is_returning,is_installed,last_reported,num_bikes_available,num_bikes_disabled,num_ebikes_available,is_renting,num_docks_available,num_docks_disabled,legacy_id,timestamp_of_data_read_request,year_station_last_reported
0,active,3,False,True,True,2020-08-13 18:00:05+00:00,13,0,0,True,2,0,3,2020-08-13 18:44:45,2020
1,active,4,False,True,True,2020-08-13 18:10:39+00:00,7,0,0,True,12,0,4,2020-08-13 18:44:45,2020
2,active,5,False,True,True,2020-08-13 18:18:26+00:00,1,0,0,True,14,0,5,2020-08-13 18:44:45,2020
3,active,6,False,True,True,2020-08-13 18:23:38+00:00,1,1,0,True,13,0,6,2020-08-13 18:44:45,2020
4,active,7,False,True,True,2020-08-13 18:08:21+00:00,4,0,0,True,11,0,7,2020-08-13 18:44:45,2020
5,active,8,False,True,True,2020-08-13 18:29:24+00:00,12,0,0,True,7,0,8,2020-08-13 18:44:45,2020
6,active,9,False,True,True,2020-08-13 17:59:45+00:00,14,1,0,True,0,0,9,2020-08-13 18:44:45,2020
7,active,10,False,True,True,2020-08-13 18:42:10+00:00,7,1,0,True,3,0,10,2020-08-13 18:44:45,2020
8,active,11,False,True,True,2020-08-13 18:38:40+00:00,11,1,0,True,3,0,11,2020-08-13 18:44:45,2020
9,active,12,True,True,True,2020-08-13 18:41:41+00:00,8,1,0,True,9,0,12,2020-08-13 18:44:45,2020
10,active,13,False,True,True,2020-08-13 18:39:39+00:00,9,0,0,True,10,0,13,2020-08-13 18:44:45,2020
11,active,14,False,True,True,2020-08-13 18:22:26+00:00,18,0,0,True,7,0,14,2020-08-13 18:44:45,2020
12,active,15,False,True,True,2020-08-13 18:20:24+00:00,8,0,0,True,7,0,15,2020-08-13 18:44:45,2020
13,active,16,True,True,True,2020-08-13 17:30:51+00:00,15,0,0,True,4,0,16,2020-08-13 18:44:45,2020
14,active,17,False,True,True,2020-08-13 18:31:06+00:00,2,1,0,True,12,0,17,2020-08-13 18:44:45,2020
15,active,19,False,True,True,2020-08-13 18:09:52+00:00,0,1,0,True,14,0,19,2020-08-13 18:44:45,2020
16,active,20,True,True,True,2020-08-13 18:43:54+00:00,13,0,0,True,10,0,20,2020-08-13 18:44:45,2020
17,active,21,True,True,True,2020-08-13 18:42:08+00:00,1,1,0,True,16,0,21,2020-08-13 18:44:45,2020
18,active,22,True,True,True,2020-08-13 18:40:02+00:00,8,0,0,True,39,0,22,2020-08-13 18:44:45,2020
19,active,23,False,True,True,2020-08-13 18:24:11+00:00,6,0,0,True,15,0,23,2020-08-13 18:44:45,2020
20,active,24,False,True,True,2020-08-13 18:24:53+00:00,14,1,0,True,4,0,24,2020-08-13 18:44:45,2020
21,active,25,False,True,True,2020-08-13 18:21:12+00:00,5,1,0,True,9,0,25,2020-08-13 18:44:45,2020
22,active,26,False,True,True,2020-08-13 18:06:17+00:00,11,1,0,True,3,0,26,2020-08-13 18:44:45,2020
23,active,27,False,True,True,2020-08-13 18:20:06+00:00,17,0,0,True,6,0,27,2020-08-13 18:44:45,2020
24,active,29,False,True,True,2020-08-13 18:41:53+00:00,8,0,0,True,7,0,29,2020-08-13 18:44:45,2020
25,active,30,False,True,True,2020-08-13 18:40:29+00:00,12,1,0,True,2,0,30,2020-08-13 18:44:45,2020
26,active,31,True,True,True,2020-08-13 17:25:51+00:00,6,0,0,True,13,0,31,2020-08-13 18:44:45,2020
27,active,32,False,True,True,2020-08-13 18:43:22+00:00,10,1,0,True,4,0,32,2020-08-13 18:44:45,2020
28,active,33,False,True,True,2020-08-13 18:26:21+00:00,4,0,0,True,23,0,33,2020-08-13 18:44:45,2020
29,active,35,False,True,True,2020-08-13 18:40:15+00:00,16,0,0,True,7,0,35,2020-08-13 18:44:45,2020
30,active,36,True,True,True,2020-08-13 18:44:34+00:00,20,0,0,True,13,0,36,2020-08-13 18:44:45,2020
31,active,37,True,True,True,2020-08-13 14:09:27+00:00,2,0,0,True,13,0,37,2020-08-13 18:44:45,2020
32,active,39,False,True,True,2020-08-13 18:42:34+00:00,20,0,0,True,3,0,39,2020-08-13 18:44:45,2020
33,active,40,False,True,True,2020-08-13 18:30:23+00:00,9,0,0,True,10,0,40,2020-08-13 18:44:45,2020
34,active,41,True,True,True,2020-08-13 18:12:28+00:00,10,0,0,True,17,0,41,2020-08-13 18:44:45,2020
35,active,42,False,True,True,2020-08-13 18:26:42+00:00,18,1,0,True,4,0,42,2020-08-13 18:44:45,2020
36,active,43,True,True,True,2020-08-13 18:40:59+00:00,11,0,0,True,4,0,43,2020-08-13 18:44:45,2020
37,active,44,False,True,True,2020-08-13 18:13:32+00:00,1,0,0,True,22,0,44,2020-08-13 18:44:45,2020
38,active,46,False,True,True,2020-08-13 18:27:25+00:00,8,1,0,True,10,0,46,2020-08-13 18:44:45,2020
39,active,47,True,True,True,2020-08-13 18:39:42+00:00,7,0,0,True,12,0,47,2020-08-13 18:44:45,2020
40,active,48,False,True,True,2020-08-13 18:24:43+00:00,10,1,0,True,8,0,48,2020-08-13 18:44:45,2020
41,active,49,False,True,True,2020-08-13 18:41:47+00:00,9,0,0,True,9,0,49,2020-08-13 18:44:45,2020
42,active,50,True,True,True,2020-08-13 18:18:36+00:00,13,0,0,True,2,0,50,2020-08-13 18:44:45,2020
43,active,51,False,True,True,2020-08-13 17:43:15+00:00,6,0,0,True,9,0,51,2020-08-13 18:44:45,2020
44,active,52,True,True,True,2020-08-13 18:41:21+00:00,15,0,0,True,8,0,52,2020-08-13 18:44:45,2020
45,active,53,False,True,True,2020-08-13 18:37:54+00:00,9,0,0,True,10,0,53,2020-08-13 18:44:45,2020
46,active,54,False,True,True,2020-08-13 18:37:31+00:00,14,0,0,True,1,0,54,2020-08-13 18:44:45,2020
47,active,55,False,True,True,2020-08-13 18:29:46+00:00,8,0,0,True,7,0,55,2020-08-13 18:44:45,2020
48,active,56,True,True,True,2020-08-13 18:32:49+00:00,2,1,0,True,15,0,56,2020-08-13 18:44:45,2020
49,active,57,True,True,True,2020-08-13 18:17:07+00:00,4,1,0,True,9,0,57,2020-08-13 18:44:45,2020
50,active,58,True,True,True,2020-08-13 18:21:41+00:00,9,1,0,True,9,0,58,2020-08-13 18:44:45,2020
51,active,59,True,True,True,2020-08-13 17:52:30+00:00,2,0,0,True,17,0,59,2020-08-13 18:44:45,2020
52,active,60,False,True,True,2020-08-13 18:39:18+00:00,9,0,0,True,10,0,60,2020-08-13 18:44:45,2020
53,active,61,False,True,True,2020-08-13 18:28:43+00:00,12,1,0,True,6,0,61,2020-08-13 18:44:45,2020
54,active,63,False,True,True,2020-08-13 18:06:42+00:00,4,0,0,True,11,0,63,2020-08-13 18:44:45,2020
55,active,64,False,True,True,2020-08-13 18:34:12+00:00,11,1,0,True,7,0,64,2020-08-13 18:44:45,2020
56,active,65,False,True,True,2020-08-13 17:39:01+00:00,5,0,0,True,18,0,65,2020-08-13 18:44:45,2020
57,active,66,False,True,True,2020-08-13 18:40:32+00:00,0,1,0,True,14,0,66,2020-08-13 18:44:45,2020
58,active,67,True,True,True,2020-08-13 18:41:38+00:00,14,0,0,True,13,0,67,2020-08-13 18:44:45,2020
59,active,68,True,True,True,2020-08-13 18:43:14+00:00,5,1,0,True,13,0,68,2020-08-13 18:44:45,2020
60,active,69,True,True,True,2020-08-13 18:29:03+00:00,4,0,0,True,15,0,69,2020-08-13 18:44:45,2020
61,active,70,False,True,True,2020-08-13 18:18:25+00:00,14,0,0,True,9,0,70,2020-08-13 18:44:45,2020
62,active,71,False,True,True,2020-08-13 18:32:28+00:00,15,0,0,True,8,0,71,2020-08-13 18:44:45,2020
63,active,72,False,True,True,2020-08-13 18:39:06+00:00,21,0,0,True,2,0,72,2020-08-13 18:44:45,2020
64,active,73,False,True,True,2020-08-13 18:44:22+00:00,3,1,0,True,11,0,73,2020-08-13 18:44:45,2020
65,active,74,True,True,True,2020-08-13 18:42:18+00:00,11,2,0,True,6,0,74,2020-08-13 18:44:45,2020
66,active,75,False,True,True,2020-08-13 18:36:10+00:00,7,0,0,True,8,0,75,2020-08-13 18:44:45,2020
67,active,76,False,True,True,2020-08-13 18:28:07+00:00,8,0,0,True,9,0,76,2020-08-13 18:44:45,2020
68,active,77,False,True,True,2020-08-13 16:38:39+00:00,4,1,0,True,10,0,77,2020-08-13 18:44:45,2020
69,active,78,False,True,True,2020-08-13 18:43:46+00:00,15,0,0,True,4,0,78,2020-08-13 18:44:45,2020
70,active,79,False,True,True,2020-08-13 18:40:59+00:00,8,2,0,True,9,0,79,2020-08-13 18:44:45,2020
71,active,80,False,True,True,2020-08-13 18:43:43+00:00,32,2,0,True,1,0,80,2020-08-13 18:44:45,2020
72,active,81,False,True,True,2020-08-13 18:43:12+00:00,7,2,0,True,10,0,81,2020-08-13 18:44:45,2020
73,active,82,False,True,True,2020-08-13 17:59:36+00:00,0,0,0,True,15,0,82,2020-08-13 18:44:45,2020
74,active,84,False,True,True,2020-08-13 18:43:45+00:00,12,0,0,True,3,0,84,2020-08-13 18:44:45,2020
75,active,85,False,True,True,2020-08-13 18:41:14+00:00,15,0,0,True,4,0,85,2020-08-13 18:44:45,2020
76,active,86,False,True,True,2020-08-13 18:37:00+00:00,10,0,0,True,9,0,86,2020-08-13 18:44:45,2020
77,active,87,False,True,True,2020-08-13 18:34:03+00:00,2,0,0,True,13,0,87,2020-08-13 18:44:45,2020
78,active,89,False,True,True,2020-08-13 17:46:23+00:00,7,0,0,True,12,0,89,2020-08-13 18:44:45,2020
79,active,90,False,True,True,2020-08-13 18:43:24+00:00,7,0,0,True,12,0,90,2020-08-13 18:44:45,2020
80,active,91,False,True,True,2020-08-13 18:41:42+00:00,19,0,0,True,0,0,91,2020-08-13 18:44:45,2020
81,active,92,False,True,True,2020-08-13 16:36:00+00:00,10,0,0,True,9,0,92,2020-08-13 18:44:45,2020
82,active,93,False,True,True,2020-08-13 18:35:00+00:00,6,0,0,True,9,0,93,2020-08-13 18:44:45,2020
83,active,94,False,True,True,2020-08-13 18:36:37+00:00,2,0,0,True,9,0,94,2020-08-13 18:44:45,2020
84,active,95,False,True,True,2020-08-13 18:09:32+00:00,2,0,0,True,13,0,95,2020-08-13 18:44:45,2020
85,active,96,False,True,True,2020-08-13 17:32:37+00:00,9,0,0,True,10,0,96,2020-08-13 18:44:45,2020
86,active,97,False,True,True,2020-08-13 18:41:58+00:00,7,1,0,True,11,0,97,2020-08-13 18:44:45,2020
87,active,98,False,True,True,2020-08-13 18:44:03+00:00,4,0,0,True,19,0,98,2020-08-13 18:44:45,2020
88,active,99,False,True,True,2020-08-13 18:04:58+00:00,10,1,0,True,4,0,99,2020-08-13 18:44:45,2020
89,active,100,True,True,True,2020-08-13 17:46:49+00:00,11,1,0,True,13,0,100,2020-08-13 18:44:45,2020
