,num_docks_available,is_returning,num_bikes_disabled,num_bikes_available,last_reported,legacy_id,num_docks_disabled,eightd_has_available_keys,station_status,num_ebikes_available,is_installed,station_id,is_renting,timestamp_of_data_read_request,year_station_last_reported
45,5,True,0,14,2020-08-11 01:52:02+00:00,53,0,False,active,0,True,53,True,2020-08-11 01:52:20,2020
46,9,True,0,6,2020-08-11 01:29:34+00:00,54,0,False,active,0,True,54,True,2020-08-11 01:52:20,2020
47,1,True,1,13,2020-08-11 01:50:27+00:00,55,0,False,active,0,True,55,True,2020-08-11 01:52:20,2020
48,11,True,1,6,2020-08-11 00:48:04+00:00,56,0,True,active,0,True,56,True,2020-08-11 01:52:20,2020
49,7,True,0,7,2020-08-11 00:56:54+00:00,57,0,True,active,0,True,57,True,2020-08-11 01:52:20,2020
50,5,True,4,10,2020-08-11 01:47:30+00:00,58,0,True,active,0,True,58,True,2020-08-11 01:52:20,2020
51,16,True,0,3,2020-08-11 01:48:44+00:00,59,0,True,active,0,True,59,True,2020-08-11 01:52:20,2020
52,17,True,1,1,2020-08-11 01:46:36+00:00,60,0,False,active,0,True,60,True,2020-08-11 01:52:20,2020
53,18,True,1,0,2020-08-11 01:32:02+00:00,61,0,False,active,0,True,61,True,2020-08-11 01:52:20,2020
54,9,True,2,4,2020-08-10 22:55:41+00:00,63,0,False,active,0,True,63,True,2020-08-11 01:52:20,2020
55,14,True,0,5,2020-08-11 01:42:39+00:00,64,0,False,active,0,True,64,True,2020-08-11 01:52:20,2020
56,19,True,0,4,2020-08-10 23:13:48+00:00,65,0,False,active,0,True,65,True,2020-08-11 01:52:20,2020
57,0,True,0,15,2020-08-11 01:31:27+00:00,66,0,False,active,0,True,66,True,2020-08-11 01:52:20,2020
58,24,True,0,3,2020-08-11 01:27:19+00:00,67,0,True,active,0,True,67,True,2020-08-11 01:52:20,2020
59,6,True,1,12,2020-08-11 01:47:21+00:00,68,0,True,active,0,True,68,True,2020-08-11 01:52:20,2020
60,12,True,1,6,2020-08-11 01:27:16+00:00,69,0,True,active,0,True,69,True,2020-08-11 01:52:20,2020
61,2,True,0,21,2020-08-11 01:00:24+00:00,70,0,False,active,0,True,70,True,2020-08-11 01:52:20,2020
62,0,True,0,23,2020-08-11 01:41:32+00:00,71,0,False,active,0,True,71,True,2020-08-11 01:52:20,2020
63,23,True,0,0,2020-08-11 00:52:03+00:00,72,0,False,active,0,True,72,True,2020-08-11 01:52:20,2020
64,13,True,0,2,2020-08-11 01:47:20+00:00,73,0,False,active,0,True,73,True,2020-08-11 01:52:20,2020
65,16,True,0,3,2020-08-11 01:35:41+00:00,74,0,True,active,0,True,74,True,2020-08-11 01:52:20,2020
