,station_status,legacy_id,eightd_has_available_keys,is_returning,num_docks_available,num_ebikes_available,is_installed,num_docks_disabled,num_bikes_disabled,last_reported,is_renting,num_bikes_available,station_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,active,3,True,True,2,0,True,0,0,2020-08-04 17:46:12+00:00,True,13,3,,,2020-08-04 17:53:05,2020
1,active,4,False,True,12,0,True,0,1,2020-08-04 17:42:48+00:00,True,6,4,,,2020-08-04 17:53:05,2020
2,active,5,False,True,11,0,True,0,0,2020-08-04 17:50:48+00:00,True,4,5,,,2020-08-04 17:53:05,2020
3,active,6,False,True,4,0,True,0,1,2020-08-04 17:46:56+00:00,True,10,6,,,2020-08-04 17:53:05,2020
4,active,7,False,True,3,0,True,0,0,2020-08-04 16:40:25+00:00,True,12,7,,,2020-08-04 17:53:05,2020
5,active,8,False,True,18,0,True,0,0,2020-08-04 17:51:42+00:00,True,1,8,,,2020-08-04 17:53:05,2020
6,active,9,False,True,8,0,True,0,0,2020-08-04 17:45:55+00:00,True,7,9,,,2020-08-04 17:53:05,2020
7,active,10,False,True,1,0,True,0,1,2020-08-04 16:54:32+00:00,True,9,10,,,2020-08-04 17:53:05,2020
8,active,11,False,True,0,0,True,0,0,2020-08-04 17:51:58+00:00,True,15,11,"{'off_dock_count': 56, 'dock_blocked_count': 0, 'region': 'BOS', 'valet_revision': 77, 'off_dock_capacity': 50, 'active': True, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-04 17:53:05,2020
9,active,12,True,True,18,0,True,0,0,2020-08-04 17:49:44+00:00,True,0,12,,,2020-08-04 17:53:05,2020
10,active,13,False,True,4,0,True,0,0,2020-08-04 17:51:35+00:00,True,15,13,,,2020-08-04 17:53:05,2020
11,active,14,False,True,2,0,True,0,1,2020-08-04 17:51:38+00:00,True,22,14,,,2020-08-04 17:53:05,2020
12,active,15,False,True,6,0,True,0,0,2020-08-04 16:45:29+00:00,True,9,15,,,2020-08-04 17:53:05,2020
13,active,16,True,True,13,0,True,0,0,2020-08-04 17:43:09+00:00,True,6,16,,,2020-08-04 17:53:05,2020
14,active,17,False,True,11,0,True,0,2,2020-08-04 17:21:26+00:00,True,2,17,,,2020-08-04 17:53:05,2020
15,active,19,False,True,3,0,True,1,2,2020-08-04 17:06:30+00:00,True,9,19,,,2020-08-04 17:53:05,2020
16,active,20,True,True,17,0,True,0,1,2020-08-04 15:56:07+00:00,True,5,20,,,2020-08-04 17:53:05,2020
17,active,21,True,True,18,0,True,0,0,2020-08-04 17:08:42+00:00,True,0,21,,,2020-08-04 17:53:05,2020
18,active,22,True,True,37,0,True,0,0,2020-08-04 17:33:24+00:00,True,10,22,,,2020-08-04 17:53:05,2020
