,legacy_id,num_bikes_available,num_bikes_disabled,is_returning,num_docks_disabled,is_installed,is_renting,eightd_has_available_keys,station_id,station_status,num_ebikes_available,last_reported,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,3,10,0,True,0,True,True,False,3,active,0,2020-08-20 21:27:49+00:00,5,,,2020-08-20 21:31:00,2020
1,4,9,0,True,0,True,True,False,4,active,0,2020-08-20 21:26:55+00:00,10,,,2020-08-20 21:31:00,2020
2,5,6,0,True,0,True,True,False,5,active,0,2020-08-20 21:28:03+00:00,9,,,2020-08-20 21:31:00,2020
3,6,3,0,True,0,True,True,False,6,active,0,2020-08-20 21:28:33+00:00,12,,,2020-08-20 21:31:00,2020
4,7,5,0,True,0,True,True,False,7,active,0,2020-08-20 21:01:39+00:00,10,,,2020-08-20 21:31:00,2020
5,8,10,1,True,0,True,True,False,8,active,0,2020-08-20 21:25:58+00:00,8,,,2020-08-20 21:31:00,2020
6,9,9,0,True,0,True,True,False,9,active,0,2020-08-20 21:30:32+00:00,6,,,2020-08-20 21:31:00,2020
7,10,5,0,True,0,True,True,False,10,active,0,2020-08-20 21:30:11+00:00,6,,,2020-08-20 21:31:00,2020
8,11,4,0,True,0,True,True,False,11,active,0,2020-08-20 21:30:41+00:00,11,"{'dock_blocked_count': 0, 'region': 'BOS', 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50, 'active': True, 'off_dock_count': 15, 'valet_revision': 98}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-20 21:31:00,2020
9,12,16,2,True,0,True,True,True,12,active,0,2020-08-20 21:05:18+00:00,0,,,2020-08-20 21:31:00,2020
10,13,1,0,True,0,True,True,False,13,active,0,2020-08-20 21:28:32+00:00,18,,,2020-08-20 21:31:00,2020
11,14,20,0,True,0,True,True,False,14,active,0,2020-08-20 21:29:41+00:00,5,,,2020-08-20 21:31:00,2020
12,15,12,0,True,0,True,True,False,15,active,0,2020-08-20 21:08:01+00:00,3,,,2020-08-20 21:31:00,2020
