,station_status,legacy_id,eightd_has_available_keys,is_returning,num_docks_available,num_ebikes_available,is_installed,num_docks_disabled,num_bikes_disabled,last_reported,is_renting,num_bikes_available,station_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
56,active,65,False,True,16,0,True,0,0,2020-08-04 15:02:39+00:00,True,7,65,,,2020-08-04 15:40:10,2020
57,active,66,False,True,14,0,True,0,0,2020-08-04 15:07:57+00:00,True,1,66,,,2020-08-04 15:40:10,2020
58,active,67,True,True,16,0,True,0,0,2020-08-04 15:27:55+00:00,True,11,67,,,2020-08-04 15:40:10,2020
59,active,68,True,True,17,0,True,0,1,2020-08-04 15:35:23+00:00,True,1,68,,,2020-08-04 15:40:10,2020
60,active,69,True,True,10,0,True,0,0,2020-08-04 15:27:08+00:00,True,9,69,,,2020-08-04 15:40:10,2020
61,active,70,False,True,3,0,True,0,1,2020-08-04 15:02:31+00:00,True,19,70,,,2020-08-04 15:40:10,2020
62,active,71,False,True,13,0,True,0,0,2020-08-04 15:27:05+00:00,True,10,71,,,2020-08-04 15:40:10,2020
63,active,72,False,True,19,0,True,0,0,2020-08-04 14:27:32+00:00,True,4,72,,,2020-08-04 15:40:10,2020
64,active,73,False,True,2,0,True,0,0,2020-08-04 15:36:53+00:00,True,13,73,,,2020-08-04 15:40:10,2020
65,active,74,True,True,16,0,True,0,0,2020-08-04 15:18:31+00:00,True,3,74,,,2020-08-04 15:40:10,2020
66,active,75,False,True,12,0,True,0,0,2020-08-04 15:30:08+00:00,True,3,75,,,2020-08-04 15:40:10,2020
67,active,76,False,True,13,0,True,0,0,2020-08-04 15:39:14+00:00,True,4,76,,,2020-08-04 15:40:10,2020
68,active,77,False,True,9,0,True,0,0,2020-08-04 15:17:02+00:00,True,6,77,,,2020-08-04 15:40:10,2020
69,active,78,False,True,4,0,True,0,0,2020-08-04 15:18:20+00:00,True,15,78,,,2020-08-04 15:40:10,2020
70,active,79,False,True,16,0,True,0,0,2020-08-04 15:33:48+00:00,True,3,79,,,2020-08-04 15:40:10,2020
71,active,80,False,True,2,0,True,0,2,2020-08-04 15:27:02+00:00,True,31,80,,,2020-08-04 15:40:10,2020
72,active,81,False,True,6,0,True,0,1,2020-08-04 14:30:23+00:00,True,12,81,,,2020-08-04 15:40:10,2020
73,active,82,False,True,2,0,True,0,0,2020-08-04 14:58:56+00:00,True,13,82,,,2020-08-04 15:40:10,2020
74,active,84,False,True,10,0,True,0,0,2020-08-04 15:32:12+00:00,True,5,84,,,2020-08-04 15:40:10,2020
75,active,85,False,True,1,0,True,0,0,2020-08-04 13:38:55+00:00,True,18,85,,,2020-08-04 15:40:10,2020
76,active,86,False,True,5,0,True,0,1,2020-08-04 14:47:05+00:00,True,13,86,,,2020-08-04 15:40:10,2020
77,active,87,False,True,11,0,True,0,1,2020-08-04 15:30:45+00:00,True,3,87,,,2020-08-04 15:40:10,2020
78,active,89,False,True,6,0,True,0,1,2020-08-04 14:57:38+00:00,True,12,89,,,2020-08-04 15:40:10,2020
79,active,90,False,True,16,0,True,0,1,2020-08-04 15:17:28+00:00,True,2,90,,,2020-08-04 15:40:10,2020
80,active,91,False,True,4,0,True,0,1,2020-08-04 15:17:28+00:00,True,14,91,,,2020-08-04 15:40:10,2020
81,active,92,False,True,3,0,True,0,0,2020-08-04 13:31:45+00:00,True,16,92,,,2020-08-04 15:40:10,2020
82,active,93,False,True,6,0,True,0,1,2020-08-04 15:27:12+00:00,True,8,93,,,2020-08-04 15:40:10,2020
83,active,94,False,True,1,0,True,0,2,2020-08-04 15:34:10+00:00,True,8,94,,,2020-08-04 15:40:10,2020
84,active,95,False,True,1,0,True,0,1,2020-08-04 15:36:56+00:00,True,13,95,,,2020-08-04 15:40:10,2020
85,active,96,False,True,9,0,True,0,0,2020-08-04 15:31:10+00:00,True,10,96,,,2020-08-04 15:40:10,2020
86,active,97,False,True,5,0,True,0,1,2020-08-04 15:23:47+00:00,True,13,97,,,2020-08-04 15:40:10,2020
87,active,98,False,True,21,0,True,0,0,2020-08-04 15:22:26+00:00,True,1,98,,,2020-08-04 15:40:10,2020
88,active,99,False,True,5,0,True,0,0,2020-08-04 14:38:40+00:00,True,10,99,,,2020-08-04 15:40:10,2020
