,is_installed,is_returning,station_status,num_bikes_disabled,station_id,last_reported,legacy_id,num_docks_disabled,num_bikes_available,num_docks_available,eightd_has_available_keys,num_ebikes_available,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
48,True,True,active,0,56,2020-07-29 17:24:04+00:00,56,0,13,5,True,0,True,,,2020-07-29 18:14:40,2020
49,True,True,active,0,57,2020-07-29 18:04:11+00:00,57,0,9,5,True,0,True,,,2020-07-29 18:14:40,2020
50,True,True,active,1,58,2020-07-29 17:27:02+00:00,58,0,5,13,True,0,True,,,2020-07-29 18:14:40,2020
51,True,True,active,0,59,2020-07-29 18:11:49+00:00,59,0,6,13,True,0,True,,,2020-07-29 18:14:40,2020
52,True,True,active,0,60,2020-07-29 18:09:38+00:00,60,0,0,19,False,0,True,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 61, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 28, 'off_dock_capacity': 40, 'active': True, 'region': 'BOS', 'dock_blocked_count': 0}",2020-07-29 18:14:40,2020
53,True,True,active,1,61,2020-07-29 18:11:23+00:00,61,0,14,4,False,0,True,,,2020-07-29 18:14:40,2020
54,True,True,active,0,63,2020-07-29 18:02:50+00:00,63,0,13,2,False,0,True,,,2020-07-29 18:14:40,2020
55,True,True,active,1,64,2020-07-29 17:40:21+00:00,64,0,13,5,False,0,True,,,2020-07-29 18:14:40,2020
56,True,True,active,1,65,2020-07-29 18:03:19+00:00,65,0,9,13,False,0,True,,,2020-07-29 18:14:40,2020
57,True,True,active,0,66,2020-07-29 17:59:23+00:00,66,0,1,14,False,0,True,,,2020-07-29 18:14:40,2020
58,True,True,active,2,67,2020-07-29 17:58:49+00:00,67,0,10,15,True,0,True,,,2020-07-29 18:14:40,2020
59,True,True,active,1,68,2020-07-29 18:11:51+00:00,68,0,4,14,True,0,True,,,2020-07-29 18:14:40,2020
60,True,True,active,1,69,2020-07-29 18:14:22+00:00,69,0,0,18,True,0,True,,,2020-07-29 18:14:40,2020
61,True,True,active,0,70,2020-07-29 18:03:07+00:00,70,0,4,19,False,0,True,,,2020-07-29 18:14:40,2020
62,True,True,active,0,71,2020-07-29 16:53:42+00:00,71,0,16,7,False,0,True,,,2020-07-29 18:14:40,2020
63,True,True,active,0,72,2020-07-29 17:11:41+00:00,72,0,8,15,False,0,True,,,2020-07-29 18:14:40,2020
64,True,True,active,1,73,2020-07-29 17:48:07+00:00,73,0,8,6,False,0,True,,,2020-07-29 18:14:40,2020
65,True,True,active,2,74,2020-07-29 17:54:30+00:00,74,0,8,9,True,0,True,,,2020-07-29 18:14:40,2020
66,True,True,active,0,75,2020-07-29 17:08:35+00:00,75,0,8,7,False,0,True,,,2020-07-29 18:14:40,2020
67,True,True,active,0,76,2020-07-29 18:13:19+00:00,76,0,5,12,False,0,True,,,2020-07-29 18:14:40,2020
68,True,True,active,0,77,2020-07-29 17:05:56+00:00,77,0,4,11,False,0,True,,,2020-07-29 18:14:40,2020
69,True,True,active,0,78,2020-07-29 18:07:36+00:00,78,0,11,8,False,0,True,,,2020-07-29 18:14:40,2020
70,True,True,active,0,79,2020-07-29 17:57:34+00:00,79,0,6,13,False,0,True,,,2020-07-29 18:14:40,2020
71,True,True,active,5,80,2020-07-29 18:10:09+00:00,80,0,25,5,False,0,True,,,2020-07-29 18:14:40,2020
72,True,True,active,0,81,2020-07-29 18:08:50+00:00,81,0,6,13,False,0,True,,,2020-07-29 18:14:40,2020
73,True,True,active,0,82,2020-07-29 18:09:24+00:00,82,0,3,12,False,0,True,,,2020-07-29 18:14:40,2020
74,True,True,active,1,84,2020-07-29 17:52:29+00:00,84,0,10,4,False,0,True,,,2020-07-29 18:14:40,2020
75,True,True,active,1,85,2020-07-29 17:47:51+00:00,85,0,13,5,False,0,True,,,2020-07-29 18:14:40,2020
76,True,True,active,1,86,2020-07-29 18:09:48+00:00,86,0,4,14,False,0,True,,,2020-07-29 18:14:40,2020
77,True,True,active,0,87,2020-07-29 18:03:22+00:00,87,0,2,13,False,0,True,,,2020-07-29 18:14:40,2020
78,True,True,active,0,89,2020-07-29 17:38:57+00:00,89,0,11,8,False,0,True,,,2020-07-29 18:14:40,2020
79,True,True,active,0,90,2020-07-29 17:45:04+00:00,90,0,9,10,False,0,True,,,2020-07-29 18:14:40,2020
80,True,True,active,3,91,2020-07-29 18:08:34+00:00,91,0,13,3,False,0,True,,,2020-07-29 18:14:40,2020
81,True,True,active,0,92,2020-07-29 17:42:50+00:00,92,0,13,6,False,0,True,,,2020-07-29 18:14:40,2020
82,True,True,active,1,93,2020-07-29 17:49:57+00:00,93,0,3,11,False,0,True,,,2020-07-29 18:14:40,2020
83,True,True,active,0,94,2020-07-29 17:35:36+00:00,94,0,7,4,False,0,True,,,2020-07-29 18:14:40,2020
84,True,True,active,0,95,2020-07-29 18:10:07+00:00,95,0,3,12,False,0,True,,,2020-07-29 18:14:40,2020
85,True,True,active,0,96,2020-07-29 17:51:24+00:00,96,0,2,17,False,0,True,,,2020-07-29 18:14:40,2020
86,True,True,active,1,97,2020-07-29 18:07:48+00:00,97,0,5,13,False,0,True,,,2020-07-29 18:14:40,2020
87,True,True,active,0,98,2020-07-29 18:14:17+00:00,98,0,11,11,False,0,True,,,2020-07-29 18:14:40,2020
88,True,True,active,2,99,2020-07-29 16:24:16+00:00,99,0,8,5,False,0,True,,,2020-07-29 18:14:40,2020
89,True,True,active,1,100,2020-07-29 18:13:14+00:00,100,0,17,7,True,0,True,,,2020-07-29 18:14:40,2020
90,True,True,active,0,101,2020-07-29 16:29:21+00:00,101,0,2,13,False,0,True,,,2020-07-29 18:14:40,2020
91,True,True,active,0,102,2020-07-29 18:07:51+00:00,102,0,0,15,False,0,True,,,2020-07-29 18:14:40,2020
92,True,True,active,0,103,2020-07-29 18:12:01+00:00,103,0,1,14,False,0,True,,,2020-07-29 18:14:40,2020
93,True,True,active,1,104,2020-07-29 17:56:14+00:00,104,0,8,10,False,0,True,,,2020-07-29 18:14:40,2020
94,True,True,active,2,105,2020-07-29 18:03:42+00:00,105,0,7,10,False,0,True,,,2020-07-29 18:14:40,2020
95,True,True,active,0,106,2020-07-29 12:13:40+00:00,106,0,11,4,False,0,True,,,2020-07-29 18:14:40,2020
96,True,True,active,1,107,2020-07-29 18:13:19+00:00,107,0,5,13,False,0,True,,,2020-07-29 18:14:40,2020
97,True,True,active,0,108,2020-07-29 18:01:36+00:00,108,0,16,1,False,0,True,,,2020-07-29 18:14:40,2020
98,True,True,active,2,109,2020-07-29 16:13:59+00:00,109,0,19,14,False,0,True,,,2020-07-29 18:14:40,2020
99,True,True,active,0,110,2020-07-29 18:00:58+00:00,110,0,4,11,False,0,True,,,2020-07-29 18:14:40,2020
100,True,True,active,0,111,2020-07-29 15:28:41+00:00,111,0,0,15,False,0,True,,,2020-07-29 18:14:40,2020
101,True,True,active,0,112,2020-07-29 17:21:20+00:00,112,0,8,7,False,0,True,,,2020-07-29 18:14:40,2020
102,True,True,active,0,113,2020-07-29 14:34:19+00:00,113,0,2,13,False,0,True,,,2020-07-29 18:14:40,2020
103,True,True,active,0,114,2020-07-29 17:53:16+00:00,114,0,3,12,False,0,True,,,2020-07-29 18:14:40,2020
104,True,True,active,1,115,2020-07-29 17:37:38+00:00,115,0,10,8,False,0,True,,,2020-07-29 18:14:40,2020
105,True,True,active,0,116,2020-07-29 18:04:21+00:00,116,0,6,17,False,0,True,,,2020-07-29 18:14:40,2020
106,True,True,active,0,117,2020-07-29 17:51:36+00:00,117,0,17,2,False,0,True,,,2020-07-29 18:14:40,2020
107,True,True,active,0,118,2020-07-29 17:55:35+00:00,118,0,3,16,False,0,True,,,2020-07-29 18:14:40,2020
108,True,True,active,0,119,2020-07-29 17:58:42+00:00,119,0,10,5,False,0,True,,,2020-07-29 18:14:40,2020
109,True,True,active,0,120,2020-07-29 18:03:25+00:00,120,0,9,6,False,0,True,,,2020-07-29 18:14:40,2020
110,True,True,active,1,121,2020-07-29 18:13:27+00:00,121,0,2,14,False,0,True,,,2020-07-29 18:14:40,2020
111,True,True,active,0,122,2020-07-29 18:01:03+00:00,122,0,2,13,False,0,True,,,2020-07-29 18:14:40,2020
112,True,True,active,0,124,2020-07-29 18:12:32+00:00,124,0,3,12,False,0,True,,,2020-07-29 18:14:40,2020
113,True,True,active,0,125,2020-07-29 18:03:04+00:00,125,0,4,11,False,0,True,,,2020-07-29 18:14:40,2020
114,True,True,active,0,126,2020-07-29 17:01:49+00:00,126,0,1,14,False,0,True,,,2020-07-29 18:14:40,2020
115,True,True,active,0,128,2020-07-29 17:21:35+00:00,128,0,14,5,False,0,True,,,2020-07-29 18:14:40,2020
116,True,True,active,0,129,2020-07-29 16:39:06+00:00,129,0,7,12,False,0,True,,,2020-07-29 18:14:40,2020
117,True,True,active,0,130,2020-07-29 17:49:53+00:00,130,0,7,8,False,0,True,,,2020-07-29 18:14:40,2020
118,True,True,active,1,131,2020-07-29 17:43:55+00:00,131,0,7,10,False,0,True,,,2020-07-29 18:14:40,2020
