,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
0,3,1,0,0,14,0,True,True,True,2020-03-13 22:03:36+00:00,True,2020-03-13 22:04:08,2020
1,4,13,0,1,5,0,True,True,True,2020-03-13 22:02:27+00:00,False,2020-03-13 22:04:08,2020
2,5,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-13 22:04:08,1970
3,6,0,0,0,15,0,True,True,True,2020-03-13 21:50:30+00:00,False,2020-03-13 22:04:08,2020
4,7,15,0,0,0,0,True,True,True,2020-03-13 21:44:46+00:00,False,2020-03-13 22:04:08,2020
5,8,1,0,2,16,0,True,True,True,2020-03-13 22:02:55+00:00,False,2020-03-13 22:04:08,2020
6,9,3,0,0,12,0,True,True,True,2020-03-13 22:03:55+00:00,False,2020-03-13 22:04:08,2020
7,10,11,0,0,0,0,True,True,True,2020-03-13 21:22:10+00:00,False,2020-03-13 22:04:08,2020
8,11,13,0,1,1,0,True,True,True,2020-03-13 21:56:09+00:00,False,2020-03-13 22:04:08,2020
9,12,5,0,0,13,0,True,True,True,2020-03-13 21:57:47+00:00,True,2020-03-13 22:04:08,2020
10,13,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-13 22:04:08,1970
11,14,11,0,1,13,0,True,True,True,2020-03-13 21:58:36+00:00,False,2020-03-13 22:04:08,2020
12,15,15,0,0,0,0,True,True,True,2020-03-13 21:01:46+00:00,False,2020-03-13 22:04:08,2020
13,16,7,0,0,12,0,True,True,True,2020-03-13 21:58:06+00:00,True,2020-03-13 22:04:08,2020
14,17,12,0,0,3,0,True,True,True,2020-03-13 21:50:46+00:00,False,2020-03-13 22:04:08,2020
15,19,8,0,2,5,0,True,True,True,2020-03-13 21:57:02+00:00,False,2020-03-13 22:04:08,2020
