,num_docks_available,legacy_id,num_bikes_available,is_installed,is_returning,station_status,num_docks_disabled,is_renting,eightd_has_available_keys,last_reported,station_id,num_bikes_disabled,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,4,3,11,True,True,active,0,True,False,2020-08-13 16:29:56+00:00,3,0,0,,,2020-08-13 17:23:00,2020
1,14,4,5,True,True,active,0,True,False,2020-08-13 17:20:49+00:00,4,0,0,,,2020-08-13 17:23:00,2020
2,15,5,0,True,True,active,0,True,False,2020-08-13 16:49:24+00:00,5,0,0,,,2020-08-13 17:23:00,2020
3,12,6,2,True,True,active,0,True,False,2020-08-13 17:10:01+00:00,6,1,0,,,2020-08-13 17:23:00,2020
4,9,7,6,True,True,active,0,True,False,2020-08-13 17:18:12+00:00,7,0,0,,,2020-08-13 17:23:00,2020
5,12,8,7,True,True,active,0,True,False,2020-08-13 17:07:46+00:00,8,0,0,,,2020-08-13 17:23:00,2020
6,2,9,12,True,True,active,0,True,False,2020-08-13 17:06:46+00:00,9,1,0,,,2020-08-13 17:23:00,2020
7,3,10,7,True,True,active,0,True,False,2020-08-13 17:12:45+00:00,10,1,0,,,2020-08-13 17:23:00,2020
8,2,11,12,True,True,active,0,True,False,2020-08-13 17:22:31+00:00,11,1,0,,,2020-08-13 17:23:00,2020
9,11,12,6,True,True,active,0,True,True,2020-08-13 16:31:25+00:00,12,1,0,,,2020-08-13 17:23:00,2020
10,11,13,8,True,True,active,0,True,False,2020-08-13 17:12:29+00:00,13,0,0,,,2020-08-13 17:23:00,2020
11,4,14,21,True,True,active,0,True,False,2020-08-13 17:22:42+00:00,14,0,0,,,2020-08-13 17:23:00,2020
12,10,15,5,True,True,active,0,True,False,2020-08-13 16:51:32+00:00,15,0,0,,,2020-08-13 17:23:00,2020
13,5,16,14,True,True,active,0,True,True,2020-08-13 17:22:13+00:00,16,0,0,,,2020-08-13 17:23:00,2020
14,11,17,3,True,True,active,0,True,False,2020-08-13 17:07:05+00:00,17,1,0,,,2020-08-13 17:23:00,2020
15,12,19,2,True,True,active,0,True,False,2020-08-13 17:11:01+00:00,19,1,0,,,2020-08-13 17:23:00,2020
16,13,20,10,True,True,active,0,True,True,2020-08-13 17:15:49+00:00,20,0,0,,,2020-08-13 17:23:00,2020
17,14,21,2,True,True,active,0,True,True,2020-08-13 17:18:43+00:00,21,2,0,,,2020-08-13 17:23:00,2020
18,42,22,5,True,True,active,0,True,True,2020-08-13 17:22:04+00:00,22,0,0,,,2020-08-13 17:23:00,2020
19,13,23,8,True,True,active,0,True,False,2020-08-13 17:15:40+00:00,23,0,0,,,2020-08-13 17:23:00,2020
20,4,24,14,True,True,active,0,True,False,2020-08-13 17:17:51+00:00,24,1,0,,,2020-08-13 17:23:00,2020
21,8,25,6,True,True,active,0,True,False,2020-08-13 17:00:33+00:00,25,1,0,,,2020-08-13 17:23:00,2020
22,5,26,9,True,True,active,0,True,False,2020-08-13 17:18:26+00:00,26,1,0,,,2020-08-13 17:23:00,2020
23,6,27,17,True,True,active,0,True,False,2020-08-13 16:54:42+00:00,27,0,0,,,2020-08-13 17:23:00,2020
24,5,29,10,True,True,active,0,True,False,2020-08-13 16:18:17+00:00,29,0,0,,,2020-08-13 17:23:00,2020
25,0,30,14,True,True,active,0,True,False,2020-08-13 16:52:23+00:00,30,1,0,,,2020-08-13 17:23:00,2020
26,14,31,5,True,True,active,0,True,True,2020-08-13 16:23:13+00:00,31,0,0,,,2020-08-13 17:23:00,2020
27,10,32,5,True,True,active,0,True,False,2020-08-13 17:17:05+00:00,32,0,0,,,2020-08-13 17:23:00,2020
28,23,33,4,True,True,active,0,True,False,2020-08-13 17:15:40+00:00,33,0,0,,,2020-08-13 17:23:00,2020
29,12,35,11,True,True,active,0,True,False,2020-08-13 16:53:22+00:00,35,0,0,,,2020-08-13 17:23:00,2020
30,17,36,16,True,True,active,0,True,True,2020-08-13 17:10:06+00:00,36,0,0,,,2020-08-13 17:23:00,2020
31,13,37,2,True,True,active,0,True,True,2020-08-13 14:09:27+00:00,37,0,0,,,2020-08-13 17:23:00,2020
32,6,39,17,True,True,active,0,True,False,2020-08-13 17:13:39+00:00,39,0,0,,,2020-08-13 17:23:00,2020
33,8,40,10,True,True,active,0,True,False,2020-08-13 17:18:23+00:00,40,1,0,,,2020-08-13 17:23:00,2020
34,19,41,8,True,True,active,0,True,True,2020-08-13 17:14:09+00:00,41,0,0,,,2020-08-13 17:23:00,2020
35,6,42,16,True,True,active,0,True,False,2020-08-13 17:20:17+00:00,42,1,0,,,2020-08-13 17:23:00,2020
36,6,43,9,True,True,active,0,True,True,2020-08-13 16:55:59+00:00,43,0,0,,,2020-08-13 17:23:00,2020
37,19,44,4,True,True,active,0,True,False,2020-08-13 16:44:57+00:00,44,0,0,,,2020-08-13 17:23:00,2020
38,17,46,2,True,True,active,0,True,False,2020-08-13 17:18:48+00:00,46,0,0,,,2020-08-13 17:23:00,2020
39,13,47,6,True,True,active,0,True,True,2020-08-13 17:16:22+00:00,47,0,0,,,2020-08-13 17:23:00,2020
40,5,48,14,True,True,active,0,True,False,2020-08-13 17:17:55+00:00,48,0,0,,,2020-08-13 17:23:00,2020
41,9,49,9,True,True,active,0,True,False,2020-08-13 16:21:32+00:00,49,0,0,,,2020-08-13 17:23:00,2020
42,2,50,13,True,True,active,0,True,True,2020-08-13 17:20:01+00:00,50,0,0,,,2020-08-13 17:23:00,2020
43,7,51,8,True,True,active,0,True,False,2020-08-13 16:35:20+00:00,51,0,0,,,2020-08-13 17:23:00,2020
44,10,52,13,True,True,active,0,True,True,2020-08-13 17:17:00+00:00,52,0,0,,,2020-08-13 17:23:00,2020
45,14,53,5,True,True,active,0,True,False,2020-08-13 17:22:30+00:00,53,0,0,,,2020-08-13 17:23:00,2020
46,4,54,11,True,True,active,0,True,False,2020-08-13 17:17:20+00:00,54,0,0,,,2020-08-13 17:23:00,2020
47,6,55,9,True,True,active,0,True,False,2020-08-13 17:02:25+00:00,55,0,0,,,2020-08-13 17:23:00,2020
48,14,56,3,True,True,active,0,True,True,2020-08-13 16:28:49+00:00,56,1,0,,,2020-08-13 17:23:00,2020
49,8,57,5,True,True,active,0,True,True,2020-08-13 17:09:30+00:00,57,1,0,,,2020-08-13 17:23:00,2020
50,8,58,10,True,True,active,0,True,True,2020-08-13 17:21:25+00:00,58,1,0,,,2020-08-13 17:23:00,2020
51,14,59,5,True,True,active,0,True,True,2020-08-13 16:53:14+00:00,59,0,0,,,2020-08-13 17:23:00,2020
52,17,60,2,True,True,active,0,True,False,2020-08-13 17:22:06+00:00,60,0,0,"{'dock_blocked_count': 0, 'off_dock_count': 29, 'active': True, 'off_dock_capacity': 40, 'valet_revision': 75, 'region': 'BOS', 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-08-13 17:23:00,2020
53,2,61,16,True,True,active,0,True,False,2020-08-13 17:19:40+00:00,61,1,0,,,2020-08-13 17:23:00,2020
54,13,63,2,True,True,active,0,True,False,2020-08-13 16:32:02+00:00,63,0,0,,,2020-08-13 17:23:00,2020
55,6,64,12,True,True,active,0,True,False,2020-08-13 17:08:07+00:00,64,1,0,,,2020-08-13 17:23:00,2020
56,19,65,4,True,True,active,0,True,False,2020-08-13 15:18:05+00:00,65,0,0,,,2020-08-13 17:23:00,2020
57,13,66,1,True,True,active,0,True,False,2020-08-13 16:54:07+00:00,66,1,0,,,2020-08-13 17:23:00,2020
58,15,67,12,True,True,active,0,True,True,2020-08-13 17:22:17+00:00,67,0,0,,,2020-08-13 17:23:00,2020
59,12,68,6,True,True,active,0,True,True,2020-08-13 17:21:59+00:00,68,1,0,,,2020-08-13 17:23:00,2020
60,16,69,3,True,True,active,0,True,True,2020-08-13 16:59:17+00:00,69,0,0,,,2020-08-13 17:23:00,2020
61,7,70,15,True,True,active,0,True,False,2020-08-13 17:18:36+00:00,70,1,0,,,2020-08-13 17:23:00,2020
62,9,71,14,True,True,active,0,True,False,2020-08-13 17:07:01+00:00,71,0,0,,,2020-08-13 17:23:00,2020
63,5,72,18,True,True,active,0,True,False,2020-08-13 15:48:42+00:00,72,0,0,,,2020-08-13 17:23:00,2020
64,9,73,5,True,True,active,0,True,False,2020-08-13 17:15:27+00:00,73,1,0,,,2020-08-13 17:23:00,2020
65,4,74,14,True,True,active,0,True,True,2020-08-13 17:22:58+00:00,74,1,0,,,2020-08-13 17:23:00,2020
66,5,75,10,True,True,active,0,True,False,2020-08-13 16:55:13+00:00,75,0,0,,,2020-08-13 17:23:00,2020
67,10,76,7,True,True,active,0,True,False,2020-08-13 17:03:21+00:00,76,0,0,,,2020-08-13 17:23:00,2020
68,10,77,4,True,True,active,0,True,False,2020-08-13 16:38:39+00:00,77,1,0,,,2020-08-13 17:23:00,2020
69,0,78,19,True,True,active,0,True,False,2020-08-13 17:10:12+00:00,78,0,0,,,2020-08-13 17:23:00,2020
70,8,79,9,True,True,active,0,True,False,2020-08-13 17:10:14+00:00,79,2,0,,,2020-08-13 17:23:00,2020
71,1,80,31,True,True,active,0,True,False,2020-08-13 17:16:39+00:00,80,3,0,,,2020-08-13 17:23:00,2020
72,9,81,8,True,True,active,0,True,False,2020-08-13 17:20:38+00:00,81,2,0,,,2020-08-13 17:23:00,2020
73,13,82,2,True,True,active,0,True,False,2020-08-13 17:10:37+00:00,82,0,0,,,2020-08-13 17:23:00,2020
74,9,84,6,True,True,active,0,True,False,2020-08-13 16:58:42+00:00,84,0,0,,,2020-08-13 17:23:00,2020
75,3,85,16,True,True,active,0,True,False,2020-08-13 17:13:03+00:00,85,0,0,,,2020-08-13 17:23:00,2020
76,8,86,11,True,True,active,0,True,False,2020-08-13 16:42:51+00:00,86,0,0,,,2020-08-13 17:23:00,2020
77,9,87,6,True,True,active,0,True,False,2020-08-13 17:19:14+00:00,87,0,0,,,2020-08-13 17:23:00,2020
78,10,89,9,True,True,active,0,True,False,2020-08-13 17:00:03+00:00,89,0,0,,,2020-08-13 17:23:00,2020
79,15,90,4,True,True,active,0,True,False,2020-08-13 17:12:30+00:00,90,0,0,,,2020-08-13 17:23:00,2020
80,4,91,15,True,True,active,0,True,False,2020-08-13 17:21:01+00:00,91,0,0,,,2020-08-13 17:23:00,2020
81,9,92,10,True,True,active,0,True,False,2020-08-13 16:36:00+00:00,92,0,0,,,2020-08-13 17:23:00,2020
82,9,93,4,True,True,active,0,True,False,2020-08-13 17:19:04+00:00,93,2,0,,,2020-08-13 17:23:00,2020
83,9,94,2,True,True,active,0,True,False,2020-08-13 16:21:45+00:00,94,0,0,,,2020-08-13 17:23:00,2020
84,10,95,5,True,True,active,0,True,False,2020-08-13 17:12:08+00:00,95,0,0,,,2020-08-13 17:23:00,2020
85,12,96,7,True,True,active,0,True,False,2020-08-13 17:17:58+00:00,96,0,0,,,2020-08-13 17:23:00,2020
86,10,97,8,True,True,active,0,True,False,2020-08-13 16:55:14+00:00,97,1,0,,,2020-08-13 17:23:00,2020
87,22,98,1,True,True,active,0,True,False,2020-08-13 17:07:03+00:00,98,0,0,,,2020-08-13 17:23:00,2020
88,3,99,12,True,True,active,0,True,False,2020-08-13 16:22:56+00:00,99,0,0,,,2020-08-13 17:23:00,2020
89,12,100,12,True,True,active,0,True,True,2020-08-13 17:09:42+00:00,100,1,0,,,2020-08-13 17:23:00,2020
90,2,101,13,True,True,active,0,True,False,2020-08-13 16:34:33+00:00,101,0,0,,,2020-08-13 17:23:00,2020
91,10,102,5,True,True,active,0,True,False,2020-08-13 16:14:56+00:00,102,0,0,,,2020-08-13 17:23:00,2020
92,8,103,7,True,True,active,0,True,False,2020-08-13 17:03:29+00:00,103,0,0,,,2020-08-13 17:23:00,2020
93,19,104,0,True,True,active,0,True,False,2020-08-13 17:07:32+00:00,104,0,0,,,2020-08-13 17:23:00,2020
94,0,105,19,True,True,active,0,True,False,2020-08-13 17:08:45+00:00,105,0,0,,,2020-08-13 17:23:00,2020
95,14,106,0,True,True,active,0,True,False,2020-08-13 16:34:07+00:00,106,1,0,,,2020-08-13 17:23:00,2020
96,2,107,17,True,True,active,0,True,False,2020-08-13 17:21:41+00:00,107,0,0,,,2020-08-13 17:23:00,2020
97,11,108,6,True,True,active,0,True,False,2020-08-13 17:14:02+00:00,108,0,0,,,2020-08-13 17:23:00,2020
