,num_ebikes_available,is_installed,station_id,is_returning,num_bikes_available,is_renting,last_reported,num_bikes_disabled,eightd_has_available_keys,station_status,num_docks_disabled,legacy_id,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
195,0,True,225,True,7,True,2020-08-13 23:37:27+00:00,0,False,active,0,225,12,,,2020-08-13 23:41:15,2020
196,0,True,226,True,1,True,2020-08-13 23:34:18+00:00,0,False,active,0,226,14,,,2020-08-13 23:41:15,2020
197,0,True,227,True,9,True,2020-08-13 23:30:10+00:00,3,False,active,0,227,7,,,2020-08-13 23:41:15,2020
198,0,True,228,True,1,True,2020-08-13 23:35:07+00:00,1,False,active,0,228,17,,,2020-08-13 23:41:15,2020
199,0,True,232,True,6,True,2020-08-13 22:59:36+00:00,0,False,active,0,232,5,,,2020-08-13 23:41:15,2020
200,0,True,233,True,8,True,2020-08-13 23:41:08+00:00,0,False,active,0,233,7,,,2020-08-13 23:41:15,2020
201,0,True,234,True,0,True,2020-08-13 22:38:34+00:00,0,False,active,0,234,15,,,2020-08-13 23:41:15,2020
202,0,True,235,True,7,True,2020-08-13 21:34:16+00:00,0,False,active,0,235,8,,,2020-08-13 23:41:15,2020
203,0,True,236,True,11,True,2020-08-13 23:33:35+00:00,0,False,active,0,236,4,,,2020-08-13 23:41:15,2020
204,0,True,239,True,2,True,2020-08-13 23:34:34+00:00,0,False,active,0,239,13,,,2020-08-13 23:41:15,2020
205,0,True,255,True,10,True,2020-08-13 12:33:28+00:00,0,False,active,0,255,5,,,2020-08-13 23:41:15,2020
206,0,True,258,True,13,True,2020-08-13 23:26:08+00:00,0,False,active,0,258,2,,,2020-08-13 23:41:15,2020
207,0,True,259,True,14,True,2020-08-13 18:35:59+00:00,0,False,active,0,259,1,,,2020-08-13 23:41:15,2020
208,0,True,260,True,15,True,2020-08-13 23:02:45+00:00,0,False,active,0,260,0,,,2020-08-13 23:41:15,2020
209,0,True,271,True,9,True,2020-08-13 19:07:23+00:00,0,False,active,0,271,6,,,2020-08-13 23:41:15,2020
210,0,True,272,True,7,True,2020-08-13 22:50:46+00:00,1,False,active,0,272,11,,,2020-08-13 23:41:15,2020
211,0,True,273,True,15,True,2020-08-13 23:41:11+00:00,0,False,active,0,273,25,,,2020-08-13 23:41:15,2020
