,num_bikes_disabled,is_returning,num_docks_disabled,num_docks_available,num_bikes_available,station_id,is_renting,station_status,eightd_has_available_keys,num_ebikes_available,last_reported,legacy_id,is_installed,timestamp_of_data_read_request,year_station_last_reported
0,1,True,0,11,3,3,True,active,False,0,2020-08-22 02:54:22+00:00,3,True,2020-08-22 03:15:35,2020
1,0,True,0,1,18,4,True,active,False,0,2020-08-22 02:52:50+00:00,4,True,2020-08-22 03:15:35,2020
2,0,True,0,11,4,5,True,active,False,0,2020-08-22 03:06:22+00:00,5,True,2020-08-22 03:15:35,2020
3,0,True,0,14,1,6,True,active,False,0,2020-08-22 03:11:50+00:00,6,True,2020-08-22 03:15:35,2020
4,0,True,0,12,3,7,True,active,False,0,2020-08-22 02:56:30+00:00,7,True,2020-08-22 03:15:35,2020
5,2,True,0,4,13,8,True,active,False,0,2020-08-22 02:22:35+00:00,8,True,2020-08-22 03:15:35,2020
6,0,True,0,2,13,9,True,active,False,0,2020-08-22 03:11:30+00:00,9,True,2020-08-22 03:15:35,2020
7,0,True,0,2,9,10,True,active,False,0,2020-08-22 02:33:21+00:00,10,True,2020-08-22 03:15:35,2020
8,0,True,0,15,0,11,True,active,False,0,2020-08-22 00:09:54+00:00,11,True,2020-08-22 03:15:35,2020
9,0,True,0,14,4,12,True,active,True,0,2020-08-22 03:13:06+00:00,12,True,2020-08-22 03:15:35,2020
10,0,True,0,14,5,13,True,active,False,0,2020-08-22 03:04:03+00:00,13,True,2020-08-22 03:15:35,2020
11,2,True,0,23,0,14,True,active,False,0,2020-08-22 02:45:51+00:00,14,True,2020-08-22 03:15:35,2020
12,0,True,0,5,10,15,True,active,False,0,2020-08-22 02:40:48+00:00,15,True,2020-08-22 03:15:35,2020
13,1,True,0,3,15,16,True,active,True,0,2020-08-22 02:41:27+00:00,16,True,2020-08-22 03:15:35,2020
14,1,True,0,14,0,17,True,active,False,0,2020-08-22 02:34:57+00:00,17,True,2020-08-22 03:15:35,2020
15,0,True,0,1,14,19,True,active,False,0,2020-08-22 03:13:25+00:00,19,True,2020-08-22 03:15:35,2020
16,0,True,0,20,3,20,True,active,True,0,2020-08-22 03:04:50+00:00,20,True,2020-08-22 03:15:35,2020
17,1,True,0,16,1,21,True,active,True,0,2020-08-22 02:11:27+00:00,21,True,2020-08-22 03:15:35,2020
18,1,True,0,43,3,22,True,active,True,0,2020-08-22 02:26:07+00:00,22,True,2020-08-22 03:15:35,2020
19,0,True,0,15,6,23,True,active,False,0,2020-08-22 02:06:29+00:00,23,True,2020-08-22 03:15:35,2020
20,1,True,0,4,14,24,True,active,False,0,2020-08-22 03:15:28+00:00,24,True,2020-08-22 03:15:35,2020
21,0,True,0,2,13,25,True,active,False,0,2020-08-22 02:59:43+00:00,25,True,2020-08-22 03:15:35,2020
22,0,True,0,2,13,26,True,active,False,0,2020-08-22 02:15:51+00:00,26,True,2020-08-22 03:15:35,2020
23,0,True,0,13,10,27,True,active,False,0,2020-08-22 02:50:11+00:00,27,True,2020-08-22 03:15:35,2020
24,0,True,0,11,4,29,True,active,False,0,2020-08-21 23:24:12+00:00,29,True,2020-08-22 03:15:35,2020
25,1,True,0,7,7,30,True,active,False,0,2020-08-22 03:11:50+00:00,30,True,2020-08-22 03:15:35,2020
26,0,True,0,10,9,31,True,active,False,0,2020-08-22 02:50:31+00:00,31,True,2020-08-22 03:15:35,2020
27,3,True,0,2,10,32,True,active,False,0,2020-08-22 03:10:58+00:00,32,True,2020-08-22 03:15:35,2020
28,0,True,0,18,9,33,True,active,True,0,2020-08-22 03:08:40+00:00,33,True,2020-08-22 03:15:35,2020
29,0,True,0,23,0,35,True,active,False,0,2020-08-22 02:37:28+00:00,35,True,2020-08-22 03:15:35,2020
30,1,True,0,13,19,36,True,active,True,0,2020-08-22 02:01:30+00:00,36,True,2020-08-22 03:15:35,2020
31,0,True,0,9,6,37,True,active,True,0,2020-08-22 01:11:03+00:00,37,True,2020-08-22 03:15:35,2020
32,0,True,0,21,2,39,True,active,False,0,2020-08-22 03:11:29+00:00,39,True,2020-08-22 03:15:35,2020
33,0,True,0,12,7,40,True,active,False,0,2020-08-22 02:47:42+00:00,40,True,2020-08-22 03:15:35,2020
34,2,True,0,1,24,41,True,active,True,0,2020-08-22 03:08:20+00:00,41,True,2020-08-22 03:15:35,2020
35,0,True,0,5,18,42,True,active,False,0,2020-08-22 02:19:12+00:00,42,True,2020-08-22 03:15:35,2020
36,0,True,0,3,12,43,True,active,True,0,2020-08-22 02:53:29+00:00,43,True,2020-08-22 03:15:35,2020
37,0,True,0,22,1,44,True,active,False,0,2020-08-22 02:21:03+00:00,44,True,2020-08-22 03:15:35,2020
38,0,True,0,6,13,46,True,active,False,0,2020-08-22 03:09:45+00:00,46,True,2020-08-22 03:15:35,2020
39,0,True,0,8,11,47,True,active,True,0,2020-08-22 03:10:01+00:00,47,True,2020-08-22 03:15:35,2020
40,0,True,0,14,5,48,True,active,False,0,2020-08-22 03:06:06+00:00,48,True,2020-08-22 03:15:35,2020
41,1,True,0,4,13,49,True,active,False,0,2020-08-22 03:08:06+00:00,49,True,2020-08-22 03:15:35,2020
42,0,True,0,7,8,50,True,active,True,0,2020-08-22 03:05:39+00:00,50,True,2020-08-22 03:15:35,2020
43,0,True,0,4,11,51,True,active,False,0,2020-08-22 03:11:46+00:00,51,True,2020-08-22 03:15:35,2020
44,2,True,0,7,14,52,True,active,True,0,2020-08-22 03:12:58+00:00,52,True,2020-08-22 03:15:35,2020
45,0,True,0,9,10,53,True,active,False,0,2020-08-22 03:11:18+00:00,53,True,2020-08-22 03:15:35,2020
46,0,True,0,14,1,54,True,active,False,0,2020-08-22 03:11:36+00:00,54,True,2020-08-22 03:15:35,2020
47,0,True,0,0,15,55,True,active,False,0,2020-08-22 02:52:52+00:00,55,True,2020-08-22 03:15:35,2020
48,0,True,0,12,6,56,True,active,True,0,2020-08-22 01:30:29+00:00,56,True,2020-08-22 03:15:35,2020
49,0,True,0,13,1,57,True,active,True,0,2020-08-22 01:55:16+00:00,57,True,2020-08-22 03:15:35,2020
50,1,True,0,12,6,58,True,active,True,0,2020-08-22 03:05:44+00:00,58,True,2020-08-22 03:15:35,2020
51,0,True,0,16,3,59,True,active,True,0,2020-08-22 02:37:19+00:00,59,True,2020-08-22 03:15:35,2020
52,0,True,0,12,7,60,True,active,False,0,2020-08-22 03:05:11+00:00,60,True,2020-08-22 03:15:35,2020
53,0,True,0,9,10,61,True,active,False,0,2020-08-22 03:00:06+00:00,61,True,2020-08-22 03:15:35,2020
54,0,True,0,10,5,63,True,active,False,0,2020-08-22 03:06:07+00:00,63,True,2020-08-22 03:15:35,2020
55,0,True,0,13,6,64,True,active,False,0,2020-08-22 02:12:05+00:00,64,True,2020-08-22 03:15:35,2020
56,0,True,0,14,9,65,True,active,False,0,2020-08-22 01:30:45+00:00,65,True,2020-08-22 03:15:35,2020
57,0,True,0,6,9,66,True,active,False,0,2020-08-22 02:16:00+00:00,66,True,2020-08-22 03:15:35,2020
58,1,True,0,21,5,67,True,active,True,0,2020-08-22 03:15:28+00:00,67,True,2020-08-22 03:15:35,2020
59,3,True,0,3,13,68,True,active,True,0,2020-08-22 03:07:07+00:00,68,True,2020-08-22 03:15:35,2020
60,0,True,0,11,8,69,True,active,True,0,2020-08-22 02:58:53+00:00,69,True,2020-08-22 03:15:35,2020
61,0,True,0,1,22,70,True,active,False,0,2020-08-22 00:41:39+00:00,70,True,2020-08-22 03:15:35,2020
62,0,True,0,11,12,71,True,active,False,0,2020-08-22 03:03:52+00:00,71,True,2020-08-22 03:15:35,2020
63,0,True,0,15,8,72,True,active,False,0,2020-08-22 00:31:07+00:00,72,True,2020-08-22 03:15:35,2020
64,0,True,0,1,14,73,True,active,False,0,2020-08-22 01:48:16+00:00,73,True,2020-08-22 03:15:35,2020
65,4,True,0,7,8,74,True,active,True,0,2020-08-22 03:00:25+00:00,74,True,2020-08-22 03:15:35,2020
66,0,True,0,7,8,75,True,active,False,0,2020-08-22 02:09:34+00:00,75,True,2020-08-22 03:15:35,2020
67,0,True,0,0,17,76,True,active,False,0,2020-08-22 02:30:05+00:00,76,True,2020-08-22 03:15:35,2020
68,0,True,0,10,5,77,True,active,False,0,2020-08-22 02:26:28+00:00,77,True,2020-08-22 03:15:35,2020
69,0,True,0,11,8,78,True,active,False,0,2020-08-22 02:56:15+00:00,78,True,2020-08-22 03:15:35,2020
70,0,True,0,6,13,79,True,active,False,0,2020-08-22 03:14:59+00:00,79,True,2020-08-22 03:15:35,2020
71,0,True,0,35,0,80,True,active,False,0,2020-08-22 01:28:53+00:00,80,True,2020-08-22 03:15:35,2020
72,1,True,0,12,6,81,True,active,False,0,2020-08-22 02:52:45+00:00,81,True,2020-08-22 03:15:35,2020
73,0,True,0,10,5,82,True,active,False,0,2020-08-22 01:48:41+00:00,82,True,2020-08-22 03:15:35,2020
74,0,True,0,7,8,84,True,active,False,0,2020-08-22 02:53:12+00:00,84,True,2020-08-22 03:15:35,2020
75,0,True,0,16,3,85,True,active,False,0,2020-08-22 02:08:44+00:00,85,True,2020-08-22 03:15:35,2020
76,0,True,0,1,18,86,True,active,False,0,2020-08-22 01:30:01+00:00,86,True,2020-08-22 03:15:35,2020
77,1,True,0,7,7,87,True,active,False,0,2020-08-22 02:55:29+00:00,87,True,2020-08-22 03:15:35,2020
78,0,True,0,13,6,89,True,active,False,0,2020-08-22 03:12:29+00:00,89,True,2020-08-22 03:15:35,2020
79,1,True,0,10,8,90,True,active,False,0,2020-08-22 02:51:25+00:00,90,True,2020-08-22 03:15:35,2020
80,1,True,0,12,6,91,True,active,False,0,2020-08-22 02:42:24+00:00,91,True,2020-08-22 03:15:35,2020
81,1,True,0,11,7,92,True,active,False,0,2020-08-21 21:04:11+00:00,92,True,2020-08-22 03:15:35,2020
82,0,True,0,9,6,93,True,active,False,0,2020-08-22 02:11:09+00:00,93,True,2020-08-22 03:15:35,2020
83,0,True,0,1,10,94,True,active,False,0,2020-08-22 02:38:59+00:00,94,True,2020-08-22 03:15:35,2020
84,0,True,0,3,12,95,True,active,False,0,2020-08-22 03:11:10+00:00,95,True,2020-08-22 03:15:35,2020
85,1,True,0,13,5,96,True,active,False,0,2020-08-22 02:40:26+00:00,96,True,2020-08-22 03:15:35,2020
86,1,True,0,15,3,97,True,active,False,0,2020-08-22 02:00:46+00:00,97,True,2020-08-22 03:15:35,2020
87,1,True,0,14,8,98,True,active,False,0,2020-08-22 01:17:20+00:00,98,True,2020-08-22 03:15:35,2020
88,0,True,0,0,15,99,True,active,False,0,2020-08-22 01:35:34+00:00,99,True,2020-08-22 03:15:35,2020
89,1,True,0,17,7,100,True,active,True,0,2020-08-22 03:02:14+00:00,100,True,2020-08-22 03:15:35,2020
90,0,True,0,11,4,101,True,active,False,0,2020-08-22 01:12:29+00:00,101,True,2020-08-22 03:15:35,2020
91,0,True,0,12,3,102,True,active,False,0,2020-08-22 01:40:11+00:00,102,True,2020-08-22 03:15:35,2020
92,0,True,0,3,12,103,True,active,False,0,2020-08-22 01:51:24+00:00,103,True,2020-08-22 03:15:35,2020
