,is_installed,station_status,is_renting,eightd_has_available_keys,num_ebikes_available,num_bikes_available,legacy_id,is_returning,num_docks_available,station_id,num_docks_disabled,last_reported,num_bikes_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
47,True,active,True,False,0,6,54,True,8,54,0,2020-08-03 14:43:28+00:00,1,,,2020-08-03 14:51:25,2020
48,True,active,True,False,0,1,55,True,14,55,0,2020-08-03 14:41:59+00:00,0,,,2020-08-03 14:51:25,2020
49,True,active,True,True,0,9,56,True,9,56,0,2020-08-03 14:20:43+00:00,0,,,2020-08-03 14:51:25,2020
50,True,active,True,True,0,1,57,True,13,57,0,2020-08-03 14:50:18+00:00,0,,,2020-08-03 14:51:25,2020
51,True,active,True,True,0,10,58,True,9,58,0,2020-08-03 14:48:33+00:00,0,,,2020-08-03 14:51:25,2020
52,True,active,True,True,0,12,59,True,7,59,0,2020-08-03 14:27:25+00:00,0,,,2020-08-03 14:51:25,2020
53,True,active,True,False,0,4,60,True,15,60,0,2020-08-03 14:41:02+00:00,0,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'dock_blocked_count': 0, 'active': True, 'off_dock_count': 37, 'off_dock_capacity': 40, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS', 'valet_revision': 65}",2020-08-03 14:51:25,2020
54,True,active,True,False,0,8,61,True,11,61,0,2020-08-03 14:42:18+00:00,0,,,2020-08-03 14:51:25,2020
55,True,active,True,False,0,1,63,True,14,63,0,2020-08-03 00:49:30+00:00,0,,,2020-08-03 14:51:25,2020
56,True,active,True,False,0,19,64,True,0,64,0,2020-08-03 12:56:26+00:00,0,,,2020-08-03 14:51:25,2020
57,True,active,True,False,0,13,65,True,10,65,0,2020-08-03 12:13:51+00:00,0,,,2020-08-03 14:51:25,2020
58,True,active,True,False,0,0,66,True,14,66,0,2020-08-03 13:38:11+00:00,1,,,2020-08-03 14:51:25,2020
59,True,active,True,False,0,5,67,True,22,67,0,2020-08-03 14:44:04+00:00,0,,,2020-08-03 14:51:25,2020
60,True,active,True,True,0,6,68,True,13,68,0,2020-08-03 14:41:51+00:00,0,,,2020-08-03 14:51:25,2020
61,True,active,True,True,0,2,69,True,17,69,0,2020-08-03 14:50:46+00:00,0,,,2020-08-03 14:51:25,2020
62,True,active,True,False,0,17,70,True,4,70,0,2020-08-03 14:43:50+00:00,2,,,2020-08-03 14:51:25,2020
