,num_docks_available,num_ebikes_available,station_id,num_docks_disabled,station_status,legacy_id,num_bikes_disabled,eightd_has_available_keys,is_installed,num_bikes_available,is_renting,is_returning,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
48,9,0,56,0,active,56,0,True,True,9,True,True,2020-07-31 18:31:42+00:00,,,2020-07-31 18:36:20,2020
49,12,0,57,0,active,57,0,True,True,2,True,True,2020-07-31 18:29:50+00:00,,,2020-07-31 18:36:20,2020
50,17,0,58,0,active,58,0,True,True,2,True,True,2020-07-31 18:29:33+00:00,,,2020-07-31 18:36:20,2020
51,8,0,59,0,active,59,0,True,True,11,True,True,2020-07-31 18:32:02+00:00,,,2020-07-31 18:36:20,2020
52,15,0,60,0,active,60,1,False,True,3,True,True,2020-07-31 18:14:52+00:00,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 63, 'active': True, 'off_dock_capacity': 40, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 19, 'dock_blocked_count': 0, 'region': 'BOS'}",2020-07-31 18:36:20,2020
53,4,0,61,0,active,61,0,False,True,15,True,True,2020-07-31 18:21:29+00:00,,,2020-07-31 18:36:20,2020
54,8,0,63,0,active,63,0,False,True,7,True,True,2020-07-31 18:13:46+00:00,,,2020-07-31 18:36:20,2020
55,2,0,64,0,active,64,1,False,True,16,True,True,2020-07-31 18:32:42+00:00,,,2020-07-31 18:36:20,2020
56,18,0,65,0,active,65,0,False,True,5,True,True,2020-07-31 18:31:35+00:00,,,2020-07-31 18:36:20,2020
57,13,0,66,0,active,66,0,False,True,2,True,True,2020-07-31 18:31:59+00:00,,,2020-07-31 18:36:20,2020
58,25,0,67,0,active,67,1,True,True,1,True,True,2020-07-31 18:31:44+00:00,,,2020-07-31 18:36:20,2020
59,13,0,68,0,active,68,1,True,True,5,True,True,2020-07-31 18:35:50+00:00,,,2020-07-31 18:36:20,2020
60,15,0,69,0,active,69,0,True,True,4,True,True,2020-07-31 18:35:09+00:00,,,2020-07-31 18:36:20,2020
61,4,0,70,0,active,70,0,False,True,19,True,True,2020-07-31 18:34:34+00:00,,,2020-07-31 18:36:20,2020
62,10,0,71,0,active,71,0,False,True,13,True,True,2020-07-31 18:30:49+00:00,,,2020-07-31 18:36:20,2020
63,17,0,72,0,active,72,0,False,True,6,True,True,2020-07-31 18:16:13+00:00,,,2020-07-31 18:36:20,2020
64,0,0,73,0,active,73,1,False,True,14,True,True,2020-07-31 18:33:45+00:00,,,2020-07-31 18:36:20,2020
65,5,0,74,0,active,74,0,True,True,14,True,True,2020-07-31 18:28:18+00:00,,,2020-07-31 18:36:20,2020
66,13,0,75,0,active,75,1,False,True,1,True,True,2020-07-31 18:19:40+00:00,,,2020-07-31 18:36:20,2020
67,15,0,76,0,active,76,0,False,True,2,True,True,2020-07-31 18:33:18+00:00,,,2020-07-31 18:36:20,2020
68,14,0,77,0,active,77,0,False,True,1,True,True,2020-07-31 17:30:18+00:00,,,2020-07-31 18:36:20,2020
69,9,0,78,0,active,78,1,False,True,9,True,True,2020-07-31 17:46:10+00:00,,,2020-07-31 18:36:20,2020
70,18,0,79,0,active,79,0,False,True,1,True,True,2020-07-31 18:20:45+00:00,,,2020-07-31 18:36:20,2020
71,1,0,80,0,active,80,1,False,True,33,True,True,2020-07-31 18:30:26+00:00,,,2020-07-31 18:36:20,2020
72,14,0,81,0,active,81,0,False,True,5,True,True,2020-07-31 18:35:08+00:00,,,2020-07-31 18:36:20,2020
73,14,0,82,0,active,82,0,False,True,1,True,True,2020-07-31 17:49:59+00:00,,,2020-07-31 18:36:20,2020
74,13,0,84,0,active,84,0,False,True,2,True,True,2020-07-31 18:05:29+00:00,,,2020-07-31 18:36:20,2020
75,5,0,85,0,active,85,0,False,True,14,True,True,2020-07-31 18:07:05+00:00,,,2020-07-31 18:36:20,2020
76,13,0,86,0,active,86,0,False,True,6,True,True,2020-07-31 18:18:37+00:00,,,2020-07-31 18:36:20,2020
77,8,0,87,0,active,87,0,False,True,7,True,True,2020-07-31 17:49:12+00:00,,,2020-07-31 18:36:20,2020
