,station_status,station_id,eightd_has_available_keys,is_returning,is_installed,last_reported,num_bikes_available,num_bikes_disabled,num_ebikes_available,is_renting,num_docks_available,num_docks_disabled,legacy_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,active,3,False,True,True,2020-08-13 15:23:35+00:00,12,0,0,True,3,0,3,,,2020-08-13 15:40:35,2020
1,active,4,False,True,True,2020-08-13 15:17:45+00:00,10,0,0,True,9,0,4,,,2020-08-13 15:40:35,2020
2,active,5,False,True,True,2020-08-13 14:54:31+00:00,7,0,0,True,8,0,5,,,2020-08-13 15:40:35,2020
3,active,6,False,True,True,2020-08-13 15:39:18+00:00,5,1,0,True,9,0,6,,,2020-08-13 15:40:35,2020
4,active,7,False,True,True,2020-08-13 15:19:16+00:00,3,0,0,True,12,0,7,,,2020-08-13 15:40:35,2020
5,active,8,False,True,True,2020-08-13 15:19:48+00:00,8,0,0,True,11,0,8,,,2020-08-13 15:40:35,2020
6,active,9,False,True,True,2020-08-13 15:34:12+00:00,11,1,0,True,3,0,9,,,2020-08-13 15:40:35,2020
7,active,10,False,True,True,2020-08-13 15:35:14+00:00,6,1,0,True,4,0,10,,,2020-08-13 15:40:35,2020
8,active,11,False,True,True,2020-08-13 15:38:36+00:00,7,1,0,True,7,0,11,,,2020-08-13 15:40:35,2020
9,active,12,True,True,True,2020-08-13 15:33:36+00:00,10,1,0,True,7,0,12,,,2020-08-13 15:40:35,2020
10,active,13,False,True,True,2020-08-13 15:34:03+00:00,13,0,0,True,6,0,13,,,2020-08-13 15:40:35,2020
11,active,14,False,True,True,2020-08-13 15:23:24+00:00,16,0,0,True,9,0,14,,,2020-08-13 15:40:35,2020
12,active,15,False,True,True,2020-08-13 14:45:58+00:00,8,0,0,True,7,0,15,,,2020-08-13 15:40:35,2020
13,active,16,True,True,True,2020-08-13 15:39:40+00:00,12,0,0,True,7,0,16,,,2020-08-13 15:40:35,2020
14,active,17,False,True,True,2020-08-13 15:26:19+00:00,3,1,0,True,11,0,17,,,2020-08-13 15:40:35,2020
15,active,19,False,True,True,2020-08-13 15:31:57+00:00,2,1,0,True,12,0,19,,,2020-08-13 15:40:35,2020
16,active,20,True,True,True,2020-08-13 15:11:11+00:00,9,0,0,True,14,0,20,,,2020-08-13 15:40:35,2020
17,active,21,True,True,True,2020-08-13 15:24:11+00:00,2,0,0,True,16,0,21,,,2020-08-13 15:40:35,2020
18,active,22,True,True,True,2020-08-13 14:54:57+00:00,10,1,0,True,36,0,22,,,2020-08-13 15:40:35,2020
19,active,23,False,True,True,2020-08-13 15:28:26+00:00,13,0,0,True,8,0,23,,,2020-08-13 15:40:35,2020
20,active,24,False,True,True,2020-08-13 15:18:29+00:00,15,1,0,True,3,0,24,,,2020-08-13 15:40:35,2020
21,active,25,False,True,True,2020-08-13 15:01:35+00:00,9,1,0,True,5,0,25,,,2020-08-13 15:40:35,2020
22,active,26,False,True,True,2020-08-13 15:18:47+00:00,12,0,0,True,3,0,26,,,2020-08-13 15:40:35,2020
23,active,27,False,True,True,2020-08-13 15:21:52+00:00,18,0,0,True,5,0,27,,,2020-08-13 15:40:35,2020
24,active,29,False,True,True,2020-08-13 12:43:37+00:00,9,0,0,True,6,0,29,,,2020-08-13 15:40:35,2020
25,active,30,False,True,True,2020-08-13 15:38:25+00:00,13,1,0,True,1,0,30,,,2020-08-13 15:40:35,2020
26,active,31,True,True,True,2020-08-13 15:29:43+00:00,5,0,0,True,14,0,31,,,2020-08-13 15:40:35,2020
27,active,32,False,True,True,2020-08-13 15:29:43+00:00,15,0,0,True,0,0,32,,,2020-08-13 15:40:35,2020
28,active,33,False,True,True,2020-08-13 15:38:23+00:00,10,0,0,True,17,0,33,,,2020-08-13 15:40:35,2020
29,active,35,False,True,True,2020-08-13 15:39:59+00:00,14,2,0,True,7,0,35,,,2020-08-13 15:40:35,2020
30,active,36,True,True,True,2020-08-13 15:36:11+00:00,10,0,0,True,23,0,36,,,2020-08-13 15:40:35,2020
31,active,37,True,True,True,2020-08-13 14:09:27+00:00,2,0,0,True,13,0,37,,,2020-08-13 15:40:35,2020
32,active,39,False,True,True,2020-08-13 15:05:12+00:00,22,1,0,True,0,0,39,,,2020-08-13 15:40:35,2020
33,active,40,False,True,True,2020-08-13 15:11:10+00:00,7,2,0,True,10,0,40,,,2020-08-13 15:40:35,2020
34,active,41,True,True,True,2020-08-13 15:39:43+00:00,8,0,0,True,19,0,41,,,2020-08-13 15:40:35,2020
35,active,42,False,True,True,2020-08-13 15:14:21+00:00,19,0,0,True,4,0,42,,,2020-08-13 15:40:35,2020
36,active,43,True,True,True,2020-08-13 15:36:11+00:00,10,0,0,True,5,0,43,,,2020-08-13 15:40:35,2020
37,active,44,False,True,True,2020-08-13 15:23:08+00:00,7,0,0,True,16,0,44,,,2020-08-13 15:40:35,2020
38,active,46,False,True,True,2020-08-13 15:38:12+00:00,1,0,0,True,18,0,46,,,2020-08-13 15:40:35,2020
39,active,47,True,True,True,2020-08-13 15:38:07+00:00,2,0,0,True,17,0,47,,,2020-08-13 15:40:35,2020
40,active,48,False,True,True,2020-08-13 13:26:27+00:00,10,0,0,True,9,0,48,,,2020-08-13 15:40:35,2020
41,active,49,False,True,True,2020-08-13 15:22:08+00:00,9,0,0,True,9,0,49,,,2020-08-13 15:40:35,2020
42,active,50,True,True,True,2020-08-13 15:38:33+00:00,8,0,0,True,7,0,50,,,2020-08-13 15:40:35,2020
